LAT,LON
0.342413180000000E+02,-0.102615432000000E+03
0.343128910000000E+02,-0.102615150000000E+03
0.343130310000000E+02,-0.102526360000000E+03
0.343130340000000E+02,-0.102525631000000E+03
0.343131190000000E+02,-0.102503029000000E+03
0.343132510000000E+02,-0.102496992000000E+03
0.343132510000000E+02,-0.102496992000000E+03
0.342640960000000E+02,-0.102497560000000E+03
0.342644190000000E+02,-0.102519802000000E+03
0.342623900000000E+02,-0.102520185000000E+03
0.342623870000000E+02,-0.102544179000000E+03
0.342478950000000E+02,-0.102544396000000E+03
0.342483740000000E+02,-0.102596889000000E+03
0.342411410000000E+02,-0.102596969000000E+03
0.342413180000000E+02,-0.102615432000000E+03
END,END
0.341775450000000E+02,-0.102615417000000E+03
0.341772350000000E+02,-0.102583699000000E+03
0.341790120000000E+02,-0.102574496000000E+03
0.341768200000000E+02,-0.102553019000000E+03
0.341755820000000E+02,-0.102551838000000E+03
0.341732880000000E+02,-0.102547307000000E+03
0.341785080000000E+02,-0.102546204000000E+03
0.341803170000000E+02,-0.102548629000000E+03
0.341990600000000E+02,-0.102525177000000E+03
0.342010270000000E+02,-0.102520960000000E+03
0.342025350000000E+02,-0.102514870000000E+03
0.341887090000000E+02,-0.102514630000000E+03
0.341882950000000E+02,-0.102511297000000E+03
0.341876540000000E+02,-0.102509975000000E+03
0.341858910000000E+02,-0.102509839000000E+03
0.341858910000000E+02,-0.102509839000000E+03
0.341835330000000E+02,-0.102510639000000E+03
0.341747420000000E+02,-0.102509845000000E+03
0.341702080000000E+02,-0.102508141000000E+03
0.341692210000000E+02,-0.102502137000000E+03
0.341681260000000E+02,-0.102499004000000E+03
0.341599130000000E+02,-0.102487073000000E+03
0.341597500000000E+02,-0.102493601000000E+03
0.341601380000000E+02,-0.102496933000000E+03
0.341641630000000E+02,-0.102502829000000E+03
0.341640960000000E+02,-0.102507319000000E+03
0.341584870000000E+02,-0.102507047000000E+03
0.341614440000000E+02,-0.102515031000000E+03
0.341244940000000E+02,-0.102515349000000E+03
0.341246110000000E+02,-0.102534014000000E+03
0.341094370000000E+02,-0.102534212000000E+03
0.341095780000000E+02,-0.102552791000000E+03
0.340978340000000E+02,-0.102553205000000E+03
0.340980180000000E+02,-0.102560499000000E+03
0.340943780000000E+02,-0.102561049000000E+03
0.340944910000000E+02,-0.102580534000000E+03
0.340869140000000E+02,-0.102580615000000E+03
0.340869590000000E+02,-0.102589723000000E+03
0.340793580000000E+02,-0.102589748000000E+03
0.340794700000000E+02,-0.102600204000000E+03
0.340718690000000E+02,-0.102600587000000E+03
0.340718890000000E+02,-0.102609914000000E+03
0.340397000000000E+02,-0.102610611000000E+03
0.339954980000000E+02,-0.102610581000000E+03
0.339954320000000E+02,-0.102601427000000E+03
0.340031190000000E+02,-0.102601326000000E+03
0.340030520000000E+02,-0.102592309000000E+03
0.340182770000000E+02,-0.102592150000000E+03
0.340179830000000E+02,-0.102555580000000E+03
0.340256060000000E+02,-0.102555498000000E+03
0.340253980000000E+02,-0.102537019000000E+03
0.340406900000000E+02,-0.102536877000000E+03
0.340406160000000E+02,-0.102518231000000E+03
0.340482390000000E+02,-0.102518117000000E+03
0.340481210000000E+02,-0.102508903000000E+03
0.340548060000000E+02,-0.102508816000000E+03
0.340480490000000E+02,-0.102502659000000E+03
0.340480290000000E+02,-0.102499546000000E+03
0.340519690000000E+02,-0.102496001000000E+03
0.340602110000000E+02,-0.102494713000000E+03
0.340633250000000E+02,-0.102493780000000E+03
0.340632150000000E+02,-0.102481237000000E+03
0.340745690000000E+02,-0.102480527000000E+03
0.340745720000000E+02,-0.102470540000000E+03
0.340782810000000E+02,-0.102470431000000E+03
0.340782600000000E+02,-0.102460665000000E+03
0.340806860000000E+02,-0.102460583000000E+03
0.340807330000000E+02,-0.102452603000000E+03
0.340883330000000E+02,-0.102452495000000E+03
0.340883570000000E+02,-0.102443277000000E+03
0.340960260000000E+02,-0.102443222000000E+03
0.340959110000000E+02,-0.102434197000000E+03
0.340965823333333E+02,-0.102433188000000E+03
0.340969180000000E+02,-0.102431280000000E+03
0.340967110000000E+02,-0.102424895000000E+03
0.341025480000000E+02,-0.102424620000000E+03
0.341072400000000E+02,-0.102419719000000E+03
0.341072400000000E+02,-0.102419719000000E+03
0.341045000000000E+02,-0.102419554000000E+03
0.341035850000000E+02,-0.102420950000000E+03
0.341034490000000E+02,-0.102379817000000E+03
0.340882720000000E+02,-0.102379800000000E+03
0.340878530000000E+02,-0.102315629000000E+03
0.340878530000000E+02,-0.102315629000000E+03
0.340877370000000E+02,-0.102297663000000E+03
0.340870960000000E+02,-0.102296644000000E+03
0.340801370000000E+02,-0.102296701000000E+03
0.340801370000000E+02,-0.102296701000000E+03
0.340725610000000E+02,-0.102296785000000E+03
0.340726520000000E+02,-0.102334141000000E+03
0.340650980000000E+02,-0.102334250000000E+03
0.340650740000000E+02,-0.102343410000000E+03
0.340574750000000E+02,-0.102343544000000E+03
0.340575000000000E+02,-0.102325282000000E+03
0.340347010000000E+02,-0.102325554000000E+03
0.340346190000000E+02,-0.102371225000000E+03
0.340727570000000E+02,-0.102370811000000E+03
0.340729680000000E+02,-0.102406909000000E+03
0.340572420000000E+02,-0.102407134000000E+03
0.340571220000000E+02,-0.102389477000000E+03
0.340263100000000E+02,-0.102389714000000E+03
0.340262510000000E+02,-0.102435081000000E+03
0.340110730000000E+02,-0.102435383000000E+03
0.340109110000000E+02,-0.102462297000000E+03
0.339572700000000E+02,-0.102462963000000E+03
0.339569950000000E+02,-0.102418046000000E+03
0.339875560000000E+02,-0.102417653000000E+03
0.339875890000000E+02,-0.102380991000000E+03
0.339875890000000E+02,-0.102380991000000E+03
0.339720220000000E+02,-0.102381222000000E+03
0.339718050000000E+02,-0.102344690000000E+03
0.339565590000000E+02,-0.102344905000000E+03
0.339567110000000E+02,-0.102369053000000E+03
0.339571910000000E+02,-0.102371086000000E+03
0.339567530000000E+02,-0.102381453000000E+03
0.339409570000000E+02,-0.102381657000000E+03
0.339409190000000E+02,-0.102363358000000E+03
0.339256040000000E+02,-0.102363513000000E+03
0.339256660000000E+02,-0.102381859000000E+03
0.339180890000000E+02,-0.102382001000000E+03
0.339182340000000E+02,-0.102400262000000E+03
0.339097410000000E+02,-0.102400403000000E+03
0.339097660000000E+02,-0.102409437000000E+03
0.339021660000000E+02,-0.102409577000000E+03
0.339022360000000E+02,-0.102418801000000E+03
0.338946130000000E+02,-0.102418885000000E+03
0.338945650000000E+02,-0.102409771000000E+03
0.338717150000000E+02,-0.102410184000000E+03
0.338717860000000E+02,-0.102419378000000E+03
0.338641520000000E+02,-0.102419432000000E+03
0.338640460000000E+02,-0.102410215000000E+03
0.338486160000000E+02,-0.102410303000000E+03
0.338485520000000E+02,-0.102437796000000E+03
0.338517340000000E+02,-0.102437548000000E+03
0.338529710000000E+02,-0.102435021000000E+03
0.338562960000000E+02,-0.102433451000000E+03
0.338561980000000E+02,-0.102437850000000E+03
0.338479570000000E+02,-0.102440951000000E+03
0.338426910000000E+02,-0.102439387000000E+03
0.338383190000000E+02,-0.102438811000000E+03
0.338250670000000E+02,-0.102440689000000E+03
0.338249700000000E+02,-0.102509468000000E+03
0.338249770000000E+02,-0.102512169000000E+03
0.338250970000000E+02,-0.102585945000000E+03
0.338250970000000E+02,-0.102585945000000E+03
0.338251210000000E+02,-0.102615447000000E+03
0.338251210000000E+02,-0.102615447000000E+03
0.338809860000000E+02,-0.102615579000000E+03
0.339724690000000E+02,-0.102615478000000E+03
0.339724690000000E+02,-0.102615478000000E+03
0.339955200000000E+02,-0.102615397000000E+03
0.341775450000000E+02,-0.102615417000000E+03
END,END
0.341592800000000E+02,-0.102459909000000E+03
0.341612950000000E+02,-0.102457056000000E+03
0.341497580000000E+02,-0.102457219000000E+03
0.341459120000000E+02,-0.102455208000000E+03
0.341437370000000E+02,-0.102455621000000E+03
0.341455650000000E+02,-0.102474620000000E+03
0.341475320000000E+02,-0.102478668000000E+03
0.341492500000000E+02,-0.102476549000000E+03
0.341503950000000E+02,-0.102473713000000E+03
0.341536920000000E+02,-0.102471291000000E+03
0.341595520000000E+02,-0.102471789000000E+03
0.341598280000000E+02,-0.102465511000000E+03
0.341592800000000E+02,-0.102459909000000E+03
END,END
0.340800190000000E+02,-0.102278351000000E+03
0.340800800000000E+02,-0.102259425000000E+03
0.340723660000000E+02,-0.102259430000000E+03
0.340723930000000E+02,-0.102241013000000E+03
