LAT,LON
0.351239710000000E+02,-0.869161420000000E+02
0.351260280000000E+02,-0.869122470000000E+02
0.351266670000000E+02,-0.869036050000000E+02
0.351272850000000E+02,-0.869010400000000E+02
0.351298480000000E+02,-0.868955180000000E+02
0.351342890000000E+02,-0.868896330000000E+02
0.351364840000000E+02,-0.868788700000000E+02
0.351299550000000E+02,-0.868775360000000E+02
0.351221800000000E+02,-0.868733560000000E+02
0.351135710000000E+02,-0.868666040000000E+02
0.351113510000000E+02,-0.868637310000000E+02
0.351061970000000E+02,-0.868649550000000E+02
0.351026010000000E+02,-0.868650090000000E+02
0.350991210000000E+02,-0.868621910000000E+02
0.350973150000000E+02,-0.868538010000000E+02
0.350967680000000E+02,-0.868425430000000E+02
0.350973880000000E+02,-0.868372480000000E+02
0.350998850000000E+02,-0.868368030000000E+02
0.350996450000000E+02,-0.868332310000000E+02
0.350996450000000E+02,-0.868332310000000E+02
0.350883640000000E+02,-0.868335220000000E+02
0.350917850000000E+02,-0.868207650000000E+02
0.350921450000000E+02,-0.868171540000000E+02
0.350950310000000E+02,-0.868137830000000E+02
0.350964970000000E+02,-0.868102720000000E+02
0.350964050000000E+02,-0.868069550000000E+02
0.350936330000000E+02,-0.867967830000000E+02
0.350943880000000E+02,-0.867929930000000E+02
0.350984470000000E+02,-0.867806680000000E+02
0.351029290000000E+02,-0.867822900000000E+02
0.351037300000000E+02,-0.867813150000000E+02
0.351037300000000E+02,-0.867813150000000E+02
0.350984840000000E+02,-0.867801500000000E+02
0.350983470000000E+02,-0.867780550000000E+02
0.350973160000000E+02,-0.867765510000000E+02
0.350952770000000E+02,-0.867752980000000E+02
0.350933760000000E+02,-0.867751320000000E+02
0.350918410000000E+02,-0.867742410000000E+02
0.350914970000000E+02,-0.867719560000000E+02
0.350925040000000E+02,-0.867698100000000E+02
0.350964200000000E+02,-0.867683030000000E+02
0.350975200000000E+02,-0.867684140000000E+02
0.351042340000000E+02,-0.867779970000000E+02
0.351056770000000E+02,-0.867785260000000E+02
0.351077840000000E+02,-0.867781350000000E+02
0.351127070000000E+02,-0.867724190000000E+02
0.351128440000000E+02,-0.867706910000000E+02
0.351094070000000E+02,-0.867672090000000E+02
0.351053520000000E+02,-0.867653430000000E+02
0.351011600000000E+02,-0.867645090000000E+02
0.350992580000000E+02,-0.867633400000000E+02
0.350956370000000E+02,-0.867570720000000E+02
0.350931840000000E+02,-0.867487200000000E+02
0.350933450000000E+02,-0.867472160000000E+02
0.350952470000000E+02,-0.867448200000000E+02
0.350924320000000E+02,-0.867405830000000E+02
0.350866620000000E+02,-0.867352010000000E+02
0.350854720000000E+02,-0.867343370000000E+02
0.350837970000000E+02,-0.867346260000000E+02
0.350837970000000E+02,-0.867346260000000E+02
0.350803390000000E+02,-0.867409370000000E+02
0.350789180000000E+02,-0.867417720000000E+02
0.350716340000000E+02,-0.867435230000000E+02
0.350691140000000E+02,-0.867453870000000E+02
0.350682410000000E+02,-0.867491470000000E+02
0.350692730000000E+02,-0.867536630000000E+02
0.350691820000000E+02,-0.867552510000000E+02
0.350682680000000E+02,-0.867587340000000E+02
0.350636420000000E+02,-0.867622190000000E+02
0.350612170000000E+02,-0.867673190000000E+02
0.350515080000000E+02,-0.867765430000000E+02
0.350470240000000E+02,-0.867800780000000E+02
0.350261780000000E+02,-0.867855030000000E+02
0.350208310000000E+02,-0.867882440000000E+02
0.350198100000000E+02,-0.867787010000000E+02
0.350202890000000E+02,-0.867739680000000E+02
0.350198990000000E+02,-0.867716290000000E+02
0.350152680000000E+02,-0.867605510000000E+02
0.350147140000000E+02,-0.867499990000000E+02
0.350137540000000E+02,-0.867456550000000E+02
0.350135960000000E+02,-0.867403930000000E+02
0.350141800000000E+02,-0.867357630000000E+02
0.350013940000000E+02,-0.867277200000000E+02
0.349977660000000E+02,-0.867268830000000E+02
0.349950630000000E+02,-0.867291360000000E+02
0.349920000007987E+02,-0.867288032780413E+02
0.349920000007987E+02,-0.867288032780413E+02
0.349919250000000E+02,-0.867836480000000E+02
0.349919250000000E+02,-0.867836480000000E+02
0.349917640000000E+02,-0.868206570000000E+02
0.349917640000000E+02,-0.868363700000000E+02
0.349918600000000E+02,-0.868464660000000E+02
0.349919240000000E+02,-0.868497940000000E+02
0.349919560000000E+02,-0.868621470000000E+02
0.349924032470254E+02,-0.868813568453342E+02
0.349929518832542E+02,-0.869049214897047E+02
0.349929518832542E+02,-0.869049214897047E+02
0.350089530000000E+02,-0.869054070000000E+02
0.350101660000000E+02,-0.869028460000000E+02
0.350110120000000E+02,-0.868961090000000E+02
0.350087880000000E+02,-0.868898740000000E+02
0.350104460000000E+02,-0.868881660000000E+02
0.350176290000000E+02,-0.868928200000000E+02
0.350223670000000E+02,-0.868852990000000E+02
0.350247950000000E+02,-0.868847960000000E+02
0.350272920000000E+02,-0.868863540000000E+02
0.350278190000000E+02,-0.868850450000000E+02
0.350286450000000E+02,-0.868827060000000E+02
0.350273820000000E+02,-0.868817040000000E+02
0.350250680000000E+02,-0.868806200000000E+02
0.350207840000000E+02,-0.868801500000000E+02
0.350172910000000E+02,-0.868808670000000E+02
0.350098390000000E+02,-0.868854460000000E+02
0.350061960000000E+02,-0.868828320000000E+02
0.350027810000000E+02,-0.868783290000000E+02
0.350077290000000E+02,-0.868795460000000E+02
0.350090320000000E+02,-0.868795300000000E+02
0.350121490000000E+02,-0.868780400000000E+02
0.350200510000000E+02,-0.868790920000000E+02
0.350358320000000E+02,-0.868789690000000E+02
0.350380560000000E+02,-0.868764870000000E+02
0.350375140000000E+02,-0.868711850000000E+02
0.350386740000000E+02,-0.868692560000000E+02
0.350471280000000E+02,-0.868631910000000E+02
0.350496250000000E+02,-0.868624680000000E+02
0.350496690000000E+02,-0.868676210000000E+02
0.350490270000000E+02,-0.868686510000000E+02
0.350476070000000E+02,-0.868689280000000E+02
0.350472860000000E+02,-0.868695130000000E+02
0.350474750000000E+02,-0.868800790000000E+02
0.350622880000000E+02,-0.868815130000000E+02
0.350587580000000E+02,-0.868864310000000E+02
0.350564800000000E+02,-0.868843960000000E+02
0.350539037609375E+02,-0.868840364091797E+02
0.350508160000000E+02,-0.868869520000000E+02
0.350507930000000E+02,-0.868874260000000E+02
