LAT,LON
0.392524060000000E+02,-0.110061877000000E+03
0.392502130000000E+02,-0.110062952000000E+03
0.392481320000000E+02,-0.110061934000000E+03
0.392461640000000E+02,-0.110059431000000E+03
0.392434860000000E+02,-0.110057872000000E+03
0.392392290000000E+02,-0.110057990000000E+03
0.392332100000000E+02,-0.110053840000000E+03
0.392312190000000E+02,-0.110053223000000E+03
0.392287010000000E+02,-0.110053429000000E+03
0.392236900000000E+02,-0.110059962000000E+03
0.392228200000000E+02,-0.110062286000000E+03
0.392228210000000E+02,-0.110064169000000E+03
0.392236680000000E+02,-0.110066377000000E+03
0.392247880000000E+02,-0.110067760000000E+03
0.392272830000000E+02,-0.110068849000000E+03
0.392283130000000E+02,-0.110071144000000E+03
0.392283810000000E+02,-0.110073469000000E+03
0.392267800000000E+02,-0.110076381000000E+03
0.392254290000000E+02,-0.110077087000000E+03
0.392234380000000E+02,-0.110077058000000E+03
0.392206920000000E+02,-0.110075939000000E+03
0.392194330000000E+02,-0.110077086000000E+03
0.392182430000000E+02,-0.110077321000000E+03
0.392081050000000E+02,-0.110071877000000E+03
0.392059300000000E+02,-0.110071582000000E+03
0.392013990000000E+02,-0.110072729000000E+03
0.391947610000000E+02,-0.110078081000000E+03
0.391928390000000E+02,-0.110078698000000E+03
0.391916480000000E+02,-0.110081580000000E+03
0.391914420000000E+02,-0.110083580000000E+03
0.391928140000000E+02,-0.110088168000000E+03
0.391929280000000E+02,-0.110090315000000E+03
0.391902260000000E+02,-0.110096314000000E+03
0.391858300000000E+02,-0.110101576000000E+03
0.391813900000000E+02,-0.110104249000000E+03
0.391788950000000E+02,-0.110104483000000E+03
0.391694450000000E+02,-0.110098302000000E+03
0.391670420000000E+02,-0.110098448000000E+03
0.391646380000000E+02,-0.110100446000000E+03
0.391619590000000E+02,-0.110103943000000E+03
0.391612020000000E+02,-0.110109293000000E+03
0.391597360000000E+02,-0.110112261000000E+03
0.391542870000000E+02,-0.110115755000000E+03
0.391527090000000E+02,-0.110114990000000E+03
0.391498030000000E+02,-0.110111872000000E+03
0.391478810000000E+02,-0.110110930000000E+03
0.391465540000000E+02,-0.110111165000000E+03
0.391451580000000E+02,-0.110109488000000E+03
0.391439240000000E+02,-0.110103932000000E+03
0.391429410000000E+02,-0.110101815000000E+03
0.391368080000000E+02,-0.110098638000000E+03
0.391359150000000E+02,-0.110098813000000E+03
0.391334200000000E+02,-0.110102486000000E+03
0.391328460000000E+02,-0.110106511000000E+03
0.391295950000000E+02,-0.110111857000000E+03
0.391249690000000E+02,-0.110113734000000E+03
0.391211130000000E+02,-0.110114199000000E+03
0.391164900000000E+02,-0.110112374000000E+03
0.391149580000000E+02,-0.110109406000000E+03
0.391132190000000E+02,-0.110108700000000E+03
0.391125550000000E+02,-0.110108935000000E+03
0.391108830000000E+02,-0.110111372000000E+03
0.391081140000000E+02,-0.110111487000000E+03
0.391061910000000E+02,-0.110111338000000E+03
0.391049330000000E+02,-0.110110339000000E+03
0.391038800000000E+02,-0.110110309000000E+03
0.391037420000000E+02,-0.110112012000000E+03
0.391014300000000E+02,-0.110113832000000E+03
0.390967370000000E+02,-0.110116296000000E+03
0.390934390000000E+02,-0.110119876000000E+03
0.390910570000000E+02,-0.110123898000000E+03
0.390898210000000E+02,-0.110128373000000E+03
0.390869380000000E+02,-0.110130901000000E+03
0.390868950000000E+02,-0.110134426000000E+03
0.390880640000000E+02,-0.110138918000000E+03
0.390874470000000E+02,-0.110141033000000E+03
0.390863490000000E+02,-0.110142384000000E+03
0.390848380000000E+02,-0.110142121000000E+03
0.390826170000000E+02,-0.110139421000000E+03
0.390812210000000E+02,-0.110139305000000E+03
0.390781090000000E+02,-0.110141214000000E+03
0.390760510000000E+02,-0.110144828000000E+03
0.390748150000000E+02,-0.110145092000000E+03
0.390740810000000E+02,-0.110141658000000E+03
0.390724550000000E+02,-0.110139515000000E+03
0.390680610000000E+02,-0.110139254000000E+03
0.390655660000000E+02,-0.110139696000000E+03
0.390624760000000E+02,-0.110138817000000E+03
0.390600030000000E+02,-0.110136676000000E+03
0.390593850000000E+02,-0.110136647000000E+03
0.390584930000000E+02,-0.110136912000000E+03
0.390568460000000E+02,-0.110139672000000E+03
0.390547870000000E+02,-0.110141405000000E+03
0.390387000000000E+02,-0.110148753000000E+03
0.390297970000000E+02,-0.110147026000000E+03
0.390289500000000E+02,-0.110146175000000E+03
0.390258800000000E+02,-0.110140045000000E+03
0.390253080000000E+02,-0.110139634000000E+03
0.390229960000000E+02,-0.110139723000000E+03
0.390190840000000E+02,-0.110142718000000E+03
0.390177800000000E+02,-0.110144978000000E+03
0.390169800000000E+02,-0.110147824000000E+03
0.390167530000000E+02,-0.110152314000000E+03
0.390159060000000E+02,-0.110153488000000E+03
0.390133880000000E+02,-0.110152550000000E+03
0.390111440000000E+02,-0.110150145000000E+03
0.390097240000000E+02,-0.110146978000000E+03
0.390096990000000E+02,-0.110141023000000E+03
0.390089430000000E+02,-0.110139821000000E+03
0.390064480000000E+02,-0.110138149000000E+03
0.390020990000000E+02,-0.110137830000000E+03
0.389968720000000E+02,-0.110139914000000E+03
0.389908770000000E+02,-0.110144024000000E+03
0.389898240000000E+02,-0.110145638000000E+03
0.389891390000000E+02,-0.110148131000000E+03
0.389875140000000E+02,-0.110149187000000E+03
0.389835780000000E+02,-0.110149102000000E+03
0.389793660000000E+02,-0.110147579000000E+03
0.389778570000000E+02,-0.110149721000000E+03
0.389768270000000E+02,-0.110149780000000E+03
0.389741710000000E+02,-0.110148697000000E+03
0.389713550000000E+02,-0.110146323000000E+03
0.389682180000000E+02,-0.110143452000000E+03
0.389640500000000E+02,-0.110137709000000E+03
0.389616920000000E+02,-0.110136127000000E+03
0.389600680000000E+02,-0.110136744000000E+03
0.389577110000000E+02,-0.110139178000000E+03
0.389563620000000E+02,-0.110142053000000E+03
0.389553340000000E+02,-0.110147623000000E+03
0.389537560000000E+02,-0.110150321000000E+03
0.389520630000000E+02,-0.110151640000000E+03
0.389503690000000E+02,-0.110152052000000E+03
0.389489490000000E+02,-0.110150587000000E+03
0.389466350000000E+02,-0.110143114000000E+03
0.389453750000000E+02,-0.110140711000000E+03
0.389403610000000E+02,-0.110137110000000E+03
0.389347290000000E+02,-0.110134037000000E+03
0.389306330000000E+02,-0.110132400000000E+03
0.389285040000000E+02,-0.110132255000000E+03
0.389249810000000E+02,-0.110136506000000E+03
0.389239520000000E+02,-0.110139261000000E+03
0.389235190000000E+02,-0.110143509000000E+03
0.389233160000000E+02,-0.110150014000000E+03
0.389245760000000E+02,-0.110153559000000E+03
0.389261340000000E+02,-0.110163140000000E+03
0.389263180000000E+02,-0.110167242000000E+03
0.389253810000000E+02,-0.110173513000000E+03
0.389243740000000E+02,-0.110175594000000E+03
0.389194310000000E+02,-0.110177821000000E+03
0.389164780000000E+02,-0.110177294000000E+03
0.389140520000000E+02,-0.110175888000000E+03
0.389116250000000E+02,-0.110175595000000E+03
0.389103210000000E+02,-0.110177382000000E+03
0.389084210000000E+02,-0.110178613000000E+03
0.389077810000000E+02,-0.110178496000000E+03
0.389062010000000E+02,-0.110173282000000E+03
0.389016220000000E+02,-0.110166956000000E+03
0.388992640000000E+02,-0.110164350000000E+03
0.388962650000000E+02,-0.110162711000000E+03
0.388917100000000E+02,-0.110159139000000E+03
0.388886200000000E+02,-0.110158818000000E+03
0.388804500000000E+02,-0.110161076000000E+03
0.388730040000000E+02,-0.110160257000000E+03
0.388674660000000E+02,-0.110161841000000E+03
0.388641010000000E+02,-0.110161696000000E+03
0.388627500000000E+02,-0.110159237000000E+03
0.388630470000000E+02,-0.110155578000000E+03
0.388657460000000E+02,-0.110149897000000E+03
0.388692460000000E+02,-0.110145005000000E+03
0.388700220000000E+02,-0.110140496000000E+03
0.388694260000000E+02,-0.110138593000000E+03
0.388683270000000E+02,-0.110137306000000E+03
0.388621920000000E+02,-0.110134500000000E+03
0.388606810000000E+02,-0.110134560000000E+03
0.388545480000000E+02,-0.110136409000000E+03
0.388508650000000E+02,-0.110140480000000E+03
0.388482790000000E+02,-0.110142530000000E+03
0.388445260000000E+02,-0.110144698000000E+03
0.388426490000000E+02,-0.110144934000000E+03
0.388371320000000E+02,-0.110140606000000E+03
0.388359180000000E+02,-0.110138617000000E+03
0.388350460000000E+02,-0.110135164000000E+03
0.388350890000000E+02,-0.110129311000000E+03
0.388329400000000E+02,-0.110120804000000E+03
0.388308360000000E+02,-0.110118578000000E+03
0.388290280000000E+02,-0.110118079000000E+03
0.388269900000000E+02,-0.110118868000000E+03
0.388253180000000E+02,-0.110121529000000E+03
0.388225020000000E+02,-0.110123809000000E+03
0.388212890000000E+02,-0.110123662000000E+03
0.388207630000000E+02,-0.110122579000000E+03
0.388194170000000E+02,-0.110112688000000E+03
0.388188230000000E+02,-0.110111371000000E+03
0.388110430000000E+02,-0.110105340000000E+03
0.388034670000000E+02,-0.110103405000000E+03
0.388012240000000E+02,-0.110103901000000E+03
0.387988200000000E+02,-0.110106210000000E+03
0.387914440000000E+02,-0.110119425000000E+03
0.387905290000000E+02,-0.110119687000000E+03
0.387855860000000E+02,-0.110116379000000E+03
0.387793650000000E+02,-0.110109064000000E+03
0.387707650000000E+02,-0.110089294000000E+03
0.387663930000000E+02,-0.110088094000000E+03
0.387627540000000E+02,-0.110085550000000E+03
0.387567810000000E+02,-0.110081104000000E+03
0.387542640000000E+02,-0.110080665000000E+03
0.387530280000000E+02,-0.110081366000000E+03
0.387515620000000E+02,-0.110083909000000E+03
0.387508750000000E+02,-0.110086248000000E+03
0.387499760000000E+02,-0.110094328000000E+03
0.387477080000000E+02,-0.110100244000000E+03
0.387452580000000E+02,-0.110101762000000E+03
0.387436330000000E+02,-0.110101908000000E+03
0.387393520000000E+02,-0.110105062000000E+03
0.387350940000000E+02,-0.110109150000000E+03
0.387298510000000E+02,-0.110112858000000E+03
0.387261890000000E+02,-0.110111687000000E+03
0.387189360000000E+02,-0.110105898000000E+03
0.387173340000000E+02,-0.110105225000000E+03
0.387158460000000E+02,-0.110105458000000E+03
0.387133500000000E+02,-0.110108027000000E+03
0.387116780000000E+02,-0.110111035000000E+03
0.387119720000000E+02,-0.110118630000000E+03
0.387113760000000E+02,-0.110120470000000E+03
0.387103000000000E+02,-0.110121930000000E+03
0.387083770000000E+02,-0.110122483000000E+03
0.387067530000000E+02,-0.110121051000000E+03
0.387062270000000E+02,-0.110119677000000E+03
0.387062280000000E+02,-0.110116990000000E+03
0.387079470000000E+02,-0.110111996000000E+03
0.387131450000000E+02,-0.110104551000000E+03
0.387150240000000E+02,-0.110100053000000E+03
0.387155290000000E+02,-0.110093450000000E+03
0.387149810000000E+02,-0.110089535000000E+03
0.387142030000000E+02,-0.110087811000000E+03
0.387127840000000E+02,-0.110086379000000E+03
0.387096030000000E+02,-0.110085327000000E+03
0.387080690000000E+02,-0.110085209000000E+03
0.387049330000000E+02,-0.110085997000000E+03
0.387007890000000E+02,-0.110089968000000E+03
0.386986600000000E+02,-0.110092742000000E+03
0.386959350000000E+02,-0.110097618000000E+03
0.386930050000000E+02,-0.110099632000000E+03
0.386904410000000E+02,-0.110099018000000E+03
0.386877880000000E+02,-0.110096534000000E+03
0.386845390000000E+02,-0.110091890000000E+03
0.386822280000000E+02,-0.110087567000000E+03
0.386799170000000E+02,-0.110085990000000E+03
0.386764830000000E+02,-0.110086397000000E+03
0.386684020000000E+02,-0.110093694000000E+03
0.386669370000000E+02,-0.110094102000000E+03
0.386660900000000E+02,-0.110093634000000E+03
0.386653350000000E+02,-0.110092174000000E+03
0.386652670000000E+02,-0.110089313000000E+03
0.386671450000000E+02,-0.110085576000000E+03
0.386706930000000E+02,-0.110081665000000E+03
0.386734860000000E+02,-0.110077578000000E+03
0.386744940000000E+02,-0.110074542000000E+03
0.386739900000000E+02,-0.110071797000000E+03
0.386706940000000E+02,-0.110068469000000E+03
0.386672380000000E+02,-0.110067885000000E+03
0.386653160000000E+02,-0.110068965000000E+03
0.386620880000000E+02,-0.110072234000000E+03
0.386600280000000E+02,-0.110073343000000E+03
0.386591120000000E+02,-0.110073343000000E+03
0.386568920000000E+02,-0.110070599000000E+03
0.386568010000000E+02,-0.110068877000000E+03
0.386587240000000E+02,-0.110064994000000E+03
0.386622710000000E+02,-0.110060587000000E+03
0.386625690000000E+02,-0.110059214000000E+03
0.386620420000000E+02,-0.110057053000000E+03
0.386602110000000E+02,-0.110055185000000E+03
0.386583340000000E+02,-0.110054952000000E+03
0.386546490000000E+02,-0.110056850000000E+03
0.386497510000000E+02,-0.110058601000000E+03
