LAT,LON
0.383283490000000E+02,-0.111566127000000E+03
0.383251790000000E+02,-0.111565997000000E+03
0.383200970000000E+02,-0.111564893000000E+03
0.383180140000000E+02,-0.111563702000000E+03
0.383123590000000E+02,-0.111557281000000E+03
0.383097040000000E+02,-0.111552459000000E+03
0.383096600000000E+02,-0.111551877000000E+03
0.383173490000000E+02,-0.111551877000000E+03
0.383175280000000E+02,-0.111526685000000E+03
0.383175280000000E+02,-0.111526685000000E+03
0.383096730000000E+02,-0.111518177000000E+03
0.383078630000000E+02,-0.111514401000000E+03
0.383073980000000E+02,-0.111511176000000E+03
0.383092570000000E+02,-0.111508067000000E+03
0.383103780000000E+02,-0.111507049000000E+03
0.383075170000000E+02,-0.111490497000000E+03
0.383089610000000E+02,-0.111487708000000E+03
0.383104720000000E+02,-0.111485995000000E+03
0.383119150000000E+02,-0.111485299000000E+03
0.383121910000000E+02,-0.111482452000000E+03
0.383117340000000E+02,-0.111479256000000E+03
0.383089440000000E+02,-0.111470800000000E+03
0.383071550000000E+02,-0.111468813000000E+03
0.383019800000000E+02,-0.111470806000000E+03
0.383027480000000E+02,-0.111450633000000E+03
0.383023320000000E+02,-0.111448255000000E+03
0.383003640000000E+02,-0.111444013000000E+03
0.382991510000000E+02,-0.111435327000000E+03
0.382989650000000E+02,-0.111413831000000E+03
0.382911820000000E+02,-0.111414037000000E+03
0.382878630000000E+02,-0.111414909000000E+03
0.382838800000000E+02,-0.111417061000000E+03
0.382805610000000E+02,-0.111417352000000E+03
0.382776770000000E+02,-0.111416482000000E+03
0.382712840000000E+02,-0.111396563000000E+03
0.382690170000000E+02,-0.111394387000000E+03
0.382660160000000E+02,-0.111389249000000E+03
0.382672970000000E+02,-0.111386519000000E+03
0.382676620000000E+02,-0.111382482000000E+03
0.382672720000000E+02,-0.111381786000000E+03
0.382644800000000E+02,-0.111382398000000E+03
0.382636320000000E+02,-0.111382166000000E+03
0.382628760000000E+02,-0.111379351000000E+03
0.382630120000000E+02,-0.111377666000000E+03
0.382620500000000E+02,-0.111376274000000E+03
0.382586390000000E+02,-0.111376335000000E+03
0.382528490000000E+02,-0.111378952000000E+03
0.382406600000000E+02,-0.111377134000000E+03
0.382355560000000E+02,-0.111371158000000E+03
0.382316450000000E+02,-0.111362216000000E+03
0.382286040000000E+02,-0.111357542000000E+03
0.382265900000000E+02,-0.111355887000000E+03
0.382249640000000E+02,-0.111355857000000E+03
0.382240260000000E+02,-0.111356872000000E+03
0.382211190000000E+02,-0.111355448000000E+03
0.382157420000000E+02,-0.111346711000000E+03
0.382078900000000E+02,-0.111347607000000E+03
0.382014320000000E+02,-0.111353608000000E+03
0.381975400000000E+02,-0.111355985000000E+03
0.381935330000000E+02,-0.111357288000000E+03
0.381931450000000E+02,-0.111355141000000E+03
0.381909700000000E+02,-0.111353660000000E+03
0.381838520000000E+02,-0.111349799000000E+03
0.381778560000000E+02,-0.111347360000000E+03
0.381687920000000E+02,-0.111342136000000E+03
0.381676710000000E+02,-0.111339178000000E+03
0.381661380000000E+02,-0.111337438000000E+03
0.381578970000000E+02,-0.111331636000000E+03
0.381552650000000E+02,-0.111333288000000E+03
0.381534000000000E+02,-0.111332915000000E+03
0.381534000000000E+02,-0.111332915000000E+03
0.381539820000000E+02,-0.111414030000000E+03
0.381500820000000E+02,-0.111414430000000E+03
0.381504820000000E+02,-0.111488333000000E+03
0.381501230000000E+02,-0.111627544000000E+03
0.381504630000000E+02,-0.111632540000000E+03
0.381511830000000E+02,-0.111635038000000E+03
0.381512800000000E+02,-0.111842800000000E+03
0.381512800000000E+02,-0.111842800000000E+03
0.381707230000000E+02,-0.111842610000000E+03
0.382117670000000E+02,-0.111842802000000E+03
0.382379080000000E+02,-0.111842965000000E+03
0.382379080000000E+02,-0.111842965000000E+03
0.382340120000000E+02,-0.111837188000000E+03
0.382323190000000E+02,-0.111832864000000E+03
0.382328000000000E+02,-0.111826335000000E+03
0.382341740000000E+02,-0.111822794000000E+03
0.382353190000000E+02,-0.111816467000000E+03
0.382360290000000E+02,-0.111806861000000E+03
0.382349990000000E+02,-0.111805294000000E+03
0.382353190000000E+02,-0.111802479000000E+03
0.382369660000000E+02,-0.111797516000000E+03
0.382346980000000E+02,-0.111786691000000E+03
0.382357240000000E+02,-0.111772035000000E+03
0.382364550000000E+02,-0.111767536000000E+03
0.382377590000000E+02,-0.111766781000000E+03
0.382383300000000E+02,-0.111762137000000E+03
0.382351890000000E+02,-0.111752997000000E+03
0.382338170000000E+02,-0.111743499000000E+03
0.382333630000000E+02,-0.111735373000000E+03
0.382356320000000E+02,-0.111728611000000E+03
0.382365970000000E+02,-0.111717177000000E+03
0.382374680000000E+02,-0.111714421000000E+03
0.382394140000000E+02,-0.111712999000000E+03
0.382457090000000E+02,-0.111710012000000E+03
0.382499820000000E+02,-0.111709302000000E+03
0.382688890000000E+02,-0.111704240000000E+03
0.382730560000000E+02,-0.111701772000000E+03
0.382740860000000E+02,-0.111698956000000E+03
0.382741780000000E+02,-0.111696226000000E+03
0.382737890000000E+02,-0.111691986000000E+03
0.382724610000000E+02,-0.111689170000000E+03
0.382721860000000E+02,-0.111683362000000E+03
0.382767870000000E+02,-0.111678745000000E+03
0.382791910000000E+02,-0.111678396000000E+03
0.382815710000000E+02,-0.111676538000000E+03
0.382836540000000E+02,-0.111671194000000E+03
0.382842260000000E+02,-0.111667969000000E+03
0.382842020000000E+02,-0.111662016000000E+03
0.382828500000000E+02,-0.111657166000000E+03
0.382825970000000E+02,-0.111652201000000E+03
0.382830540000000E+02,-0.111650894000000E+03
0.382867840000000E+02,-0.111647436000000E+03
0.382910390000000E+02,-0.111640173000000E+03
0.382974890000000E+02,-0.111627561000000E+03
0.382981740000000E+02,-0.111624469000000E+03
0.382984520000000E+02,-0.111616888000000E+03
0.383015220000000E+02,-0.111609687000000E+03
0.383047750000000E+02,-0.111604052000000E+03
0.383052580000000E+02,-0.111596529000000E+03
0.383080060000000E+02,-0.111594351000000E+03
0.383094940000000E+02,-0.111592434000000E+03
0.383112810000000E+02,-0.111586944000000E+03
0.383166150000000E+02,-0.111584709000000E+03
0.383205530000000E+02,-0.111581485000000E+03
0.383214690000000E+02,-0.111576428000000E+03
0.383241940000000E+02,-0.111570763000000E+03
0.383258190000000E+02,-0.111570414000000E+03
0.383269410000000E+02,-0.111569223000000E+03
0.383284750000000E+02,-0.111566928000000E+03
0.383283490000000E+02,-0.111566127000000E+03
END,END
