LAT,LON
0.387155160000000E+02,-0.783814470000000E+02
0.387144520000000E+02,-0.783780440000000E+02
0.387124600000000E+02,-0.783752430000000E+02
0.387119610000000E+02,-0.783734190000000E+02
0.387106650000000E+02,-0.783628740000000E+02
0.387119200000000E+02,-0.783539250000000E+02
0.387149680000000E+02,-0.783427870000000E+02
0.387165240000000E+02,-0.783398160000000E+02
0.387208940000000E+02,-0.783367800000000E+02
0.387238910000000E+02,-0.783371020000000E+02
0.387260410000000E+02,-0.783367230000000E+02
0.387346650000000E+02,-0.783334740000000E+02
0.387362200000000E+02,-0.783316730000000E+02
0.387429120000000E+02,-0.783286570000000E+02
0.387451950000000E+02,-0.783281480000000E+02
0.387483440000000E+02,-0.783258330000000E+02
0.387484400000000E+02,-0.783205430000000E+02
0.387454850000000E+02,-0.783143830000000E+02
0.387426490000000E+02,-0.783133020000000E+02
0.387414820000000E+02,-0.783142080000000E+02
0.387407040000000E+02,-0.783162810000000E+02
0.387373340000000E+02,-0.783147650000000E+02
0.387373340000000E+02,-0.783147650000000E+02
0.387378660000000E+02,-0.783187750000000E+02
0.387349420000000E+02,-0.783202530000000E+02
0.387292920000000E+02,-0.783219450000000E+02
0.387271970000000E+02,-0.783214790000000E+02
0.387212590000000E+02,-0.783237270000000E+02
0.387168210000000E+02,-0.783270820000000E+02
0.387056380000000E+02,-0.783322160000000E+02
0.387026420000000E+02,-0.783317050000000E+02
0.387026790000000E+02,-0.783288040000000E+02
0.386999180000000E+02,-0.783218960000000E+02
0.386983520000000E+02,-0.783199890000000E+02
0.386905570000000E+02,-0.783163560000000E+02
0.386825090000000E+02,-0.783143860000000E+02
0.386805140000000E+02,-0.783165940000000E+02
0.386781570000000E+02,-0.783208120000000E+02
0.386757420000000E+02,-0.783227560000000E+02
0.386726960000000E+02,-0.783239670000000E+02
0.386720920000000E+02,-0.783238380000000E+02
0.386711350000000E+02,-0.783200640000000E+02
0.386694990000000E+02,-0.783175460000000E+02
0.386653970000000E+02,-0.783179140000000E+02
0.386595280000000E+02,-0.783201360000000E+02
0.386577830000000E+02,-0.783198640000000E+02
0.386564550000000E+02,-0.783180000000000E+02
0.386515680000000E+02,-0.783155770000000E+02
0.386488500000000E+02,-0.783181270000000E+02
0.386464260000000E+02,-0.783196190000000E+02
0.386402140000000E+02,-0.783221330000000E+02
0.386385800000000E+02,-0.783220520000000E+02
0.386307170000000E+02,-0.783258680000000E+02
0.386287760000000E+02,-0.783276130000000E+02
0.386279950000000E+02,-0.783294820000000E+02
0.386279780000000E+02,-0.783312840000000E+02
0.386287490000000E+02,-0.783351800000000E+02
0.386272820000000E+02,-0.783383200000000E+02
0.386272820000000E+02,-0.783383200000000E+02
0.386256740000000E+02,-0.783411300000000E+02
0.386231130000000E+02,-0.783437750000000E+02
0.386192570000000E+02,-0.783448230000000E+02
0.386166240000000E+02,-0.783480530000000E+02
0.386139020000000E+02,-0.783535690000000E+02
0.386133110000000E+02,-0.783572880000000E+02
0.386137010000000E+02,-0.783595310000000E+02
0.386137010000000E+02,-0.783595310000000E+02
0.386144440000000E+02,-0.783591170000000E+02
0.386190540000000E+02,-0.783598810000000E+02
0.386221230000000E+02,-0.783614970000000E+02
0.386265810000000E+02,-0.783596890000000E+02
0.386291130000000E+02,-0.783591830000000E+02
0.386323180000000E+02,-0.783642290000000E+02
0.386323180000000E+02,-0.783642290000000E+02
0.386331560000000E+02,-0.783639450000000E+02
0.386340000000000E+02,-0.783621450000000E+02
0.386321000000000E+02,-0.783607470000000E+02
0.386334710000000E+02,-0.783547620000000E+02
0.386313780000000E+02,-0.783502230000000E+02
