LAT,LON
0.378107340582645E+02,-0.757401254573690E+02
0.378068200000000E+02,-0.757350760000000E+02
0.378039360000000E+02,-0.757324200000000E+02
0.378014190000000E+02,-0.757313800000000E+02
0.378004560000000E+02,-0.757347830000000E+02
0.378010040000000E+02,-0.757365440000000E+02
0.378022400000000E+02,-0.757381890000000E+02
0.378046210000000E+02,-0.757373830000000E+02
0.378080550000000E+02,-0.757377310000000E+02
0.378089010000000E+02,-0.757390010000000E+02
0.378085800000000E+02,-0.757412520000000E+02
0.378089492371705E+02,-0.757414259959159E+02
0.378089492371705E+02,-0.757414259959159E+02
0.378107340582645E+02,-0.757401254573690E+02
END,END
0.378062135450439E+02,-0.757807458211577E+02
0.378060710000000E+02,-0.757801850000000E+02
0.378037790000000E+02,-0.757714440000000E+02
0.377987390000000E+02,-0.757621280000000E+02
0.377983730000000E+02,-0.757624170000000E+02
0.378045820000000E+02,-0.757796950000000E+02
0.378044910000000E+02,-0.757801280000000E+02
0.377978750000000E+02,-0.757811690000000E+02
0.377958380000000E+02,-0.757809100000000E+02
0.377919000000000E+02,-0.757791230000000E+02
0.377888070000000E+02,-0.757732690000000E+02
0.377845260000000E+02,-0.757728100000000E+02
0.377830840000000E+02,-0.757735890000000E+02
0.377821900000000E+02,-0.757704170000000E+02
0.377811800000000E+02,-0.757616200000000E+02
0.377853000000000E+02,-0.757611270000000E+02
0.377870370000000E+02,-0.757552990000000E+02
0.377871510000000E+02,-0.757528760000000E+02
0.377763670000000E+02,-0.757502020000000E+02
0.377746280000000E+02,-0.757526840000000E+02
0.377723390000000E+02,-0.757525990000000E+02
0.377583960000000E+02,-0.757490290000000E+02
0.377543670000000E+02,-0.757471220000000E+02
0.377528120000000E+02,-0.757438630000000E+02
0.377540750000000E+02,-0.757371460000000E+02
0.377551960000000E+02,-0.757381560000000E+02
0.377551960000000E+02,-0.757387330000000E+02
0.377538900000000E+02,-0.757412980000000E+02
0.377540490000000E+02,-0.757431720000000E+02
0.377551700000000E+02,-0.757449900000000E+02
0.377573210000000E+02,-0.757467790000000E+02
0.377659060000000E+02,-0.757463820000000E+02
0.377720160000000E+02,-0.757481170000000E+02
0.377791370000000E+02,-0.757459600000000E+02
0.377824110000000E+02,-0.757460780000000E+02
