LAT,LON
0.377636940000000E+02,-0.785560960000000E+02
0.377649740000000E+02,-0.785474200000000E+02
0.377651790000000E+02,-0.785394940000000E+02
0.377646070000000E+02,-0.785375920000000E+02
0.377627760000000E+02,-0.785358340000000E+02
0.377598680000000E+02,-0.785287460000000E+02
0.377582850000000E+02,-0.785162670000000E+02
0.377582140000000E+02,-0.785111960000000E+02
0.377596080000000E+02,-0.785060650000000E+02
0.377615730000000E+02,-0.785013950000000E+02
0.377649860000000E+02,-0.784976400000000E+02
0.377694260000000E+02,-0.784963750000000E+02
0.377725830000000E+02,-0.784964350000000E+02
0.377824430000000E+02,-0.784992100000000E+02
0.377880910000000E+02,-0.785000670000000E+02
0.377906800000000E+02,-0.784993390000000E+02
0.377946390000000E+02,-0.784970000000000E+02
0.377960350000000E+02,-0.784952710000000E+02
0.377974320000000E+02,-0.784914660000000E+02
0.377973650000000E+02,-0.784894480000000E+02
0.377967710000000E+02,-0.784876310000000E+02
0.377945750000000E+02,-0.784846020000000E+02
0.377823370000000E+02,-0.784789150000000E+02
0.377677200000000E+02,-0.784702320000000E+02
0.377656150000000E+02,-0.784686750000000E+02
0.377612690000000E+02,-0.784640040000000E+02
0.377572660000000E+02,-0.784569420000000E+02
0.377550020000000E+02,-0.784487290000000E+02
0.377519820000000E+02,-0.784444640000000E+02
0.377484060000000E+02,-0.784330470000000E+02
0.377471930000000E+02,-0.784305980000000E+02
0.377454540000000E+02,-0.784284950000000E+02
0.377424100000000E+02,-0.784211200000000E+02
0.377412870000000E+02,-0.784125630000000E+02
0.377386130000000E+02,-0.784029660000000E+02
0.377386130000000E+02,-0.784029660000000E+02
0.377382120000000E+02,-0.784090230000000E+02
0.377382120000000E+02,-0.784090230000000E+02
0.377382660000000E+02,-0.784095930000000E+02
0.377399840000000E+02,-0.784204050000000E+02
0.377399840000000E+02,-0.784204050000000E+02
0.377411060000000E+02,-0.784240300000000E+02
0.377462100000000E+02,-0.784352660000000E+02
0.377489330000000E+02,-0.784396170000000E+02
0.377501430000000E+02,-0.784442450000000E+02
0.377520400000000E+02,-0.784486950000000E+02
0.377568990000000E+02,-0.784607460000000E+02
0.377589810000000E+02,-0.784643780000000E+02
0.377634180000000E+02,-0.784697400000000E+02
0.377675130000000E+02,-0.784729120000000E+02
0.377801180000000E+02,-0.784802110000000E+02
0.377836180000000E+02,-0.784819140000000E+02
0.377919440000000E+02,-0.784848600000000E+02
0.377940260000000E+02,-0.784861880000000E+02
0.377951690000000E+02,-0.784874280000000E+02
0.377958550000000E+02,-0.784891590000000E+02
0.377959910000000E+02,-0.784911480000000E+02
0.377952120000000E+02,-0.784935410000000E+02
0.377937700000000E+02,-0.784955580000000E+02
0.377923280000000E+02,-0.784969120000000E+02
0.377897430000000E+02,-0.784982360000000E+02
0.377854180000000E+02,-0.784978870000000E+02
0.377711420000000E+02,-0.784946180000000E+02
0.377660400000000E+02,-0.784953930000000E+02
0.377642780000000E+02,-0.784961980000000E+02
0.377610480000000E+02,-0.784997310000000E+02
0.377594460000000E+02,-0.785028090000000E+02
0.377570240000000E+02,-0.785108510000000E+02
0.377566830000000E+02,-0.785148560000000E+02
0.377578290000000E+02,-0.785208210000000E+02
0.377580600000000E+02,-0.785266720000000E+02
0.377594340000000E+02,-0.785320600000000E+02
0.377618150000000E+02,-0.785373330000000E+02
0.377622280000000E+02,-0.785419450000000E+02
0.377632120000000E+02,-0.785443360000000E+02
0.377633950000000E+02,-0.785462100000000E+02
0.377617030000000E+02,-0.785574800000000E+02
0.377599420000000E+02,-0.785607650000000E+02
0.377570130000000E+02,-0.785704190000000E+02
0.377566920000000E+02,-0.785743390000000E+02
0.377539220000000E+02,-0.785808810000000E+02
0.377552930000000E+02,-0.785924660000000E+02
0.377550620000000E+02,-0.786006210000000E+02
0.377557450000000E+02,-0.786089800000000E+02
0.377553320000000E+02,-0.786129570000000E+02
0.377530420000000E+02,-0.786170760000000E+02
0.377491760000000E+02,-0.786217070000000E+02
0.377464960000000E+02,-0.786276410000000E+02
0.377419220000000E+02,-0.786325150000000E+02
0.377388130000000E+02,-0.786385680000000E+02
0.377367320000000E+02,-0.786415090000000E+02
0.377341930000000E+02,-0.786428940000000E+02
0.377318360000000E+02,-0.786435000000000E+02
0.377318360000000E+02,-0.786435000000000E+02
0.377246060000000E+02,-0.786449450000000E+02
0.377226380000000E+02,-0.786460400000000E+02
0.377201680000000E+02,-0.786481450000000E+02
0.377174010000000E+02,-0.786526120000000E+02
