LAT,LON
0.430617070000000E+02,-0.730005510000000E+02
0.430624900000000E+02,-0.729943610000000E+02
0.430614650000000E+02,-0.729842880000000E+02
0.430617440000000E+02,-0.729714720000000E+02
0.430611360000000E+02,-0.729684300000000E+02
0.430611360000000E+02,-0.729684300000000E+02
0.430591150000000E+02,-0.729688200000000E+02
0.430544050000000E+02,-0.729683500000000E+02
0.430498340000000E+02,-0.729645760000000E+02
0.430487360000000E+02,-0.729645750000000E+02
0.430466780000000E+02,-0.729666630000000E+02
0.430444140000000E+02,-0.729674410000000E+02
0.430408930000000E+02,-0.729662240000000E+02
0.430366860000000E+02,-0.729635410000000E+02
0.430366860000000E+02,-0.729635410000000E+02
0.430198360000000E+02,-0.729527830000000E+02
0.430154690000000E+02,-0.729511620000000E+02
0.430136860000000E+02,-0.729515040000000E+02
0.430140740000000E+02,-0.729538410000000E+02
0.430129530000000E+02,-0.729601030000000E+02
0.430120380000000E+02,-0.729605080000000E+02
0.430070310000000E+02,-0.729563310000000E+02
0.430057280000000E+02,-0.729544310000000E+02
0.430063920000000E+02,-0.729518140000000E+02
0.430055460000000E+02,-0.729437760000000E+02
0.430047010000000E+02,-0.729410660000000E+02
0.430031910000000E+02,-0.729396320000000E+02
0.430024600000000E+02,-0.729395390000000E+02
0.429956050000000E+02,-0.729420260000000E+02
0.429925640000000E+02,-0.729439260000000E+02
0.429922440000000E+02,-0.729471340000000E+02
0.429896380000000E+02,-0.729501240000000E+02
0.429865280000000E+02,-0.729507770000000E+02
0.429814750000000E+02,-0.729487520000000E+02
0.429778390000000E+02,-0.729499350000000E+02
0.429771530000000E+02,-0.729517410000000E+02
0.429764210000000E+02,-0.729518030000000E+02
0.429738150000000E+02,-0.729500280000000E+02
0.429728770000000E+02,-0.729485960000000E+02
0.429726030000000E+02,-0.729476620000000E+02
0.429744100000000E+02,-0.729393480000000E+02
0.429755530000000E+02,-0.729405310000000E+02
0.429770160000000E+02,-0.729406870000000E+02
0.429809260000000E+02,-0.729398460000000E+02
0.429967020000000E+02,-0.729333350000000E+02
0.430042660000000E+02,-0.729348660000000E+02
0.430070790000000E+02,-0.729358630000000E+02
0.430106230000000E+02,-0.729381370000000E+02
0.430144640000000E+02,-0.729382310000000E+02
0.430205330000000E+02,-0.729363960000000E+02
0.430205330000000E+02,-0.729363960000000E+02
0.430197330000000E+02,-0.729164390000000E+02
0.429906310000000E+02,-0.729181540000000E+02
0.429906310000000E+02,-0.729181540000000E+02
0.429267920000000E+02,-0.729213760000000E+02
0.429267920000000E+02,-0.729213760000000E+02
0.429295660000000E+02,-0.729924510000000E+02
0.429300870000000E+02,-0.730080630000000E+02
0.429300870000000E+02,-0.730080630000000E+02
0.429606220000000E+02,-0.730063730000000E+02
0.429700960000000E+02,-0.730052530000000E+02
0.429728400000000E+02,-0.730056860000000E+02
0.430214290000000E+02,-0.730028830000000E+02
0.430228820000000E+02,-0.730027960000000E+02
0.430567830000000E+02,-0.730007980000000E+02
0.430567830000000E+02,-0.730007980000000E+02
0.430617070000000E+02,-0.730005510000000E+02
END,END
