LAT,LON
0.447183560000000E+02,-0.727042510000000E+02
0.447031950000000E+02,-0.726630250000000E+02
0.447031950000000E+02,-0.726630250000000E+02
0.446789640000000E+02,-0.725973320000000E+02
0.446842120000000E+02,-0.725935700000000E+02
0.446828950000000E+02,-0.725903050000000E+02
0.446828950000000E+02,-0.725903050000000E+02
0.446790340000000E+02,-0.725914100000000E+02
0.446752070000000E+02,-0.725897750000000E+02
0.446742940000000E+02,-0.725897490000000E+02
0.446724440000000E+02,-0.725906950000000E+02
0.446709800000000E+02,-0.725937070000000E+02
0.446719120000000E+02,-0.725990640000000E+02
0.446708090000000E+02,-0.726018770000000E+02
0.446687070000000E+02,-0.726040490000000E+02
0.446649890000000E+02,-0.726060510000000E+02
0.446613600000000E+02,-0.726098340000000E+02
0.446569040000000E+02,-0.726155410000000E+02
0.446528110000000E+02,-0.726191570000000E+02
0.446485210000000E+02,-0.726225430000000E+02
0.446455350000000E+02,-0.726230000000000E+02
0.446431250000000E+02,-0.726223230000000E+02
0.446033240000000E+02,-0.726507320000000E+02
0.446033240000000E+02,-0.726507320000000E+02
0.445994550000000E+02,-0.726537050000000E+02
0.446024060000000E+02,-0.726623910000000E+02
0.445984710000000E+02,-0.726656660000000E+02
0.445951990000000E+02,-0.726675390000000E+02
0.445766150000000E+02,-0.726827310000000E+02
0.445837150000000E+02,-0.727121350000000E+02
0.445895880000000E+02,-0.727273600000000E+02
0.445877440000000E+02,-0.727289880000000E+02
0.445948470000000E+02,-0.727474680000000E+02
0.445948470000000E+02,-0.727474680000000E+02
0.446000400000000E+02,-0.727432990000000E+02
0.446241590000000E+02,-0.727268200000000E+02
0.446372130000000E+02,-0.727634820000000E+02
0.446450200000000E+02,-0.727594160000000E+02
0.446502130000000E+02,-0.727546860000000E+02
0.446553880000000E+02,-0.727516930000000E+02
0.446580670000000E+02,-0.727571160000000E+02
0.446645840000000E+02,-0.727635160000000E+02
0.446679230000000E+02,-0.727712000000000E+02
0.446710790000000E+02,-0.727760360000000E+02
0.446709200000000E+02,-0.727770930000000E+02
0.446702570000000E+02,-0.727777660000000E+02
0.446681320000000E+02,-0.727786640000000E+02
0.446681780000000E+02,-0.727807460000000E+02
0.446707160000000E+02,-0.727820900000000E+02
0.446733800000000E+02,-0.727824660000000E+02
0.446733800000000E+02,-0.727824660000000E+02
0.446738820000000E+02,-0.727828420000000E+02
0.446774870000000E+02,-0.727825400000000E+02
0.446806430000000E+02,-0.727769940000000E+02
0.446830690000000E+02,-0.727712260000000E+02
0.446766950000000E+02,-0.727550750000000E+02
0.446779620000000E+02,-0.727341340000000E+02
0.447183560000000E+02,-0.727042510000000E+02
END,END
