LAT,LON
0.468616530000000E+02,-0.124070661000000E+03
0.468612410000000E+02,-0.124070614000000E+03
0.468580640000000E+02,-0.124075011000000E+03
0.468533330000000E+02,-0.124077042000000E+03
0.468467050000000E+02,-0.124078773000000E+03
0.468454940000000E+02,-0.124077906000000E+03
0.468446710000000E+02,-0.124075841000000E+03
0.468453800000000E+02,-0.124075075000000E+03
0.468464770000000E+02,-0.124071711000000E+03
0.468459980000000E+02,-0.124068146000000E+03
0.468456320000000E+02,-0.124067946000000E+03
0.468425010000000E+02,-0.124069278000000E+03
0.468418610000000E+02,-0.124068479000000E+03
0.468418610000000E+02,-0.124068479000000E+03
0.468351870000000E+02,-0.124064415000000E+03
0.468351870000000E+02,-0.124067845000000E+03
0.468318270000000E+02,-0.124069310000000E+03
0.468216560000000E+02,-0.124070008000000E+03
0.468190740000000E+02,-0.124069109000000E+03
0.468173600000000E+02,-0.124066279000000E+03
0.468137950000000E+02,-0.124064947000000E+03
0.468129040000000E+02,-0.124065979000000E+03
0.468131550000000E+02,-0.124067610000000E+03
0.468125150000000E+02,-0.124068609000000E+03
0.468099090000000E+02,-0.124070106000000E+03
0.467999210000000E+02,-0.124071303000000E+03
0.468005160000000E+02,-0.124067076000000E+03
0.467951670000000E+02,-0.124061851000000E+03
0.467937730000000E+02,-0.124059129000000E+03
0.467935180000000E+02,-0.124029976000000E+03
0.467935150000000E+02,-0.124029629000000E+03
0.467931060000000E+02,-0.123981075000000E+03
0.467931060000000E+02,-0.123981075000000E+03
0.467897900000000E+02,-0.123980342000000E+03
0.467836180000000E+02,-0.123982500000000E+03
0.467830460000000E+02,-0.123983397000000E+03
0.467830650000000E+02,-0.123992913000000E+03
0.467840000000000E+02,-0.123996242000000E+03
0.467837930000000E+02,-0.124000468000000E+03
0.467812140000000E+02,-0.124008750000000E+03
0.467785400000000E+02,-0.124009152000000E+03
0.467768270000000E+02,-0.124011982000000E+03
0.467729230000000E+02,-0.124020934000000E+03
0.467718730000000E+02,-0.124024827000000E+03
0.467742740000000E+02,-0.124034971000000E+03
0.467788000000000E+02,-0.124035901000000E+03
0.467800580000000E+02,-0.124037064000000E+03
0.467802410000000E+02,-0.124038395000000E+03
0.467705750000000E+02,-0.124059789000000E+03
0.467685640000000E+02,-0.124060588000000E+03
0.467668040000000E+02,-0.124058093000000E+03
0.467640840000000E+02,-0.124056662000000E+03
0.467575700000000E+02,-0.124055732000000E+03
0.467522670000000E+02,-0.124056930000000E+03
0.467504160000000E+02,-0.124059158000000E+03
0.467487020000000E+02,-0.124060225000000E+03
0.467480850000000E+02,-0.124060158000000E+03
0.467469430000000E+02,-0.124058961000000E+03
0.467462810000000E+02,-0.124057332000000E+03
0.467463720000000E+02,-0.124054273000000E+03
0.467440630000000E+02,-0.124050284000000E+03
0.467426230000000E+02,-0.124049054000000E+03
0.467401550000000E+02,-0.124050650000000E+03
0.467392450000000E+02,-0.124049668000000E+03
0.467368140000000E+02,-0.124032267000000E+03
0.467328140000000E+02,-0.124030174000000E+03
0.467320230000000E+02,-0.124030549000000E+03
0.467319180000000E+02,-0.124035818000000E+03
0.467283360000000E+02,-0.124039018000000E+03
0.467275658119386E+02,-0.124050338169715E+03
0.467275658119386E+02,-0.124050338169715E+03
0.467319122607720E+02,-0.124059446208271E+03
0.467336640000000E+02,-0.124063117000000E+03
0.467343766478345E+02,-0.124072625712630E+03
0.467349304859147E+02,-0.124080015459561E+03
0.467350030000000E+02,-0.124080983000000E+03
0.467355491811690E+02,-0.124081906335723E+03
0.467416240000000E+02,-0.124092176000000E+03
0.467462020000000E+02,-0.124096515000000E+03
0.467568120000000E+02,-0.124095041000000E+03
0.467843740000000E+02,-0.124096655000000E+03
0.467941553320621E+02,-0.124098358415145E+03
0.468106560000000E+02,-0.124101232000000E+03
0.468363880000000E+02,-0.124108078000000E+03
0.468407131768431E+02,-0.124109562292396E+03
0.468448880012440E+02,-0.124110994987599E+03
0.468448880012440E+02,-0.124110994987599E+03
0.468450290000000E+02,-0.124104555000000E+03
0.468586830000000E+02,-0.124109158000000E+03
0.468586340000000E+02,-0.124082008000000E+03
0.468616530000000E+02,-0.124070661000000E+03
END,END
0.468567630000000E+02,-0.124065682000000E+03
0.468561000000000E+02,-0.124062750000000E+03
0.468542490000000E+02,-0.124062384000000E+03
0.468529690000000E+02,-0.124063150000000E+03
0.468525570000000E+02,-0.124064282000000E+03
0.468529000000000E+02,-0.124067614000000E+03
0.468517340000000E+02,-0.124069846000000E+03
0.468520090000000E+02,-0.124070512000000E+03
0.468530370000000E+02,-0.124070812000000E+03
0.468534700000000E+02,-0.124072145000000E+03
0.468519860000000E+02,-0.124072911000000E+03
0.468510030000000E+02,-0.124071478000000E+03
0.468498830000000E+02,-0.124072178000000E+03
0.468503630000000E+02,-0.124073310000000E+03
0.468536300000000E+02,-0.124074077000000E+03
0.468556640000000E+02,-0.124073944000000E+03
0.468583610000000E+02,-0.124072312000000E+03
0.468590010000000E+02,-0.124071046000000E+03
0.468588190000000E+02,-0.124069447000000E+03
0.468567630000000E+02,-0.124065682000000E+03
END,END
0.468512310000000E+02,-0.124074343000000E+03
0.468490370000000E+02,-0.124073676000000E+03
0.468477800000000E+02,-0.124072244000000E+03
0.468467520000000E+02,-0.124073010000000E+03
0.468458830000000E+02,-0.124076174000000E+03
0.468464310000000E+02,-0.124077107000000E+03
0.468482140000000E+02,-0.124077674000000E+03
0.468530130000000E+02,-0.124076143000000E+03
0.468557780000000E+02,-0.124074677000000E+03
0.468512310000000E+02,-0.124074343000000E+03
END,END
0.468534720000000E+02,-0.124059752000000E+03
0.468514600000000E+02,-0.124059885000000E+03
0.468510490000000E+02,-0.124059485000000E+03
0.468499520000000E+02,-0.124060085000000E+03
0.468488320000000E+02,-0.124061917000000E+03
0.468478950000000E+02,-0.124065548000000E+03
0.468480320000000E+02,-0.124066581000000E+03
0.468491750000000E+02,-0.124066414000000E+03
0.468498150000000E+02,-0.124064882000000E+03
0.468513690000000E+02,-0.124064416000000E+03
0.468522150000000E+02,-0.124063616000000E+03
0.468526490000000E+02,-0.124062750000000E+03
0.468515060000000E+02,-0.124062317000000E+03
0.468542260000000E+02,-0.124061417000000E+03
0.468557570000000E+02,-0.124061717000000E+03
0.468548660000000E+02,-0.124059985000000E+03
0.468534720000000E+02,-0.124059752000000E+03
END,END
