LAT,LON
0.464771871173272E+02,-0.123943732110787E+03
0.464757860000000E+02,-0.123943799000000E+03
0.464738660000000E+02,-0.123943138000000E+03
0.464687690000000E+02,-0.123938539000000E+03
0.464660260000000E+02,-0.123934370000000E+03
0.464652710000000E+02,-0.123931624000000E+03
0.464583900000000E+02,-0.123915915000000E+03
0.464530170000000E+02,-0.123909401000000E+03
0.464489940000000E+02,-0.123907121000000E+03
0.464489940000000E+02,-0.123907121000000E+03
0.464422050000000E+02,-0.123907125000000E+03
0.464424340000000E+02,-0.123908183000000E+03
0.464419540000000E+02,-0.123909010000000E+03
0.464396680000000E+02,-0.123909275000000E+03
0.464366500000000E+02,-0.123907557000000E+03
0.464348440000000E+02,-0.123905574000000E+03
0.464331690000000E+02,-0.123902087000000E+03
0.464331690000000E+02,-0.123902087000000E+03
0.464296850000000E+02,-0.123905161000000E+03
0.464294730000000E+02,-0.123907726000000E+03
0.464305940000000E+02,-0.123911957000000E+03
0.464306180000000E+02,-0.123914469000000E+03
0.464290180000000E+02,-0.123918767000000E+03
0.464325160000000E+02,-0.123923461000000E+03
0.464342990000000E+02,-0.123925379000000E+03
0.464377280000000E+02,-0.123926502000000E+03
0.464388250000000E+02,-0.123926435000000E+03
0.464431000000000E+02,-0.123924153000000E+03
0.464447220000000E+02,-0.123923789000000E+03
0.464504600000000E+02,-0.123924747000000E+03
0.464541390000000E+02,-0.123926301000000E+03
0.464557850000000E+02,-0.123927954000000E+03
0.464585510000000E+02,-0.123935462000000E+03
0.464497740000000E+02,-0.123938868000000E+03
0.464454990000000E+02,-0.123937281000000E+03
0.464434430000000E+02,-0.123932750000000E+03
0.464396260000000E+02,-0.123930634000000E+03
0.464357630000000E+02,-0.123932222000000E+03
0.464364490000000E+02,-0.123933610000000E+03
0.464336600000000E+02,-0.123934139000000E+03
0.464319230000000E+02,-0.123932387000000E+03
0.464286310000000E+02,-0.123925875000000E+03
0.464257280000000E+02,-0.123923628000000E+03
0.464231440000000E+02,-0.123922141000000E+03
0.464220010000000E+02,-0.123922009000000E+03
0.464195330000000E+02,-0.123924489000000E+03
0.464178190000000E+02,-0.123927364000000E+03
0.464171570000000E+02,-0.123931363000000E+03
0.464158540000000E+02,-0.123934966000000E+03
0.464121280000000E+02,-0.123937742000000E+03
0.464084250000000E+02,-0.123938568000000E+03
0.464041280000000E+02,-0.123938864000000E+03
0.464032360000000E+02,-0.123939393000000E+03
0.464042190000000E+02,-0.123946465000000E+03
0.464037610000000E+02,-0.123949934000000E+03
0.464025270000000E+02,-0.123952313000000E+03
0.463934520000000E+02,-0.123951649000000E+03
0.463905490000000E+02,-0.123952375000000E+03
0.463780460000000E+02,-0.123953792000000E+03
0.463760570000000E+02,-0.123952766000000E+03
0.463737370000000E+02,-0.123950556000000E+03
0.463717940000000E+02,-0.123947583000000E+03
0.463704910000000E+02,-0.123949333000000E+03
0.463720610000000E+02,-0.123949937000000E+03
0.463720610000000E+02,-0.123949937000000E+03
0.463704910000000E+02,-0.123951215000000E+03
0.463639760000000E+02,-0.123952897000000E+03
0.463624210000000E+02,-0.123953821000000E+03
0.463593580000000E+02,-0.123958310000000E+03
0.463607750000000E+02,-0.123957419000000E+03
0.463634730000000E+02,-0.123954416000000E+03
0.463678160000000E+02,-0.123952832000000E+03
0.463702937069336E+02,-0.123953552121484E+03
0.463720440000000E+02,-0.123955343000000E+03
0.463725010000000E+02,-0.123956631000000E+03
0.463713800000000E+02,-0.123961783000000E+03
0.463767190000000E+02,-0.123962246000000E+03
0.463788890000000E+02,-0.123966474000000E+03
0.463787960000000E+02,-0.123973376000000E+03
0.463799140000000E+02,-0.123976911000000E+03
0.463782190000000E+02,-0.123985662000000E+03
0.463759310000000E+02,-0.123991704000000E+03
0.463722800000000E+02,-0.123997217000000E+03
0.463736500000000E+02,-0.124000059000000E+03
0.463748220000000E+02,-0.123999861000000E+03
0.463759730000000E+02,-0.123997912000000E+03
0.463748220000000E+02,-0.124000587000000E+03
0.463712500000000E+02,-0.124000890000000E+03
0.463712500000000E+02,-0.124000890000000E+03
0.463727370000000E+02,-0.124002084000000E+03
0.463705440000000E+02,-0.124005850000000E+03
0.463703670000000E+02,-0.124018398000000E+03
0.463711890000000E+02,-0.124016581000000E+03
0.463712100000000E+02,-0.124011793000000E+03
0.463752950000000E+02,-0.124009509000000E+03
0.463764340000000E+02,-0.124010531000000E+03
0.463763890000000E+02,-0.124012083000000E+03
0.463785850000000E+02,-0.124014327000000E+03
0.463833860000000E+02,-0.124015843000000E+03
0.463920030000000E+02,-0.124016694000000E+03
0.463930550000000E+02,-0.124017189000000E+03
0.464028610000000E+02,-0.124016884000000E+03
0.464098780000000E+02,-0.124017308000000E+03
0.464210130000000E+02,-0.124018438000000E+03
0.464280270000000E+02,-0.124019905000000E+03
0.464370100000000E+02,-0.124020130000000E+03
0.464408510000000E+02,-0.124021218000000E+03
0.464431140000000E+02,-0.124023432000000E+03
0.464452860000000E+02,-0.124024555000000E+03
0.464501100000000E+02,-0.124025874000000E+03
0.464561440000000E+02,-0.124026664000000E+03
0.464593960000000E+02,-0.124026015000000E+03
0.464593960000000E+02,-0.124026015000000E+03
0.464598470000000E+02,-0.124025669000000E+03
0.464629510791985E+02,-0.124025808762905E+03
0.464629510791985E+02,-0.124025808762905E+03
0.464601725071218E+02,-0.124002767830825E+03
0.464601725071218E+02,-0.124002767830825E+03
0.464574130000000E+02,-0.124001271000000E+03
0.464539880000000E+02,-0.123994793000000E+03
0.464497600000000E+02,-0.123993598000000E+03
0.464467210000000E+02,-0.123991181000000E+03
0.464445510000000E+02,-0.123987641000000E+03
0.464393690000000E+02,-0.123971699000000E+03
0.464377010000000E+02,-0.123969119000000E+03
0.464333590000000E+02,-0.123965646000000E+03
0.464315300000000E+02,-0.123965215000000E+03
0.464288560000000E+02,-0.123965940000000E+03
0.464238260000000E+02,-0.123970135000000E+03
0.464220660000000E+02,-0.123970398000000E+03
0.464176320000000E+02,-0.123967719000000E+03
0.464130840000000E+02,-0.123965733000000E+03
0.464104320000000E+02,-0.123966195000000E+03
0.464091980000000E+02,-0.123964177000000E+03
0.464089940000000E+02,-0.123958262000000E+03
0.464104820000000E+02,-0.123943855000000E+03
0.464111680000000E+02,-0.123940782000000E+03
0.464118540000000E+02,-0.123939791000000E+03
0.464176820000000E+02,-0.123936255000000E+03
0.464206080000000E+02,-0.123935792000000E+03
0.464235110000000E+02,-0.123937048000000E+03
0.464247910000000E+02,-0.123940652000000E+03
0.464263910000000E+02,-0.123943065000000E+03
0.464316930000000E+02,-0.123946404000000E+03
0.464393960000000E+02,-0.123944190000000E+03
0.464428480000000E+02,-0.123945547000000E+03
0.464447680000000E+02,-0.123947168000000E+03
0.464475560000000E+02,-0.123947962000000E+03
0.464517390000000E+02,-0.123948326000000E+03
0.464577280000000E+02,-0.123942936000000E+03
0.464632600000000E+02,-0.123942806000000E+03
0.464657970000000E+02,-0.123945188000000E+03
0.464700470000000E+02,-0.123954054000000E+03
0.464722170000000E+02,-0.123962325000000E+03
0.464722860000000E+02,-0.123963748000000E+03
0.464718740000000E+02,-0.123964078000000E+03
0.464667310000000E+02,-0.123966524000000E+03
0.464656100000000E+02,-0.123969632000000E+03
0.464666160000000E+02,-0.123968641000000E+03
0.464710910505859E+02,-0.123966798456836E+03
0.464734970000000E+02,-0.123968044000000E+03
0.464734970000000E+02,-0.123968044000000E+03
0.464771871173272E+02,-0.123943732110787E+03
END,END
0.464170280000000E+02,-0.123847866000000E+03
0.464027080000000E+02,-0.123840593000000E+03
0.463924910000000E+02,-0.123839860000000E+03
0.463899080000000E+02,-0.123840783000000E+03
0.463885820000000E+02,-0.123840221000000E+03
0.463879880000000E+02,-0.123838768000000E+03
0.463884240000000E+02,-0.123832492000000E+03
0.463852700000000E+02,-0.123831433000000E+03
0.463838520000000E+02,-0.123832324000000E+03
0.463795090000000E+02,-0.123832719000000E+03
0.463780460000000E+02,-0.123831166000000E+03
0.463774520000000E+02,-0.123829680000000E+03
0.463786190000000E+02,-0.123824594000000E+03
0.463775670000000E+02,-0.123822117000000E+03
0.463765620000000E+02,-0.123821324000000E+03
0.463752000000000E+02,-0.123821621000000E+03
0.463701050000000E+02,-0.123825319000000E+03
0.463710880000000E+02,-0.123825882000000E+03
0.463728480000000E+02,-0.123825750000000E+03
0.463754870000000E+02,-0.123822843000000E+03
0.463765160000000E+02,-0.123822381000000E+03
0.463775440000000E+02,-0.123823339000000E+03
0.463780010000000E+02,-0.123825056000000E+03
0.463767900000000E+02,-0.123828722000000E+03
0.463778410000000E+02,-0.123832124000000E+03
0.463792580000000E+02,-0.123833346000000E+03
0.463830980000000E+02,-0.123833480000000E+03
0.463851320000000E+02,-0.123832556000000E+03
0.463872120000000E+02,-0.123836290000000E+03
0.463874170000000E+02,-0.123840452000000E+03
0.463886280000000E+02,-0.123841576000000E+03
0.463907080000000E+02,-0.123841907000000E+03
0.463921020000000E+02,-0.123841544000000E+03
0.464005580000000E+02,-0.123844490000000E+03
0.464077340000000E+02,-0.123850211000000E+03
0.464106130000000E+02,-0.123851865000000E+03
0.464138130000000E+02,-0.123852595000000E+03
0.464138130000000E+02,-0.123852595000000E+03
0.464170280000000E+02,-0.123847866000000E+03
END,END
0.463876590000000E+02,-0.122932725000000E+03
0.463876620000000E+02,-0.122931865000000E+03
0.463876620000000E+02,-0.122931865000000E+03
0.463826450000000E+02,-0.122931825000000E+03
0.463801760000000E+02,-0.122931264000000E+03
0.463786440000000E+02,-0.122931726000000E+03
0.463770680000000E+02,-0.122930207000000E+03
0.463758100000000E+02,-0.122929943000000E+03
0.463724690000000E+02,-0.122930868000000E+03
0.463705720000000E+02,-0.122932321000000E+03
0.463693140000000E+02,-0.122932322000000E+03
0.463678970000000E+02,-0.122933940000000E+03
0.463662740000000E+02,-0.122934237000000E+03
0.463625250000000E+02,-0.122933148000000E+03
0.463573360000000E+02,-0.122930341000000E+03
0.463559870000000E+02,-0.122932190000000E+03
0.463560330000000E+02,-0.122933280000000E+03
0.463547300000000E+02,-0.122934105000000E+03
0.463544790000000E+02,-0.122935062000000E+03
0.463508440000000E+02,-0.122936977000000E+03
0.463496320000000E+02,-0.122937043000000E+03
0.463478720000000E+02,-0.122936020000000E+03
0.463442830000000E+02,-0.122935723000000E+03
0.463395970000000E+02,-0.122932885000000E+03
0.463355050000000E+02,-0.122931566000000E+03
0.463346130000000E+02,-0.122929685000000E+03
0.463363500000000E+02,-0.122926252000000E+03
0.463367160000000E+02,-0.122923117000000E+03
0.463363040000000E+02,-0.122922325000000E+03
0.463339270000000E+02,-0.122922358000000E+03
0.463313440000000E+02,-0.122923381000000E+03
0.463300640000000E+02,-0.122923184000000E+03
0.463299500000000E+02,-0.122922491000000E+03
0.463282130000000E+02,-0.122921600000000E+03
0.463242580000000E+02,-0.122921074000000E+03
0.463195710000000E+02,-0.122918964000000E+03
0.463147250000000E+02,-0.122917514000000E+03
0.463136960000000E+02,-0.122917547000000E+03
0.463109990000000E+02,-0.122919395000000E+03
0.463107920000000E+02,-0.122915734000000E+03
0.463120720000000E+02,-0.122912600000000E+03
0.463139000000000E+02,-0.122911510000000E+03
0.463164840000000E+02,-0.122911509000000E+03
0.463184720000000E+02,-0.122910716000000E+03
0.463204150000000E+02,-0.122908175000000E+03
0.463201860000000E+02,-0.122907086000000E+03
0.463165740000000E+02,-0.122906758000000E+03
0.463158880000000E+02,-0.122905604000000E+03
0.463160480000000E+02,-0.122905043000000E+03
0.463170530000000E+02,-0.122904217000000E+03
0.463227450000000E+02,-0.122904016000000E+03
0.463265380000000E+02,-0.122897777000000E+03
0.463285230000000E+02,-0.122889328000000E+03
0.463293460000000E+02,-0.122888899000000E+03
0.463313130000000E+02,-0.122891570000000E+03
0.463331420000000E+02,-0.122891898000000E+03
0.463367990000000E+02,-0.122889981000000E+03
0.463384210000000E+02,-0.122888560000000E+03
0.463385340000000E+02,-0.122885590000000E+03
0.463343260000000E+02,-0.122881006000000E+03
0.463338220000000E+02,-0.122879686000000E+03
0.463301860000000E+02,-0.122875565000000E+03
0.463295920000000E+02,-0.122874244000000E+03
0.463296160000000E+02,-0.122873122000000E+03
0.463305540000000E+02,-0.122871572000000E+03
0.463310130000000E+02,-0.122867910000000E+03
0.463305120000000E+02,-0.122862365000000E+03
0.463343090000000E+02,-0.122858112000000E+03
0.463344920000000E+02,-0.122856957000000E+03
0.463362520000000E+02,-0.122857024000000E+03
0.463365950000000E+02,-0.122856463000000E+03
0.463352490000000E+02,-0.122851083000000E+03
0.463347940000000E+02,-0.122840950000000E+03
0.463321660000000E+02,-0.122837847000000E+03
0.463319150000000E+02,-0.122833887000000E+03
0.463326930000000E+02,-0.122832237000000E+03
0.463352760000000E+02,-0.122830093000000E+03
0.463394600000000E+02,-0.122823757000000E+03
0.463407860000000E+02,-0.122820259000000E+03
0.463422720000000E+02,-0.122818510000000E+03
0.463435530000000E+02,-0.122817949000000E+03
0.463455180000000E+02,-0.122818873000000E+03
0.463464100000000E+02,-0.122818048000000E+03
0.463479650000000E+02,-0.122814813000000E+03
0.463510050000000E+02,-0.122811149000000E+03
0.463516450000000E+02,-0.122807287000000E+03
0.463510960000000E+02,-0.122805603000000E+03
0.463510960000000E+02,-0.122805603000000E+03
0.463512560000000E+02,-0.122807386000000E+03
0.463506620000000E+02,-0.122810951000000E+03
0.463476450000000E+02,-0.122814483000000E+03
0.463458610000000E+02,-0.122818048000000E+03
0.463452900000000E+02,-0.122818213000000E+03
0.463433470000000E+02,-0.122817256000000E+03
0.463411750000000E+02,-0.122818609000000E+03
0.463389800000000E+02,-0.122823625000000E+03
0.463352080000000E+02,-0.122829400000000E+03
0.463327620000000E+02,-0.122831280000000E+03
0.463327620000000E+02,-0.122831280000000E+03
0.463314580000000E+02,-0.122833128000000E+03
0.463312980000000E+02,-0.122835735000000E+03
0.463321890000000E+02,-0.122838903000000E+03
0.463342460000000E+02,-0.122840785000000E+03
0.463345410000000E+02,-0.122848805000000E+03
0.463360930000000E+02,-0.122856298000000E+03
0.463341500000000E+02,-0.122855966000000E+03
0.463332800000000E+02,-0.122858474000000E+03
0.463298730000000E+02,-0.122861837000000E+03
0.463299400000000E+02,-0.122864675000000E+03
0.463307160000000E+02,-0.122867184000000E+03
0.463302110000000E+02,-0.122870945000000E+03
0.463292960000000E+02,-0.122872198000000E+03
0.463290660000000E+02,-0.122874640000000E+03
0.463308730000000E+02,-0.122879887000000E+03
0.463321760000000E+02,-0.122879622000000E+03
0.463329990000000E+02,-0.122880182000000E+03
0.463374140000000E+02,-0.122885327000000E+03
0.463379630000000E+02,-0.122887208000000E+03
0.463352210000000E+02,-0.122889850000000E+03
0.463319990000000E+02,-0.122890909000000E+03
0.463311070000000E+02,-0.122890448000000E+03
0.463299630000000E+02,-0.122888337000000E+03
0.463288200000000E+02,-0.122888041000000E+03
0.463280200000000E+02,-0.122888471000000E+03
0.463273580000000E+02,-0.122889659000000E+03
0.463268340000000E+02,-0.122894180000000E+03
0.463255550000000E+02,-0.122898801000000E+03
0.463232700000000E+02,-0.122902102000000E+03
0.463218760000000E+02,-0.122903126000000E+03
0.463201390000000E+02,-0.122903655000000E+03
0.463176930000000E+02,-0.122903095000000E+03
0.463158190000000E+02,-0.122904548000000E+03
0.463154990000000E+02,-0.122905868000000E+03
0.463162540000000E+02,-0.122906989000000E+03
0.463190430000000E+02,-0.122907317000000E+03
0.463196600000000E+02,-0.122908208000000E+03
0.463179460000000E+02,-0.122910023000000E+03
0.463160720000000E+02,-0.122909464000000E+03
0.463125970000000E+02,-0.122911379000000E+03
0.463110890000000E+02,-0.122912996000000E+03
0.463101290000000E+02,-0.122915338000000E+03
0.463103130000000E+02,-0.122917515000000E+03
0.463099240000000E+02,-0.122918967000000E+03
0.463054210000000E+02,-0.122918342000000E+03
0.463033630000000E+02,-0.122917221000000E+03
0.463018080000000E+02,-0.122915474000000E+03
0.462966190000000E+02,-0.122913101000000E+03
0.462937380000000E+02,-0.122913102000000E+03
0.462904930000000E+02,-0.122914225000000E+03
0.462872920000000E+02,-0.122913962000000E+03
0.462818970000000E+02,-0.122907766000000E+03
0.462757940000000E+02,-0.122912550000000E+03
0.462721150000000E+02,-0.122916013000000E+03
0.462710860000000E+02,-0.122917661000000E+03
0.462688920000000E+02,-0.122918816000000E+03
0.462670170000000E+02,-0.122916707000000E+03
0.462664450000000E+02,-0.122915026000000E+03
0.462671300000000E+02,-0.122912587000000E+03
0.462673120000000E+02,-0.122906752000000E+03
0.462654360000000E+02,-0.122903589000000E+03
0.462629660000000E+02,-0.122897823000000E+03
0.462618910000000E+02,-0.122897098000000E+03
0.462602910000000E+02,-0.122896836000000E+03
0.462579820000000E+02,-0.122897035000000E+03
0.462553070000000E+02,-0.122895554000000E+03
0.462532480000000E+02,-0.122892030000000E+03
0.462518750000000E+02,-0.122887286000000E+03
0.462512810000000E+02,-0.122886858000000E+03
0.462498340000000E+02,-0.122886728000000E+03
0.462462970000000E+02,-0.122889242000000E+03
0.462437940000000E+02,-0.122888586000000E+03
0.462416500000000E+02,-0.122888860000000E+03
0.462398550000000E+02,-0.122890372000000E+03
0.462398550000000E+02,-0.122890372000000E+03
0.462387130000000E+02,-0.122892568000000E+03
0.462382860000000E+02,-0.122895514000000E+03
0.462387130000000E+02,-0.122897726000000E+03
0.462406350000000E+02,-0.122901739000000E+03
0.462401690000000E+02,-0.122903235000000E+03
0.462379340000000E+02,-0.122904806000000E+03
0.462359430000000E+02,-0.122905188000000E+03
0.462342410000000E+02,-0.122903998000000E+03
0.462332660000000E+02,-0.122901404000000E+03
0.462335940000000E+02,-0.122897924000000E+03
0.462329380000000E+02,-0.122894307000000E+03
0.462322810000000E+02,-0.122893300000000E+03
0.462313810000000E+02,-0.122893010000000E+03
0.462149320000000E+02,-0.122913106000000E+03
