LAT,LON
0.474889640000000E+02,-0.120972978000000E+03
0.474886380000000E+02,-0.120969801000000E+03
0.474874390000000E+02,-0.120965701000000E+03
0.474842390000000E+02,-0.120958955000000E+03
0.474833400000000E+02,-0.120958718000000E+03
0.474821510000000E+02,-0.120959150000000E+03
0.474809700000000E+02,-0.120958512000000E+03
0.474773440000000E+02,-0.120955152000000E+03
0.474759390000000E+02,-0.120950400000000E+03
0.474725220000000E+02,-0.120946439000000E+03
0.474725220000000E+02,-0.120946439000000E+03
0.474667800000000E+02,-0.120951471000000E+03
0.474624180000000E+02,-0.120952691000000E+03
0.474616800000000E+02,-0.120952154000000E+03
0.474591320000000E+02,-0.120932967000000E+03
0.474579150000000E+02,-0.120930787000000E+03
0.474536350000000E+02,-0.120930764000000E+03
0.474524550000000E+02,-0.120930092000000E+03
0.474502500000000E+02,-0.120927030000000E+03
0.474484260000000E+02,-0.120922573000000E+03
0.474385060000000E+02,-0.120924445000000E+03
0.474334220000000E+02,-0.120924287000000E+03
0.474285400000000E+02,-0.120916098000000E+03
0.474251400000000E+02,-0.120908498000000E+03
0.474252400000000E+02,-0.120906398000000E+03
0.474264400000000E+02,-0.120903798000000E+03
0.474272400000000E+02,-0.120890198000000E+03
0.474249130000000E+02,-0.120886249000000E+03
0.474236190000000E+02,-0.120886032000000E+03
0.474225630000000E+02,-0.120884991000000E+03
0.474154330000000E+02,-0.120871762000000E+03
0.474169890000000E+02,-0.120866916000000E+03
0.474186350000000E+02,-0.120866245000000E+03
0.474206250000000E+02,-0.120861163000000E+03
0.474192550000000E+02,-0.120858065000000E+03
0.474165600000000E+02,-0.120854966000000E+03
0.474143450000000E+02,-0.120850589000000E+03
0.474115830000000E+02,-0.120842609000000E+03
0.474145770000000E+02,-0.120837595000000E+03
0.474152850000000E+02,-0.120836990000000E+03
0.474175700000000E+02,-0.120836756000000E+03
0.474183240000000E+02,-0.120836252000000E+03
0.474231460000000E+02,-0.120829622000000E+03
0.474235120000000E+02,-0.120828309000000E+03
0.474208390000000E+02,-0.120818949000000E+03
0.474199940000000E+02,-0.120812351000000E+03
0.474201080000000E+02,-0.120809456000000E+03
0.474208400000000E+02,-0.120806897000000E+03
0.474227590000000E+02,-0.120803834000000E+03
0.474225760000000E+02,-0.120802319000000E+03
0.474145080000000E+02,-0.120796161000000E+03
0.474083750000000E+02,-0.120793692000000E+03
0.474069990000000E+02,-0.120792219000000E+03
0.474049000000000E+02,-0.120787371000000E+03
0.474023230000000E+02,-0.120785522000000E+03
0.474013020000000E+02,-0.120785381000000E+03
0.473994860000000E+02,-0.120783121000000E+03
0.473990270000000E+02,-0.120773746000000E+03
0.473995440000000E+02,-0.120768535000000E+03
0.473944620000000E+02,-0.120751194000000E+03
0.473945430000000E+02,-0.120744494000000E+03
0.473931430000000E+02,-0.120739394000000E+03
0.473934430000000E+02,-0.120733094000000E+03
0.473883430000000E+02,-0.120726193000000E+03
0.473863430000000E+02,-0.120726193000000E+03
0.473844430000000E+02,-0.120727093000000E+03
0.473804430000000E+02,-0.120726593000000E+03
0.473728260000000E+02,-0.120723231000000E+03
0.473700000000000E+02,-0.120721109000000E+03
0.473688120000000E+02,-0.120718721000000E+03
0.473671920000000E+02,-0.120711052000000E+03
0.473656610000000E+02,-0.120710076000000E+03
0.473649530000000E+02,-0.120707655000000E+03
0.473652970000000E+02,-0.120701400000000E+03
0.473639200000000E+02,-0.120697656000000E+03
0.473607810000000E+02,-0.120692990000000E+03
0.473571380000000E+02,-0.120690992000000E+03
0.473516610000000E+02,-0.120682308000000E+03
0.473505590000000E+02,-0.120678742000000E+03
0.473480700000000E+02,-0.120673328000000E+03
0.473452810000000E+02,-0.120669518000000E+03
0.473433110000000E+02,-0.120665058000000E+03
0.473415780000000E+02,-0.120649181000000E+03
0.473431180000000E+02,-0.120643009000000E+03
0.473429520000000E+02,-0.120637422000000E+03
0.473410140000000E+02,-0.120632321000000E+03
