LAT,LON
0.426346540000000E+02,-0.905922880000000E+02
0.426346770000000E+02,-0.905878950000000E+02
0.426306960000000E+02,-0.905863770000000E+02
0.426243130000000E+02,-0.905909810000000E+02
0.426238320000000E+02,-0.905920650000000E+02
0.426237400000000E+02,-0.905959040000000E+02
0.426237400000000E+02,-0.905959040000000E+02
0.426253510000000E+02,-0.905977370000000E+02
0.426283380000000E+02,-0.905973980000000E+02
0.426275390000000E+02,-0.905942700000000E+02
0.426294830000000E+02,-0.905928160000000E+02
0.426346540000000E+02,-0.905922880000000E+02
END,END
