LAT,LON
0.444064390000000E+02,-0.907291820000000E+02
0.444073670000000E+02,-0.907291580000000E+02
0.444078700000000E+02,-0.907284880000000E+02
0.444086940000000E+02,-0.907264800000000E+02
0.444102720000000E+02,-0.907246000000000E+02
0.444110270000000E+02,-0.907219850000000E+02
0.444110270000000E+02,-0.907219850000000E+02
0.444098220000000E+02,-0.907247680000000E+02
0.444084860000000E+02,-0.907262360000000E+02
0.444075130000000E+02,-0.907284760000000E+02
0.444073600000000E+02,-0.907286220000000E+02
0.444058880000000E+02,-0.907288580000000E+02
0.444041420000000E+02,-0.907307400000000E+02
0.443989920000000E+02,-0.907351090000000E+02
0.443982150000000E+02,-0.907365000000000E+02
0.443976630000000E+02,-0.907365110000000E+02
0.443970540000000E+02,-0.907389060000000E+02
0.443995890000000E+02,-0.907434680000000E+02
0.443995420000000E+02,-0.907461780000000E+02
0.443983530000000E+02,-0.907467510000000E+02
0.443947430000000E+02,-0.907451530000000E+02
0.443937130000000E+02,-0.907475430000000E+02
0.443924760000000E+02,-0.907535710000000E+02
0.443917680000000E+02,-0.907542090000000E+02
0.443907160000000E+02,-0.907529990000000E+02
0.443898700000000E+02,-0.907533510000000E+02
0.443897120000000E+02,-0.907578450000000E+02
0.443877020000000E+02,-0.907596320000000E+02
0.443854860000000E+02,-0.907630770000000E+02
0.443824220000000E+02,-0.907618680000000E+02
0.443796800000000E+02,-0.907626040000000E+02
0.443770270000000E+02,-0.907606300000000E+02
0.443756100000000E+02,-0.907605360000000E+02
0.443730410000000E+02,-0.907589710000000E+02
0.443712760000000E+02,-0.907589370000000E+02
0.443675780000000E+02,-0.907613030000000E+02
0.443658410000000E+02,-0.907612730000000E+02
0.443646530000000E+02,-0.907619750000000E+02
0.443634650000000E+02,-0.907641110000000E+02
0.443613630000000E+02,-0.907661200000000E+02
0.443593520000000E+02,-0.907667590000000E+02
0.443571800000000E+02,-0.907665060000000E+02
0.443544260000000E+02,-0.907673350000000E+02
0.443544260000000E+02,-0.907673350000000E+02
0.443524950000000E+02,-0.907694730000000E+02
0.443512850000000E+02,-0.907730100000000E+02
0.443509660000000E+02,-0.907749530000000E+02
