LAT,LON
0.395280200000000E+02,-0.785870790000000E+02
0.395266950000000E+02,-0.785789560000000E+02
0.395223720000000E+02,-0.785726920000000E+02
0.395199020000000E+02,-0.785679370000000E+02
0.395194440000000E+02,-0.785659290000000E+02
0.395215260000000E+02,-0.785571270000000E+02
0.395213880000000E+02,-0.785527560000000E+02
0.395207020000000E+02,-0.785501280000000E+02
0.395209980000000E+02,-0.785465840000000E+02
0.395231626488706E+02,-0.785355132657049E+02
0.395244829921130E+02,-0.785287605912122E+02
0.395245235113569E+02,-0.785285533623219E+02
0.395246540000000E+02,-0.785278860000000E+02
0.395247588265830E+02,-0.785228774475271E+02
0.395247588265830E+02,-0.785228774475271E+02
0.395182720000000E+02,-0.785238140000000E+02
0.395160070000000E+02,-0.785226930000000E+02
0.395149080000000E+02,-0.785206850000000E+02
0.395120720000000E+02,-0.785205390000000E+02
0.395081380000000E+02,-0.785228450000000E+02
0.394966220000000E+02,-0.785320280000000E+02
0.394899450000000E+02,-0.785404150000000E+02
0.394870640000000E+02,-0.785447560000000E+02
0.394844120000000E+02,-0.785532280000000E+02
0.394844120000000E+02,-0.785532280000000E+02
0.394832230000000E+02,-0.785568600000000E+02
0.394727930000000E+02,-0.785690510000000E+02
0.394723580000000E+02,-0.785726220000000E+02
0.394705740000000E+02,-0.785764000000000E+02
0.394693520000000E+02,-0.785773280000000E+02
0.394693520000000E+02,-0.785773280000000E+02
0.394696200000000E+02,-0.785782250000000E+02
0.394702760000000E+02,-0.785785540000000E+02
0.394743930000000E+02,-0.785783480000000E+02
0.394806150000000E+02,-0.785767850000000E+02
0.394828570000000E+02,-0.785753390000000E+02
0.394871800000000E+02,-0.785740700000000E+02
0.394884380000000E+02,-0.785750150000000E+02
0.394898340000000E+02,-0.785771400000000E+02
0.394897420000000E+02,-0.785801810000000E+02
0.394897420000000E+02,-0.785801810000000E+02
0.394916400000000E+02,-0.785811560000000E+02
0.394934700000000E+02,-0.785813630000000E+02
0.394955750000000E+02,-0.785836360000000E+02
0.395000920000000E+02,-0.785928210000000E+02
0.395004190000000E+02,-0.785956320000000E+02
0.395032190000000E+02,-0.786017160000000E+02
0.395056660000000E+02,-0.786029870000000E+02
0.395079310000000E+02,-0.786019540000000E+02
0.395091450000000E+02,-0.785997400000000E+02
0.395133320000000E+02,-0.785947520000000E+02
0.395144770000000E+02,-0.785917110000000E+02
0.395138600000000E+02,-0.785884620000000E+02
0.395099260000000E+02,-0.785828190000000E+02
0.395048950000000E+02,-0.785781520000000E+02
0.395037510000000E+02,-0.785761150000000E+02
0.395033170000000E+02,-0.785735160000000E+02
0.395041860000000E+02,-0.785698260000000E+02
0.395051470000000E+02,-0.785679060000000E+02
0.395070000000000E+02,-0.785662230000000E+02
0.395090360000000E+02,-0.785653080000000E+02
0.395103860000000E+02,-0.785653380000000E+02
0.395143430000000E+02,-0.785683800000000E+02
0.395155320000000E+02,-0.785725730000000E+02
0.395156460000000E+02,-0.785801630000000E+02
0.395176800000000E+02,-0.785867500000000E+02
0.395187320000000E+02,-0.785882860000000E+02
0.395219800000000E+02,-0.785899120000000E+02
0.395237190000000E+02,-0.785902080000000E+02
0.395252970000000E+02,-0.785897070000000E+02
0.395280200000000E+02,-0.785870790000000E+02
END,END
