LAT,LON
0.389646520000000E+02,-0.803196190000000E+02
0.389644190000000E+02,-0.803196180000000E+02
0.389609190000000E+02,-0.803193460000000E+02
0.389586470000000E+02,-0.803174860000000E+02
0.389556500000000E+02,-0.803209070000000E+02
0.389551230000000E+02,-0.803223020000000E+02
0.389551230000000E+02,-0.803223020000000E+02
0.389567710000000E+02,-0.803198110000000E+02
0.389582820000000E+02,-0.803189320000000E+02
0.389646910000000E+02,-0.803215410000000E+02
0.389660180000000E+02,-0.803256750000000E+02
0.389678720000000E+02,-0.803278450000000E+02
0.389690160000000E+02,-0.803288710000000E+02
0.389715790000000E+02,-0.803296930000000E+02
0.389755840000000E+02,-0.803337410000000E+02
0.389798630000000E+02,-0.803423340000000E+02
0.389790800000000E+02,-0.803526840000000E+02
0.389783010000000E+02,-0.803556160000000E+02
0.389765150000000E+02,-0.803588990000000E+02
0.389755530000000E+02,-0.803590450000000E+02
0.389743420000000E+02,-0.803580180000000E+02
0.389737930000000E+02,-0.803562880000000E+02
0.389736340000000E+02,-0.803529160000000E+02
0.389730840000000E+02,-0.803535610000000E+02
0.389728540000000E+02,-0.803571380000000E+02
0.389731740000000E+02,-0.803583690000000E+02
0.389790970000000E+02,-0.803679630000000E+02
0.389820010000000E+02,-0.803771360000000E+02
0.389864670000000E+02,-0.803821170000000E+02
0.389882720000000E+02,-0.803768660000000E+02
0.389858680000000E+02,-0.803755490000000E+02
0.389826200000000E+02,-0.803716310000000E+02
0.389796490000000E+02,-0.803618340000000E+02
0.389806830000000E+02,-0.803503980000000E+02
0.389822440000000E+02,-0.803401650000000E+02
0.389731820000000E+02,-0.803285790000000E+02
0.389685130000000E+02,-0.803260280000000E+02
0.389668420000000E+02,-0.803211310000000E+02
0.389646520000000E+02,-0.803196190000000E+02
END,END
