LAT,LON
0.422621420000000E+02,-0.108018052000000E+03
0.422620550000000E+02,-0.107750632000000E+03
0.422614000000000E+02,-0.107635147000000E+03
0.422615440000000E+02,-0.107618834000000E+03
0.422617560000000E+02,-0.107522722000000E+03
0.422617560000000E+02,-0.107522722000000E+03
0.421745000000000E+02,-0.107522822000000E+03
0.421720300000000E+02,-0.107522822000000E+03
0.421616610000000E+02,-0.107522822000000E+03
0.421595520000000E+02,-0.107528397000000E+03
0.421539810000000E+02,-0.107536117000000E+03
0.421505720000000E+02,-0.107539156000000E+03
0.421385510000000E+02,-0.107531682000000E+03
0.421336240000000E+02,-0.107527791000000E+03
0.421319170000000E+02,-0.107530715000000E+03
0.421301030000000E+02,-0.107532381000000E+03
0.421232000000000E+02,-0.107533736000000E+03
0.421193860000000E+02,-0.107535443000000E+03
0.421166380000000E+02,-0.107535573000000E+03
0.421152090000000E+02,-0.107535369000000E+03
0.421090530000000E+02,-0.107531999000000E+03
0.421043370000000E+02,-0.107536444000000E+03
0.421034910000000E+02,-0.107538378000000E+03
0.420964960000000E+02,-0.107546946000000E+03
0.420949410000000E+02,-0.107549924000000E+03
0.421082930000000E+02,-0.107566376000000E+03
0.420953110000000E+02,-0.107588062000000E+03
0.420987080000000E+02,-0.107594993000000E+03
0.421121970000000E+02,-0.107595058000000E+03
0.421038980000000E+02,-0.107596715000000E+03
0.421005820000000E+02,-0.107598094000000E+03
0.421033920000000E+02,-0.107603438000000E+03
0.421043280000000E+02,-0.107608566000000E+03
0.421039150000000E+02,-0.107610009000000E+03
0.420986330000000E+02,-0.107612491000000E+03
0.420989510000000E+02,-0.107617158000000E+03
0.420978820000000E+02,-0.107622495000000E+03
0.420882590000000E+02,-0.107622500000000E+03
0.420882500000000E+02,-0.107617086000000E+03
0.420842260000000E+02,-0.107616837000000E+03
0.420845420000000E+02,-0.107625217000000E+03
0.420754880000000E+02,-0.107625259000000E+03
0.420766580000000E+02,-0.107627211000000E+03
0.420778700000000E+02,-0.107628008000000E+03
0.420853470000000E+02,-0.107628001000000E+03
0.420882990000000E+02,-0.107635028000000E+03
0.420883690000000E+02,-0.107638557000000E+03
0.420714730000000E+02,-0.107638170000000E+03
0.420713420000000E+02,-0.107659989000000E+03
0.420791370000000E+02,-0.107653050000000E+03
0.420885550000000E+02,-0.107645833000000E+03
0.420904540000000E+02,-0.107650006000000E+03
0.420912320000000E+02,-0.107653873000000E+03
0.420913000000000E+02,-0.107656482000000E+03
0.420794830000000E+02,-0.107679934000000E+03
0.420797340000000E+02,-0.107693530000000E+03
0.420730820000000E+02,-0.107691964000000E+03
0.420723960000000E+02,-0.107693959000000E+03
0.420696730000000E+02,-0.107705281000000E+03
0.420673150000000E+02,-0.107720223000000E+03
