LAT,LON
0.445830220000000E+02,-0.110379742000000E+03
0.445770070000000E+02,-0.110376992000000E+03
0.445739670000000E+02,-0.110373587000000E+03
0.445709260000000E+02,-0.110373839000000E+03
0.445693020000000E+02,-0.110375149000000E+03
0.445684110000000E+02,-0.110379400000000E+03
0.445654870000000E+02,-0.110385224000000E+03
0.445599310000000E+02,-0.110385741000000E+03
0.445505590000000E+02,-0.110393617000000E+03
0.445495530000000E+02,-0.110395121000000E+03
0.445484340000000E+02,-0.110398703000000E+03
0.445481630000000E+02,-0.110409256000000E+03
0.445476610000000E+02,-0.110412453000000E+03
0.445467010000000E+02,-0.110414916000000E+03
0.445454210000000E+02,-0.110416963000000E+03
0.445401620000000E+02,-0.110421792000000E+03
0.445385620000000E+02,-0.110428091000000E+03
0.445370760000000E+02,-0.110430426000000E+03
0.445300110000000E+02,-0.110433464000000E+03
0.445276330000000E+02,-0.110433847000000E+03
0.445264890000000E+02,-0.110433528000000E+03
0.445256660000000E+02,-0.110432889000000E+03
0.445250940000000E+02,-0.110431482000000E+03
0.445250480000000E+02,-0.110427711000000E+03
0.445263510000000E+02,-0.110419111000000E+03
0.445269910000000E+02,-0.110417481000000E+03
0.445285220000000E+02,-0.110417193000000E+03
0.445274020000000E+02,-0.110415179000000E+03
0.445224850000000E+02,-0.110414670000000E+03
0.445210220000000E+02,-0.110416397000000E+03
0.445191240000000E+02,-0.110417196000000E+03
0.445115100000000E+02,-0.110416911000000E+03
0.445049260000000E+02,-0.110420972000000E+03
0.445027080000000E+02,-0.110421164000000E+03
0.444982140000000E+02,-0.110418864000000E+03
0.444974370000000E+02,-0.110418001000000E+03
0.444956750000000E+02,-0.110413753000000E+03
0.444920610000000E+02,-0.110410209000000E+03
0.444902090000000E+02,-0.110409954000000E+03
0.444831660000000E+02,-0.110411172000000E+03
0.444827100000000E+02,-0.110415228000000E+03
0.444772700000000E+02,-0.110428836000000E+03
0.444769500000000E+02,-0.110434138000000E+03
0.444749140000000E+02,-0.110440525000000E+03
0.444729700000000E+02,-0.110450649000000E+03
0.444713460000000E+02,-0.110456397000000E+03
0.444652140000000E+02,-0.110472361000000E+03
0.444603400000000E+02,-0.110480372000000E+03
0.444576170000000E+02,-0.110485830000000E+03
0.444533820000000E+02,-0.110497384000000E+03
0.444519860000000E+02,-0.110503501000000E+03
0.444574550000000E+02,-0.110511062000000E+03
0.444580500000000E+02,-0.110512562000000E+03
0.444582800000000E+02,-0.110515722000000E+03
0.444592630000000E+02,-0.110518020000000E+03
0.444604070000000E+02,-0.110518211000000E+03
0.444648890000000E+02,-0.110516962000000E+03
0.444660550000000E+02,-0.110517153000000E+03
0.444678620000000E+02,-0.110519610000000E+03
0.444704020000000E+02,-0.110525771000000E+03
0.444723710000000E+02,-0.110533434000000E+03
0.444730590000000E+02,-0.110540971000000E+03
0.444720310000000E+02,-0.110548796000000E+03
0.444700650000000E+02,-0.110553458000000E+03
0.444640740000000E+02,-0.110555248000000E+03
0.444605980000000E+02,-0.110555152000000E+03
0.444508110000000E+02,-0.110562304000000E+03
0.444483640000000E+02,-0.110561506000000E+03
0.444461910000000E+02,-0.110562017000000E+03
0.444415040000000E+02,-0.110567954000000E+03
0.444397880000000E+02,-0.110574784000000E+03
0.444387590000000E+02,-0.110576794000000E+03
0.444359920000000E+02,-0.110580145000000E+03
0.444341620000000E+02,-0.110580495000000E+03
0.444318750000000E+02,-0.110580208000000E+03
0.444257710000000E+02,-0.110575005000000E+03
0.444168070000000E+02,-0.110570154000000E+03
0.444121190000000E+02,-0.110565400000000E+03
0.444032700000000E+02,-0.110563167000000E+03
0.443971880000000E+02,-0.110560870000000E+03
0.443954270000000E+02,-0.110559052000000E+03
0.443949010000000E+02,-0.110557808000000E+03
0.443915840000000E+02,-0.110544032000000E+03
0.443905760000000E+02,-0.110536506000000E+03
0.443907360000000E+02,-0.110533668000000E+03
0.443918540000000E+02,-0.110527480000000E+03
0.443938420000000E+02,-0.110522919000000E+03
0.443974310000000E+02,-0.110517494000000E+03
0.443988020000000E+02,-0.110514527000000E+03
0.444003310000000E+02,-0.110507572000000E+03
0.444024100000000E+02,-0.110504253000000E+03
0.444046280000000E+02,-0.110502305000000E+03
0.444047870000000E+02,-0.110501379000000E+03
0.444033240000000E+02,-0.110500108000000E+03
0.444249790000000E+02,-0.110501838000000E+03
0.444346780000000E+02,-0.110493343000000E+03
0.444358220000000E+02,-0.110492067000000E+03
0.444367840000000E+02,-0.110489451000000E+03
0.444432850000000E+02,-0.110468677000000E+03
0.444408390000000E+02,-0.110465835000000E+03
0.444340720000000E+02,-0.110460822000000E+03
0.444329970000000E+02,-0.110461300000000E+03
