"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","6010",1,0,0,0
"2","6033",1,0,0,0
"3","6066",1,0,0,0
"4","6112",1,0,0,0
"5","6360",1,0,0,0
"6","6370",1,1,0,0
"7","6385",1,1,0,0
"8","6410",3,0,0,0
"9","6412",1,0,0,0
"10","6415",2,0,0,0
"11","6416",2,0,0,0
"12","6437",3,0,0,0
"13","6438",1,0,0,0
"14","6443",5,0,0,0
"15","6450",1,0,0,0
"16","6451",3,0,0,0
"17","6455",1,0,0,0
"18","6457",4,0,0,0
"19","6460",2,0,0,0
"20","6468",2,0,0,0
"21","6470",2,0,0,0
"22","6473",3,0,0,0
"23","6477",2,0,0,0
"24","6479",2,0,0,0
"25","6481",2,0,0,0
"26","6482",1,0,0,0
"27","6483",1,0,0,0
"28","6484",2,0,0,0
"29","6488",2,0,0,0
"30","6489",4,0,0,0
"31","6525",2,0,0,0
"32","6604",1,0,0,0
"33","6610",1,0,0,0
"34","6611",4,0,0,0
"35","6612",1,0,0,0
"36","6614",2,0,0,0
"37","6615",1,0,0,0
"38","6706",1,0,0,0
"39","6712",3,0,0,0
"40","6716",3,0,0,0
"41","6756",1,0,0,0
"42","6757",1,0,0,0
"43","6759",1,0,0,0
"44","6762",1,0,0,0
"45","6776",2,0,0,0
"46","6777",1,0,0,0
"47","6779",1,0,0,0
"48","6786",3,2,0,0
"49","6787",1,0,0,0
"50","6790",2,0,0,0
"51","6795",1,0,0,0
"52","6798",1,0,0,0
"53","6804",2,1,0,0
"54","6810",3,0,0,0
"55","6811",4,0,0,0
"56","6820",2,0,0,0
"57","6824",2,1,0,0
"58","6825",2,0,0,0
"59","6831",1,0,0,0
"60","6840",2,0,0,0
"61","6850",2,0,0,0
"62","6851",1,0,0,0
"63","6855",1,0,0,0
"64","6877",6,0,0,0
"65","6883",2,1,0,0
"66","6896",1,1,0,0
"67","6897",3,0,0,0
