"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","46032",1,1,0,0
"2","46033",0,0,0,0
"3","46037",0,0,0,0
"4","46064",0,0,0,0
"5","46074",0,0,0,0
"6","46077",0,0,0,0
"7","46112",0,0,0,0
"8","46123",0,0,0,0
"9","46175",0,0,0,0
"10","46201",0,0,0,0
"11","46202",0,0,0,0
"12","46205",0,0,0,0
"13","46217",0,0,0,0
"14","46219",0,0,0,0
"15","46220",0,0,0,0
"16","46226",0,0,0,0
"17","46227",0,0,0,0
"18","46229",0,0,0,0
"19","46236",0,0,0,0
"20","46237",0,0,0,0
"21","46240",1,1,0,0
"22","46254",0,0,0,0
"23","46256",0,0,0,0
"24","46260",0,0,0,0
"25","46278",0,0,0,0
"26","46303",0,0,0,0
"27","46311",0,0,0,0
"28","46320",0,0,0,0
"29","46321",0,0,0,0
"30","46322",0,0,0,0
"31","46323",0,0,0,0
"32","46324",0,0,0,0
"33","46368",0,0,0,0
"34","46373",0,0,0,0
"35","46385",0,0,0,0
"36","46516",0,0,0,0
"37","46517",0,0,0,0
"38","46530",0,0,0,0
"39","46534",0,0,0,0
"40","46544",0,0,0,0
"41","46545",0,0,0,0
"42","46554",0,0,0,0
"43","46556",0,0,0,0
"44","46563",0,0,0,0
"45","46616",0,0,0,0
"46","46628",0,0,0,0
"47","46750",0,0,0,0
"48","46755",0,0,0,0
"49","46805",0,0,0,0
"50","46835",0,0,0,0
"51","46845",0,0,0,0
"52","46902",0,0,0,0
"53","47001",0,0,0,0
"54","47041",0,0,0,0
"55","47119",0,0,0,0
"56","47130",0,0,0,0
"57","47250",0,0,0,0
"58","47374",0,0,0,0
"59","47714",0,0,0,0
"60","47725",0,0,0,0
"61","47906",0,0,0,0
"62","47978",0,0,0,0
