"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","40031",2,1,0,0
"2","40056",1,0,0,0
"3","40059",1,0,0,0
"4","40204",1,0,0,0
"5","40205",5,0,0,0
"6","40206",2,0,0,0
"7","40207",1,0,0,0
"8","40208",1,0,0,0
"9","40214",1,0,0,0
"10","40217",1,0,0,0
"11","40219",0,0,0,0
"12","40220",0,0,0,0
"13","40222",1,0,0,0
"14","40223",1,0,0,0
"15","40228",2,1,0,0
"16","40241",2,0,0,0
"17","40245",2,0,0,0
"18","40253",0,0,0,0
"19","40258",1,0,0,0
"20","40272",1,0,0,0
"21","40291",2,1,0,0
"22","40299",0,0,0,0
"23","40475",0,0,0,0
"24","40502",1,0,0,0
"25","40510",0,0,0,0
"26","40511",1,0,0,0
"27","40513",0,0,0,0
"28","40515",0,0,0,0
"29","41048",0,0,0,0
"30","41075",0,0,0,0
"31","42104",1,0,0,0
"32","42141",1,0,0,0
"33","42211",0,0,0,0
"34","42223",0,0,0,0
"35","42240",1,0,0,0
"36","42366",0,0,0,0
"37","42701",1,0,0,0
