"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","70001",3,0,0,0
"2","70002",1,0,0,0
"3","70003",3,1,0,0
"4","70004",1,0,0,0
"5","70005",1,0,0,0
"6","70006",0,0,0,0
"7","70030",1,0,0,0
"8","70037",1,0,0,0
"9","70043",1,0,0,0
"10","70047",0,0,0,0
"11","70056",0,0,0,0
"12","70058",0,0,0,0
"13","70062",1,0,0,0
"14","70065",1,1,0,0
"15","70068",0,0,0,0
"16","70072",0,0,0,0
"17","70094",0,0,0,0
"18","70096",0,0,0,0
"19","70114",0,0,0,0
"20","70115",1,0,0,0
"21","70122",0,0,0,0
"22","70123",0,0,0,0
"23","70124",2,0,0,0
"24","70125",0,0,0,0
"25","70131",0,0,0,0
"26","70403",0,0,0,0
"27","70445",0,0,0,0
"28","70448",0,0,0,0
"29","70454",0,0,0,0
"30","70501",0,0,0,0
"31","70503",1,0,0,0
"32","70506",1,0,0,0
"33","70508",1,0,0,0
"34","70517",1,0,0,0
"35","70518",0,0,0,0
"36","70520",1,0,0,0
"37","70526",0,0,0,0
"38","70535",1,0,0,0
"39","70542",0,0,0,0
"40","70544",1,0,0,0
"41","70546",0,0,0,0
"42","70563",0,0,0,0
"43","70582",0,0,0,0
"44","70583",0,0,0,0
"45","70592",0,0,0,0
"46","70601",1,0,0,0
"47","70605",0,0,0,0
"48","70607",0,0,0,0
"49","70634",1,0,0,0
"50","70663",0,0,0,0
"51","70665",0,0,0,0
"52","70802",0,0,0,0
"53","70806",0,0,0,0
"54","70808",0,0,0,0
"55","70816",1,0,0,0
"56","70817",0,0,0,0
"57","71303",1,0,0,0
"58","71360",0,0,0,0
