"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","1002",0,0,0,0
"2","1033",0,0,0,0
"3","1060",0,0,0,0
"4","1062",0,0,0,0
"5","1089",0,0,0,0
"6","1095",0,0,0,0
"7","1106",0,0,0,0
"8","1301",0,0,0,0
"9","1342",0,0,0,0
"10","1430",0,0,0,0
"11","1451",1,1,0,0
"12","1501",1,1,0,0
"13","1545",0,0,0,0
"14","1603",0,0,0,0
"15","1609",1,0,0,0
"16","1742",0,0,0,0
"17","1752",0,0,0,0
"18","1760",1,1,0,0
"19","1775",0,0,0,0
"20","1801",0,0,0,0
"21","1803",0,0,0,0
"22","1810",1,1,0,0
"23","1821",0,0,0,0
"24","1824",0,0,0,0
"25","1826",0,0,0,0
"26","1832",0,0,0,0
"27","1833",0,0,0,0
"28","1835",0,0,0,0
"29","1840",0,0,0,0
"30","1844",0,0,0,0
"31","1845",0,0,0,0
"32","1852",0,0,0,0
"33","1860",0,0,0,0
"34","1862",0,0,0,0
"35","1864",0,0,0,0
"36","1867",0,0,0,0
"37","1876",0,0,0,0
"38","1880",0,0,0,0
"39","1886",0,0,0,0
"40","1887",0,0,0,0
"41","1890",0,0,0,0
"42","1930",0,0,0,0
"43","1945",0,0,0,0
"44","1960",0,0,0,0
"45","2038",0,0,0,0
"46","2043",0,0,0,0
"47","2060",0,0,0,0
"48","2066",0,0,0,0
"49","2093",1,0,0,0
"50","2111",0,0,0,0
"51","2120",0,0,0,0
"52","2122",0,0,0,0
"53","2124",0,0,0,0
"54","2125",0,0,0,0
"55","2127",0,0,0,0
"56","2129",0,0,0,0
"57","2130",0,0,0,0
"58","2131",0,0,0,0
"59","2132",0,0,0,0
"60","2136",0,0,0,0
"61","2138",0,0,0,0
"62","2139",0,0,0,0
"63","2144",0,0,0,0
"64","2148",0,0,0,0
"65","2149",0,0,0,0
"66","2150",0,0,0,0
"67","2151",0,0,0,0
"68","2152",0,0,0,0
"69","2155",1,1,0,0
"70","2169",0,0,0,0
"71","2184",0,0,0,0
"72","2186",0,0,0,0
"73","2189",0,0,0,0
"74","2190",0,0,0,0
"75","2191",0,0,0,0
"76","2302",0,0,0,0
"77","2324",0,0,0,0
"78","2332",0,0,0,0
"79","2339",0,0,0,0
"80","2341",0,0,0,0
"81","2345",0,0,0,0
"82","2346",0,0,0,0
"83","2356",0,0,0,0
"84","2359",0,0,0,0
"85","2360",0,0,0,0
"86","2370",0,0,0,0
"87","2382",0,0,0,0
"88","2460",0,0,0,0
"89","2461",0,0,0,0
"90","2466",0,0,0,0
"91","2472",0,0,0,0
"92","2482",1,0,0,0
"93","2492",0,0,0,0
"94","2537",0,0,0,0
"95","2540",0,0,0,0
"96","2563",0,0,0,0
"97","2648",0,0,0,0
"98","2649",0,0,0,0
"99","2662",0,0,0,0
"100","2703",0,0,0,0
"101","2780",0,0,0,0
