"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","68005",0,0,0,0
"2","68046",0,0,0,0
"3","68048",0,0,0,0
"4","68104",0,0,0,0
"5","68105",0,0,0,0
"6","68106",0,0,0,0
"7","68108",0,0,0,0
"8","68113",0,0,0,0
"9","68114",3,3,0,0
"10","68116",2,2,0,0
"11","68118",0,0,0,0
"12","68122",0,0,0,0
"13","68123",0,0,0,0
"14","68124",0,0,0,0
"15","68130",0,0,0,0
"16","68131",0,0,0,0
"17","68132",0,0,0,0
"18","68134",0,0,0,0
"19","68135",0,0,0,0
"20","68137",0,0,0,0
"21","68138",0,0,0,0
"22","68142",0,0,0,0
"23","68144",0,0,0,0
"24","68152",0,0,0,0
"25","68154",0,0,0,0
"26","68157",1,1,1,1
"27","68164",1,1,0,0
"28","68319",0,0,0,0
"29","68420",0,0,0,0
"30","68503",0,0,0,0
"31","68506",0,0,0,0
"32","68508",0,0,0,0
"33","68512",0,0,0,0
"34","68516",0,0,0,0
"35","69103",0,0,0,0
"36","69156",0,0,0,0
"37","69337",0,0,0,0
