"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","84005",1,0,0,0
"2","84006",1,1,0,0
"3","84010",1,0,0,0
"4","84020",6,3,1,1
"5","84025",1,0,0,0
"6","84032",1,1,0,0
"7","84036",1,1,0,0
"8","84040",2,1,1,1
"9","84041",1,0,0,0
"10","84043",3,1,0,0
"11","84044",1,0,0,0
"12","84047",1,0,0,0
"13","84055",2,1,0,0
"14","84058",1,0,0,0
"15","84060",6,3,1,1
"16","84065",2,1,0,0
"17","84067",1,1,0,0
"18","84068",1,0,0,0
"19","84070",3,0,0,0
"20","84075",1,1,0,0
"21","84078",1,0,0,0
"22","84084",1,0,0,0
"23","84088",2,1,0,0
"24","84092",11,4,1,1
"25","84093",6,0,0,0
"26","84094",3,1,0,0
"27","84095",3,0,0,0
"28","84096",2,0,0,0
"29","84098",8,6,0,0
"30","84102",4,2,0,0
"31","84103",12,5,2,2
"32","84104",1,0,0,0
"33","84105",10,4,1,1
"34","84106",4,3,0,0
"35","84107",2,1,1,1
"36","84108",10,3,0,0
"37","84109",8,3,1,1
"38","84115",1,1,0,0
"39","84116",2,0,0,0
"40","84117",7,2,0,0
"41","84118",5,0,0,0
"42","84119",6,2,0,0
"43","84120",2,1,0,0
"44","84121",6,1,0,0
"45","84123",2,0,0,0
"46","84124",8,4,1,1
"47","84128",3,0,0,0
"48","84158",1,0,0,0
"49","84302",2,0,0,0
"50","84310",1,0,0,0
"51","84317",2,0,0,0
"52","84321",2,0,0,0
"53","84335",1,0,0,0
"54","84341",1,0,0,0
"55","84403",5,2,1,1
"56","84404",1,0,0,0
"57","84409",1,0,0,0
"58","84414",1,0,0,0
"59","84604",3,1,1,1
"60","84606",1,0,0,0
"61","84632",1,0,0,0
"62","84646",1,0,0,0
"63","84652",1,0,0,0
"64","84660",1,0,0,0
"65","84664",1,0,0,0
"66","84744",1,0,0,0
"67","84780",2,1,0,0
"68","84790",1,0,0,0
