"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","96701",47,15,6,6
"2","96703",2,0,0,0
"3","96704",6,1,0,0
"4","96705",2,1,0,0
"5","96706",74,29,2,2
"6","96707",41,18,1,1
"7","96708",10,2,0,0
"8","96709",0,0,0,0
"9","96710",0,0,0,0
"10","96712",4,2,0,0
"11","96713",4,4,0,0
"12","96714",5,0,0,0
"13","96715",1,0,0,0
"14","96716",4,2,0,0
"15","96717",7,2,0,0
"16","96720",74,23,4,4
"17","96721",4,0,0,0
"18","96722",3,1,0,0
"19","96725",1,0,0,0
"20","96726",1,0,0,0
"21","96727",8,1,0,0
"22","96728",1,0,0,0
"23","96730",3,2,0,0
"24","96731",5,1,0,0
"25","96732",42,14,0,0
"26","96733",6,1,0,0
"27","96734",72,28,4,4
"28","96738",14,5,0,0
"29","96739",1,1,0,0
"30","96740",18,5,1,1
"31","96741",5,1,0,0
"32","96743",21,4,0,0
"33","96744",77,19,0,0
"34","96745",8,4,1,1
"35","96746",23,3,0,0
"36","96747",1,0,0,0
"37","96748",4,1,0,0
"38","96749",9,4,0,0
"39","96750",7,0,0,0
"40","96752",2,1,0,0
"41","96753",23,1,0,0
"42","96754",8,2,1,1
"43","96755",10,2,0,0
"44","96756",6,3,0,0
"45","96757",2,0,0,0
"46","96760",8,3,0,0
"47","96761",25,8,0,0
"48","96762",10,6,0,0
"49","96763",10,3,0,0
"50","96764",4,0,0,0
"51","96765",3,0,0,0
"52","96766",13,5,1,1
"53","96767",3,1,0,0
"54","96768",23,11,0,0
"55","96771",2,1,0,0
"56","96772",1,0,0,0
"57","96774",2,0,0,0
"58","96776",3,1,0,0
"59","96777",0,0,0,0
"60","96778",7,1,0,0
"61","96779",0,0,0,0
"62","96781",1,1,0,0
"63","96782",46,16,2,2
"64","96783",2,0,0,0
"65","96785",6,3,0,0
"66","96786",21,7,1,1
"67","96788",2,0,0,0
"68","96789",68,25,1,1
"69","96790",13,3,0,0
"70","96791",5,0,0,0
"71","96792",43,10,1,0
"72","96793",31,5,0,0
"73","96795",14,4,0,0
"74","96796",2,0,0,0
"75","96797",74,16,1,1
"76","96802",0,0,0,0
"77","96809",1,0,0,0
"78","96813",22,5,0,0
"79","96814",16,3,0,0
"80","96815",13,1,0,0
"81","96816",90,33,1,1
"82","96817",75,26,2,2
"83","96818",33,14,1,1
"84","96819",27,5,0,0
"85","96820",1,1,0,0
"86","96821",37,11,1,1
"87","96822",52,15,0,0
"88","96823",2,1,0,0
"89","96825",35,13,1,1
"90","96826",25,8,0,0
"91","96828",3,2,0,0
"92","96836",1,1,0,0
"93","96837",1,0,0,0
"94","96839",0,0,0,0
"95","96860",0,0,0,0
