"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","83201",1,1,1,1
"2","83202",0,0,0,0
"3","83204",0,0,0,0
"4","83211",0,0,0,0
"5","83221",0,0,0,0
"6","83252",0,0,0,0
"7","83262",0,0,0,0
"8","83276",0,0,0,0
"9","83301",0,0,0,0
"10","83303",0,0,0,0
"11","83316",0,0,0,0
"12","83318",0,0,0,0
"13","83320",0,0,0,0
"14","83325",0,0,0,0
"15","83328",0,0,0,0
"16","83330",0,0,0,0
"17","83332",0,0,0,0
"18","83333",0,0,0,0
"19","83336",0,0,0,0
"20","83338",1,0,0,0
"21","83340",3,2,0,0
"22","83341",0,0,0,0
"23","83346",0,0,0,0
"24","83350",0,0,0,0
"25","83352",0,0,0,0
"26","83353",0,0,0,0
"27","83355",0,0,0,0
"28","83401",0,0,0,0
"29","83402",0,0,0,0
"30","83404",1,1,0,0
"31","83406",0,0,0,0
"32","83423",0,0,0,0
"33","83436",0,0,0,0
"34","83440",0,0,0,0
"35","83443",0,0,0,0
"36","83501",0,0,0,0
"37","83524",0,0,0,0
"38","83530",0,0,0,0
"39","83541",0,0,0,0
"40","83542",0,0,0,0
"41","83543",0,0,0,0
"42","83544",0,0,0,0
"43","83545",0,0,0,0
"44","83605",0,0,0,0
"45","83607",0,0,0,0
"46","83610",0,0,0,0
"47","83611",0,0,0,0
"48","83616",3,3,0,0
"49","83617",1,0,0,0
"50","83619",0,0,0,0
"51","83622",0,0,0,0
"52","83623",0,0,0,0
"53","83626",0,0,0,0
"54","83627",0,0,0,0
"55","83628",0,0,0,0
"56","83631",0,0,0,0
"57","83633",0,0,0,0
"58","83634",1,1,0,0
"59","83638",0,0,0,0
"60","83642",0,0,0,0
"61","83644",1,1,1,1
"62","83645",0,0,0,0
"63","83646",3,0,0,0
"64","83647",0,0,0,0
"65","83651",0,0,0,0
"66","83653",0,0,0,0
"67","83654",0,0,0,0
"68","83655",0,0,0,0
"69","83660",0,0,0,0
"70","83661",0,0,0,0
"71","83669",0,0,0,0
"72","83672",0,0,0,0
"73","83676",0,0,0,0
"74","83686",0,0,0,0
"75","83687",2,2,0,0
"76","83702",5,1,0,0
"77","83703",0,0,0,0
"78","83704",2,1,1,1
"79","83705",1,0,0,0
"80","83706",9,5,2,2
"81","83707",0,0,0,0
"82","83709",7,4,0,0
"83","83712",1,1,0,0
"84","83713",2,1,0,0
"85","83714",1,1,0,0
"86","83716",1,0,0,0
"87","83801",0,0,0,0
"88","83805",0,0,0,0
"89","83809",0,0,0,0
"90","83810",0,0,0,0
"91","83811",0,0,0,0
"92","83814",1,1,0,0
"93","83815",2,2,1,1
"94","83816",0,0,0,0
"95","83823",0,0,0,0
"96","83833",0,0,0,0
"97","83835",1,1,0,0
"98","83837",0,0,0,0
"99","83843",2,0,0,0
"100","83846",0,0,0,0
"101","83850",0,0,0,0
"102","83851",0,0,0,0
"103","83854",2,1,0,0
"104","83858",0,0,0,0
"105","83860",0,0,0,0
"106","83861",0,0,0,0
"107","83864",0,0,0,0
"108","83869",0,0,0,0
"109","83871",0,0,0,0
"110","83873",0,0,0,0
"111","83877",0,0,0,0
