"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","60002",0,0,0,0
"2","60004",0,0,0,0
"3","60005",0,0,0,0
"4","60007",0,0,0,0
"5","60008",0,0,0,0
"6","60010",1,1,0,0
"7","60012",0,0,0,0
"8","60013",1,1,0,0
"9","60014",0,0,0,0
"10","60015",0,0,0,0
"11","60016",0,0,0,0
"12","60018",0,0,0,0
"13","60020",0,0,0,0
"14","60021",0,0,0,0
"15","60022",2,2,1,1
"16","60025",0,0,0,0
"17","60026",0,0,0,0
"18","60030",0,0,0,0
"19","60031",0,0,0,0
"20","60035",0,0,0,0
"21","60041",0,0,0,0
"22","60042",0,0,0,0
"23","60043",0,0,0,0
"24","60044",0,0,0,0
"25","60045",0,0,0,0
"26","60046",1,1,0,0
"27","60047",0,0,0,0
"28","60048",0,0,0,0
"29","60050",0,0,0,0
"30","60051",0,0,0,0
"31","60053",0,0,0,0
"32","60056",0,0,0,0
"33","60060",1,1,0,0
"34","60061",0,0,0,0
"35","60062",0,0,0,0
"36","60064",0,0,0,0
"37","60067",2,2,0,0
"38","60068",2,2,0,0
"39","60069",0,0,0,0
"40","60070",0,0,0,0
"41","60071",0,0,0,0
"42","60073",0,0,0,0
"43","60074",0,0,0,0
"44","60076",0,0,0,0
"45","60077",0,0,0,0
"46","60081",0,0,0,0
"47","60085",0,0,0,0
"48","60087",0,0,0,0
"49","60089",0,0,0,0
"50","60090",0,0,0,0
"51","60091",1,1,0,0
"52","60093",0,0,0,0
"53","60097",0,0,0,0
"54","60098",0,0,0,0
"55","60101",0,0,0,0
"56","60102",0,0,0,0
"57","60103",0,0,0,0
"58","60104",0,0,0,0
"59","60106",0,0,0,0
"60","60107",0,0,0,0
"61","60108",0,0,0,0
"62","60110",1,1,0,0
"63","60112",0,0,0,0
"64","60115",0,0,0,0
"65","60118",0,0,0,0
"66","60119",0,0,0,0
"67","60120",0,0,0,0
"68","60123",0,0,0,0
"69","60124",0,0,0,0
"70","60126",1,1,0,0
"71","60130",0,0,0,0
"72","60131",0,0,0,0
"73","60133",0,0,0,0
"74","60134",0,0,0,0
"75","60137",0,0,0,0
"76","60139",0,0,0,0
"77","60142",0,0,0,0
"78","60143",0,0,0,0
"79","60148",0,0,0,0
"80","60152",0,0,0,0
"81","60155",0,0,0,0
"82","60156",0,0,0,0
"83","60157",0,0,0,0
"84","60160",0,0,0,0
"85","60163",0,0,0,0
"86","60165",0,0,0,0
"87","60169",0,0,0,0
"88","60171",0,0,0,0
"89","60172",1,1,0,0
"90","60173",0,0,0,0
"91","60174",0,0,0,0
"92","60175",1,1,0,0
"93","60176",0,0,0,0
"94","60177",0,0,0,0
"95","60178",0,0,0,0
"96","60181",0,0,0,0
"97","60185",0,0,0,0
"98","60187",0,0,0,0
"99","60188",0,0,0,0
"100","60190",0,0,0,0
"101","60191",0,0,0,0
"102","60192",0,0,0,0
"103","60193",1,1,0,0
"104","60194",0,0,0,0
"105","60195",0,0,0,0
"106","60201",2,2,0,0
"107","60202",0,0,0,0
"108","60302",0,0,0,0
"109","60304",0,0,0,0
"110","60305",0,0,0,0
"111","60402",1,1,0,0
"112","60403",0,0,0,0
"113","60404",0,0,0,0
"114","60406",0,0,0,0
"115","60408",0,0,0,0
"116","60409",0,0,0,0
"117","60410",0,0,0,0
"118","60411",0,0,0,0
"119","60417",0,0,0,0
"120","60420",0,0,0,0
"121","60421",0,0,0,0
"122","60422",0,0,0,0
"123","60423",0,0,0,0
"124","60425",0,0,0,0
"125","60430",0,0,0,0
"126","60431",0,0,0,0
"127","60432",0,0,0,0
"128","60435",0,0,0,0
"129","60438",0,0,0,0
"130","60439",0,0,0,0
"131","60440",0,0,0,0
"132","60441",0,0,0,0
"133","60442",0,0,0,0
"134","60443",0,0,0,0
"135","60445",1,1,0,0
"136","60446",0,0,0,0
"137","60447",1,1,0,0
"138","60448",0,0,0,0
"139","60449",0,0,0,0
"140","60450",1,1,1,1
"141","60451",0,0,0,0
"142","60452",0,0,0,0
"143","60453",0,0,0,0
"144","60455",0,0,0,0
"145","60458",0,0,0,0
"146","60459",0,0,0,0
"147","60462",0,0,0,0
"148","60463",0,0,0,0
"149","60465",0,0,0,0
"150","60466",0,0,0,0
"151","60467",0,0,0,0
"152","60469",0,0,0,0
"153","60471",0,0,0,0
"154","60473",0,0,0,0
"155","60475",0,0,0,0
"156","60477",0,0,0,0
"157","60478",0,0,0,0
"158","60480",0,0,0,0
"159","60481",0,0,0,0
"160","60482",0,0,0,0
"161","60487",0,0,0,0
"162","60490",0,0,0,0
"163","60491",0,0,0,0
"164","60501",0,0,0,0
"165","60503",1,1,0,0
"166","60504",0,0,0,0
"167","60505",0,0,0,0
"168","60506",0,0,0,0
"169","60510",0,0,0,0
"170","60513",0,0,0,0
"171","60514",0,0,0,0
"172","60515",0,0,0,0
"173","60516",0,0,0,0
