"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","1002",0,0,0,0
"2","1007",0,0,0,0
"3","1062",0,0,0,0
"4","1068",0,0,0,0
"5","1081",0,0,0,0
"6","1095",0,0,0,0
"7","1267",0,0,0,0
"8","1430",0,0,0,0
"9","1431",0,0,0,0
"10","1450",0,0,0,0
"11","1451",0,0,0,0
"12","1522",0,0,0,0
"13","1569",0,0,0,0
"14","1581",0,0,0,0
"15","1602",0,0,0,0
"16","1609",0,0,0,0
"17","1730",0,0,0,0
"18","1742",0,0,0,0
"19","1778",0,0,0,0
"20","1803",0,0,0,0
"21","1810",0,0,0,0
"22","1824",0,0,0,0
"23","1833",0,0,0,0
"24","1835",0,0,0,0
"25","1841",0,0,0,0
"26","1844",0,0,0,0
"27","1845",0,0,0,0
"28","1850",0,0,0,0
"29","1851",0,0,0,0
"30","1852",0,0,0,0
"31","1860",0,0,0,0
"32","1864",0,0,0,0
"33","1867",0,0,0,0
"34","1876",0,0,0,0
"35","1879",0,0,0,0
"36","1880",0,0,0,0
"37","1886",0,0,0,0
"38","1902",0,0,0,0
"39","1915",0,0,0,0
"40","1938",0,0,0,0
"41","1945",0,0,0,0
"42","1951",0,0,0,0
"43","1970",0,0,0,0
"44","2038",0,0,0,0
"45","2050",0,0,0,0
"46","2115",0,0,0,0
"47","2118",0,0,0,0
"48","2121",0,0,0,0
"49","2122",0,0,0,0
"50","2124",0,0,0,0
"51","2125",0,0,0,0
"52","2126",0,0,0,0
"53","2127",0,0,0,0
"54","2128",0,0,0,0
"55","2131",0,0,0,0
"56","2132",0,0,0,0
"57","2135",0,0,0,0
"58","2143",0,0,0,0
"59","2145",0,0,0,0
"60","2148",0,0,0,0
"61","2149",0,0,0,0
"62","2150",0,0,0,0
"63","2152",0,0,0,0
"64","2155",0,0,0,0
"65","2171",0,0,0,0
"66","2176",0,0,0,0
"67","2180",0,0,0,0
"68","2184",0,0,0,0
"69","2186",0,0,0,0
"70","2188",0,0,0,0
"71","2190",0,0,0,0
"72","2191",0,0,0,0
"73","2302",0,0,0,0
"74","2324",0,0,0,0
"75","2332",0,0,0,0
"76","2339",0,0,0,0
"77","2346",0,0,0,0
"78","2351",0,0,0,0
"79","2359",0,0,0,0
"80","2360",0,0,0,0
"81","2379",0,0,0,0
"82","2420",0,0,0,0
"83","2421",0,0,0,0
"84","2453",0,0,0,0
"85","2459",0,0,0,0
"86","2467",0,0,0,0
"87","2481",0,0,0,0
"88","2648",0,0,0,0
"89","2703",0,0,0,0
"90","2726",0,0,0,0
"91","2738",0,0,0,0
"92","2739",0,0,0,0
"93","2747",0,0,0,0
