"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","63005",3,0,0,0
"2","63010",4,0,0,0
"3","63011",2,0,0,0
"4","63016",1,0,0,0
"5","63017",6,0,0,0
"6","63020",1,0,0,0
"7","63021",6,1,0,0
"8","63025",3,0,0,0
"9","63026",10,1,0,0
"10","63031",5,0,0,0
"11","63033",3,0,0,0
"12","63034",2,0,0,0
"13","63037",1,0,0,0
"14","63040",2,0,0,0
"15","63042",1,0,0,0
"16","63043",1,0,0,0
"17","63044",3,1,0,0
"18","63048",1,0,0,0
"19","63049",2,0,0,0
"20","63050",4,0,0,0
"21","63051",3,0,0,0
"22","63052",6,0,0,0
"23","63055",2,0,0,0
"24","63074",2,0,0,0
"25","63080",1,0,0,0
"26","63084",3,0,0,0
"27","63090",4,0,0,0
"28","63104",1,0,0,0
"29","63105",2,0,0,0
"30","63106",2,0,0,0
"31","63108",1,0,0,0
"32","63109",9,0,0,0
"33","63110",3,0,0,0
"34","63111",1,0,0,0
"35","63112",1,0,0,0
"36","63113",1,0,0,0
"37","63114",1,0,0,0
"38","63115",2,0,0,0
"39","63116",7,0,0,0
"40","63117",1,0,0,0
"41","63119",5,0,0,0
"42","63121",2,0,0,0
"43","63122",10,0,0,0
"44","63123",6,0,0,0
"45","63124",3,1,0,0
"46","63125",4,0,0,0
"47","63126",1,0,0,0
"48","63127",2,0,0,0
"49","63128",4,0,0,0
"50","63129",8,0,0,0
"51","63130",1,0,0,0
"52","63131",7,0,0,0
"53","63133",1,0,0,0
"54","63135",4,0,0,0
"55","63136",1,0,0,0
"56","63137",2,0,0,0
"57","63138",1,0,0,0
"58","63139",4,1,0,0
"59","63141",3,0,0,0
"60","63143",1,0,0,0
"61","63144",1,0,0,0
"62","63146",1,0,0,0
"63","63301",5,0,0,0
"64","63303",3,0,0,0
"65","63304",5,1,1,1
"66","63341",1,0,0,0
"67","63343",2,0,0,0
"68","63348",1,0,0,0
"69","63361",1,0,0,0
"70","63366",8,1,0,0
"71","63367",3,1,0,0
"72","63368",6,1,0,0
"73","63376",3,0,0,0
"74","63379",4,0,0,0
"75","63383",2,0,0,0
"76","63385",3,0,0,0
"77","63390",1,0,0,0
"78","63459",1,0,0,0
"79","63501",1,0,0,0
"80","63601",1,0,0,0
"81","63834",1,0,0,0
"82","64012",2,0,0,0
"83","64014",2,2,0,0
"84","64015",7,1,0,0
"85","64024",2,0,0,0
"86","64048",2,0,0,0
"87","64052",1,0,0,0
"88","64053",1,0,0,0
"89","64056",1,0,0,0
"90","64057",2,0,0,0
"91","64061",1,0,0,0
"92","64063",4,1,0,0
"93","64064",5,1,0,0
"94","64068",4,0,0,0
"95","64075",1,0,0,0
"96","64076",2,0,0,0
"97","64081",2,0,0,0
"98","64082",1,0,0,0
"99","64083",1,0,0,0
"100","64086",4,1,0,0
"101","64089",1,0,0,0
"102","64093",1,0,0,0
"103","64108",1,0,0,0
"104","64109",1,0,0,0
"105","64110",2,0,0,0
"106","64111",1,0,0,0
"107","64112",6,2,0,0
"108","64113",8,1,0,0
"109","64114",5,1,0,0
"110","64116",5,0,0,0
"111","64117",2,1,0,0
"112","64118",5,0,0,0
"113","64119",1,0,0,0
"114","64129",1,1,0,0
"115","64130",1,0,0,0
"116","64131",2,0,0,0
"117","64133",2,0,0,0
"118","64134",3,0,0,0
"119","64137",3,0,0,0
"120","64138",3,0,0,0
"121","64145",4,0,0,0
"122","64151",2,0,0,0
"123","64152",5,0,0,0
"124","64153",1,0,0,0
"125","64154",2,0,0,0
"126","64155",2,0,0,0
"127","64157",3,1,0,0
"128","64503",1,0,0,0
"129","64506",1,0,0,0
"130","64734",1,0,0,0
"131","64735",1,0,0,0
"132","64748",1,0,0,0
"133","64755",1,0,0,0
"134","64804",1,0,0,0
"135","65037",1,0,0,0
"136","65109",1,0,0,0
"137","65201",1,0,0,0
"138","65203",2,0,0,0
"139","65265",1,1,0,0
"140","65325",1,1,1,1
"141","65622",1,0,0,0
"142","65632",1,0,0,0
"143","65661",1,0,0,0
"144","65721",2,0,0,0
"145","65785",1,0,0,0
"146","65801",1,0,0,0
"147","65802",2,0,0,0
"148","65803",1,0,0,0
"149","65804",2,0,0,0
"150","65810",1,0,0,0
