"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","89002",1,1,1,1
"2","89003",0,0,0,0
"3","89005",0,0,0,0
"4","89011",0,0,0,0
"5","89014",0,0,0,0
"6","89015",0,0,0,0
"7","89020",0,0,0,0
"8","89021",0,0,0,0
"9","89027",0,0,0,0
"10","89030",0,0,0,0
"11","89031",0,0,0,0
"12","89032",0,0,0,0
"13","89044",0,0,0,0
"14","89045",0,0,0,0
"15","89048",0,0,0,0
"16","89052",2,2,0,0
"17","89060",0,0,0,0
"18","89061",0,0,0,0
"19","89074",0,0,0,0
"20","89081",0,0,0,0
"21","89084",0,0,0,0
"22","89101",0,0,0,0
"23","89102",0,0,0,0
"24","89103",0,0,0,0
"25","89104",0,0,0,0
"26","89106",0,0,0,0
"27","89107",0,0,0,0
"28","89108",0,0,0,0
"29","89110",1,1,1,1
"30","89113",0,0,0,0
"31","89115",0,0,0,0
"32","89117",0,0,0,0
"33","89120",0,0,0,0
"34","89121",0,0,0,0
"35","89122",0,0,0,0
"36","89123",2,2,0,0
"37","89128",0,0,0,0
"38","89129",0,0,0,0
"39","89130",0,0,0,0
"40","89131",1,1,0,0
"41","89133",0,0,0,0
"42","89134",0,0,0,0
"43","89135",1,1,0,0
"44","89138",0,0,0,0
"45","89139",0,0,0,0
"46","89141",0,0,0,0
"47","89142",0,0,0,0
"48","89143",0,0,0,0
"49","89144",1,1,0,0
"50","89145",0,0,0,0
"51","89146",0,0,0,0
"52","89147",1,0,0,0
"53","89148",0,0,0,0
"54","89149",0,0,0,0
"55","89156",0,0,0,0
"56","89166",0,0,0,0
"57","89178",0,0,0,0
"58","89179",0,0,0,0
"59","89183",0,0,0,0
"60","89317",0,0,0,0
"61","89403",0,0,0,0
"62","89404",0,0,0,0
"63","89406",0,0,0,0
"64","89408",0,0,0,0
"65","89410",1,1,0,0
"66","89412",0,0,0,0
"67","89415",0,0,0,0
"68","89419",0,0,0,0
"69","89423",2,2,0,0
"70","89425",0,0,0,0
"71","89431",0,0,0,0
"72","89433",0,0,0,0
"73","89434",0,0,0,0
"74","89435",0,0,0,0
"75","89436",0,0,0,0
"76","89441",0,0,0,0
"77","89445",0,0,0,0
"78","89446",0,0,0,0
"79","89447",0,0,0,0
"80","89448",0,0,0,0
"81","89450",0,0,0,0
"82","89451",0,0,0,0
"83","89460",1,1,1,1
"84","89502",1,1,0,0
"85","89503",0,0,0,0
"86","89506",0,0,0,0
"87","89507",0,0,0,0
"88","89508",0,0,0,0
"89","89509",2,2,0,0
"90","89511",3,2,0,0
"91","89512",0,0,0,0
"92","89515",0,0,0,0
"93","89519",0,0,0,0
"94","89521",0,0,0,0
"95","89523",0,0,0,0
"96","89533",1,1,0,0
"97","89701",1,1,0,0
"98","89702",0,0,0,0
"99","89703",1,0,0,0
"100","89704",2,2,0,0
"101","89706",0,0,0,0
"102","89801",0,0,0,0
"103","89815",0,0,0,0
"104","89820",0,0,0,0
