"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","43011",1,0,0,0
"2","43015",3,0,0,0
"3","43016",1,1,1,1
"4","43065",1,0,0,0
"5","43068",2,0,0,0
"6","43082",2,0,0,0
"7","43119",1,0,0,0
"8","43123",1,0,0,0
"9","43201",1,0,0,0
"10","43203",1,1,0,0
"11","43205",1,0,0,0
"12","43206",1,0,0,0
"13","43207",1,0,0,0
"14","43214",3,1,0,0
"15","43227",1,0,0,0
"16","43235",1,0,0,0
"17","43420",1,0,0,0
"18","43552",1,0,0,0
"19","43560",1,0,0,0
"20","43612",2,0,0,0
"21","43613",1,0,0,0
"22","43616",1,0,0,0
"23","43952",1,0,0,0
"24","43988",1,0,0,0
"25","44011",1,0,0,0
"26","44012",2,1,0,0
"27","44022",2,0,0,0
"28","44023",1,0,0,0
"29","44024",2,0,0,0
"30","44028",2,0,0,0
"31","44060",1,0,0,0
"32","44067",2,0,0,0
"33","44070",2,0,0,0
"34","44077",2,1,0,0
"35","44081",1,0,0,0
"36","44086",1,0,0,0
"37","44089",1,0,0,0
"38","44094",3,0,0,0
"39","44102",2,0,0,0
"40","44107",3,0,0,0
"41","44109",1,0,0,0
"42","44110",2,0,0,0
"43","44111",1,0,0,0
"44","44116",3,0,0,0
"45","44118",2,0,0,0
"46","44119",2,0,0,0
"47","44121",2,0,0,0
"48","44122",2,0,0,0
"49","44123",1,0,0,0
"50","44124",2,0,0,0
"51","44125",1,0,0,0
"52","44126",1,0,0,0
"53","44129",2,0,0,0
"54","44130",1,0,0,0
"55","44131",3,0,0,0
"56","44133",2,0,0,0
"57","44134",4,0,0,0
"58","44136",1,0,0,0
"59","44138",2,0,0,0
"60","44139",1,1,0,0
"61","44140",2,0,0,0
"62","44143",1,0,0,0
"63","44145",1,0,0,0
"64","44202",1,0,0,0
"65","44212",2,1,0,0
"66","44230",1,0,0,0
"67","44233",1,0,0,0
"68","44240",1,0,0,0
"69","44256",1,0,0,0
"70","44302",1,0,0,0
"71","44306",1,0,0,0
"72","44313",1,1,0,0
"73","44320",2,0,0,0
"74","44321",1,0,0,0
"75","44422",1,0,0,0
"76","44423",1,0,0,0
"77","44460",1,0,0,0
"78","44705",1,0,0,0
"79","44709",1,0,0,0
"80","44883",1,0,0,0
"81","45011",1,0,0,0
"82","45015",1,0,0,0
"83","45042",2,0,0,0
"84","45044",1,0,0,0
"85","45068",1,0,0,0
"86","45122",1,0,0,0
"87","45133",1,0,0,0
"88","45140",1,0,0,0
"89","45150",2,0,0,0
"90","45157",1,0,0,0
"91","45177",1,0,0,0
"92","45201",1,0,0,0
"93","45205",1,0,0,0
"94","45206",1,0,0,0
"95","45208",2,0,0,0
"96","45211",1,0,0,0
"97","45213",1,0,0,0
"98","45215",1,0,0,0
"99","45226",1,0,0,0
"100","45227",2,0,0,0
"101","45229",1,0,0,0
"102","45230",1,0,0,0
"103","45231",1,0,0,0
"104","45233",3,0,0,0
"105","45236",2,0,0,0
"106","45238",3,0,0,0
"107","45240",1,0,0,0
"108","45241",1,0,0,0
"109","45242",3,0,0,0
"110","45243",1,0,0,0
"111","45244",5,0,0,0
"112","45245",1,0,0,0
"113","45246",1,0,0,0
"114","45247",7,0,0,0
"115","45248",2,0,0,0
"116","45251",1,0,0,0
"117","45255",1,0,0,0
"118","45305",1,1,0,0
"119","45306",1,0,0,0
"120","45324",2,1,0,0
"121","45331",1,0,0,0
"122","45342",1,0,0,0
"123","45385",2,0,0,0
"124","45414",1,0,0,0
"125","45424",1,0,0,0
"126","45429",1,0,0,0
"127","45458",1,0,0,0
"128","45601",1,0,0,0
"129","45662",1,0,0,0
"130","45742",1,0,0,0
"131","45750",1,0,0,0
"132","45801",1,0,0,0
"133","45828",1,0,0,0
"134","45843",1,0,0,0
