"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","97002",3,0,0,0
"2","97004",3,0,0,0
"3","97005",9,1,1,1
"4","97006",59,18,3,3
"5","97007",85,22,3,3
"6","97008",22,7,2,2
"7","97009",1,0,0,0
"8","97013",9,2,1,1
"9","97014",0,0,0,0
"10","97015",22,7,0,0
"11","97016",0,0,0,0
"12","97017",0,0,0,0
"13","97019",4,2,0,0
"14","97020",0,0,0,0
"15","97022",5,1,0,0
"16","97023",6,2,0,0
"17","97024",4,1,0,0
"18","97026",0,0,0,0
"19","97027",1,0,0,0
"20","97029",0,0,0,0
"21","97030",20,7,1,1
"22","97031",7,0,0,0
"23","97032",1,1,0,0
"24","97034",12,4,3,3
"25","97035",20,7,0,0
"26","97037",0,0,0,0
"27","97038",4,2,2,2
"28","97040",1,1,0,0
"29","97041",2,2,0,0
"30","97042",2,0,0,0
"31","97045",28,13,4,4
"32","97048",1,0,0,0
"33","97049",0,0,0,0
"34","97051",5,2,0,0
"35","97053",4,0,0,0
"36","97054",0,0,0,0
"37","97055",12,6,1,1
"38","97056",10,7,4,4
"39","97058",12,5,0,0
"40","97060",14,6,1,1
"41","97062",42,8,0,0
"42","97064",0,0,0,0
"43","97065",1,0,0,0
"44","97067",1,1,1,1
"45","97068",25,12,4,4
"46","97070",15,10,1,1
"47","97071",21,3,1,1
"48","97075",0,0,0,0
"49","97076",1,1,0,0
"50","97080",27,12,3,3
"51","97086",30,12,4,4
"52","97089",13,3,2,2
"53","97101",1,0,0,0
"54","97103",7,3,1,1
"55","97106",3,1,0,0
"56","97107",0,0,0,0
"57","97108",0,0,0,0
"58","97109",0,0,0,0
"59","97110",0,0,0,0
"60","97111",3,2,1,1
"61","97113",9,1,0,0
"62","97114",2,1,0,0
"63","97115",0,0,0,0
"64","97116",13,5,0,0
"65","97119",3,1,0,0
"66","97121",0,0,0,0
"67","97123",33,6,1,1
"68","97124",41,7,0,0
"69","97127",0,0,0,0
"70","97128",12,4,0,0
"71","97132",13,6,0,0
"72","97133",4,0,0,0
"73","97135",1,1,1,1
"74","97136",0,0,0,0
"75","97137",0,0,0,0
"76","97138",2,2,0,0
"77","97140",9,1,0,0
"78","97141",1,0,0,0
"79","97143",1,0,0,0
"80","97146",2,1,0,0
"81","97148",1,0,0,0
"82","97149",0,0,0,0
"83","97201",9,2,0,0
"84","97202",23,1,0,0
"85","97203",20,10,6,6
"86","97204",1,0,0,0
"87","97205",2,0,0,0
"88","97206",36,10,1,1
"89","97208",1,0,0,0
"90","97209",0,0,0,0
"91","97210",3,0,0,0
"92","97211",17,5,0,0
"93","97212",15,4,2,2
"94","97213",27,6,3,3
"95","97214",6,2,0,0
"96","97215",13,4,3,3
"97","97216",12,2,1,1
"98","97217",13,3,0,0
"99","97218",8,1,1,1
"100","97219",33,3,0,0
"101","97220",6,2,0,0
"102","97221",11,3,0,0
"103","97222",20,9,2,2
"104","97223",45,11,5,5
"105","97224",35,3,1,1
"106","97225",28,10,4,4
"107","97227",2,0,0,0
"108","97229",71,25,5,5
