"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","71603",1,0,0,0
"2","71655",1,0,0,0
"3","71764",1,0,0,0
"4","71921",1,0,0,0
"5","71923",1,0,0,0
"6","72012",2,0,0,0
"7","72023",1,0,0,0
"8","72076",1,0,0,0
"9","72079",1,0,0,0
"10","72081",1,0,0,0
"11","72143",1,0,0,0
"12","72210",1,0,0,0
"13","72211",2,0,0,0
"14","72223",1,0,0,0
"15","72315",1,0,0,0
"16","72335",2,0,0,0
"17","72401",1,0,0,0
"18","72455",1,0,0,0
"19","72472",1,0,0,0
"20","72473",1,0,0,0
"21","72654",1,0,0,0
"22","72753",1,0,0,0
"23","72761",1,0,0,0
"24","72903",1,0,0,0
"25","72921",1,0,0,0
"26","72933",1,0,0,0
"27","72946",2,0,0,0
"28","72956",1,0,0,0
