"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","83201",0,0,0,0
"2","83202",0,0,0,0
"3","83204",2,2,1,1
"4","83211",0,0,0,0
"5","83221",2,2,0,0
"6","83226",0,0,0,0
"7","83254",0,0,0,0
"8","83274",0,0,0,0
"9","83276",0,0,0,0
"10","83301",2,2,0,0
"11","83314",0,0,0,0
"12","83316",1,1,1,0
"13","83318",0,0,0,0
"14","83321",0,0,0,0
"15","83328",0,0,0,0
"16","83330",0,0,0,0
"17","83333",0,0,0,0
"18","83338",1,1,1,0
"19","83340",2,2,1,0
"20","83341",0,0,0,0
"21","83355",0,0,0,0
"22","83401",0,0,0,0
"23","83402",0,0,0,0
"24","83404",2,2,2,2
"25","83406",1,1,0,0
"26","83420",0,0,0,0
"27","83422",1,1,1,1
"28","83440",0,0,0,0
"29","83442",0,0,0,0
"30","83444",0,0,0,0
"31","83446",0,0,0,0
"32","83451",0,0,0,0
"33","83467",0,0,0,0
"34","83501",1,1,0,0
"35","83522",0,0,0,0
"36","83523",0,0,0,0
"37","83530",0,0,0,0
"38","83540",0,0,0,0
"39","83604",0,0,0,0
"40","83605",1,1,0,0
"41","83607",4,4,0,0
"42","83612",0,0,0,0
"43","83616",9,9,5,1
"44","83617",3,3,0,0
"45","83622",0,0,0,0
"46","83626",0,0,0,0
"47","83627",0,0,0,0
"48","83628",1,1,0,0
"49","83629",0,0,0,0
"50","83631",0,0,0,0
"51","83634",1,1,0,0
"52","83638",0,0,0,0
"53","83642",11,11,5,1
"54","83644",0,0,0,0
"55","83646",2,2,1,0
"56","83647",1,1,0,0
"57","83648",0,0,0,0
"58","83651",1,1,1,0
"59","83654",0,0,0,0
"60","83655",0,0,0,0
"61","83656",0,0,0,0
"62","83660",0,0,0,0
"63","83661",0,0,0,0
"64","83669",0,0,0,0
"65","83670",0,0,0,0
"66","83672",2,2,0,0
"67","83676",0,0,0,0
"68","83686",1,1,0,0
"69","83687",1,1,1,1
"70","83702",8,8,5,2
"71","83703",4,4,3,2
"72","83704",13,13,3,1
"73","83705",4,4,0,0
"74","83706",13,13,3,0
"75","83709",8,8,2,1
"76","83712",4,4,3,0
"77","83713",8,8,1,0
"78","83714",3,2,0,0
"79","83716",3,3,2,1
"80","83719",1,1,1,0
"81","83801",0,0,0,0
"82","83803",0,0,0,0
"83","83805",0,0,0,0
"84","83814",2,2,1,1
"85","83815",2,2,1,0
"86","83816",0,0,0,0
"87","83822",0,0,0,0
"88","83823",0,0,0,0
"89","83830",0,0,0,0
"90","83835",1,1,0,0
"91","83841",0,0,0,0
"92","83843",2,2,0,0
"93","83845",0,0,0,0
"94","83847",0,0,0,0
"95","83849",0,0,0,0
"96","83852",0,0,0,0
"97","83854",5,5,3,2
"98","83856",0,0,0,0
"99","83857",0,0,0,0
"100","83858",2,2,1,1
"101","83860",0,0,0,0
"102","83861",0,0,0,0
"103","83864",0,0,0,0
"104","83865",0,0,0,0
