"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","7017",0,0,0,0
"2","7018",0,0,0,0
"3","7029",1,0,0,0
"4","7036",0,0,0,0
"5","7043",1,0,0,0
"6","7047",0,0,0,0
"7","7050",0,0,0,0
"8","7054",0,0,0,0
"9","7055",0,0,0,0
"10","7066",1,0,0,0
"11","7072",1,0,0,0
"12","7079",1,0,0,0
"13","7087",0,0,0,0
"14","7105",0,0,0,0
"15","7112",0,0,0,0
"16","7304",0,0,0,0
"17","7305",0,0,0,0
"18","7307",0,0,0,0
"19","7405",0,0,0,0
"20","7421",0,0,0,0
"21","7436",0,0,0,0
"22","7439",1,0,0,0
"23","7444",0,0,0,0
"24","7450",1,0,0,0
"25","7470",0,0,0,0
"26","7481",0,0,0,0
"27","7603",0,0,0,0
"28","7648",0,0,0,0
"29","7728",0,0,0,0
"30","7746",1,0,0,0
"31","7751",0,0,0,0
"32","7753",0,0,0,0
"33","7825",1,0,0,0
"34","7832",0,0,0,0
"35","7836",0,0,0,0
"36","7840",1,1,1,1
"37","7853",1,0,0,0
"38","7866",1,0,0,0
"39","7871",0,0,0,0
"40","7901",0,0,0,0
"41","7945",0,0,0,0
"42","8028",0,0,0,0
"43","8033",1,0,0,0
"44","8043",1,1,1,0
"45","8046",1,0,0,0
"46","8051",1,0,0,0
"47","8097",1,0,0,0
"48","8108",1,0,0,0
"49","8205",1,0,0,0
"50","8234",1,0,0,0
"51","8251",1,0,0,0
"52","8312",0,0,0,0
"53","8322",0,0,0,0
"54","8332",0,0,0,0
"55","8527",0,0,0,0
"56","8540",1,0,0,0
"57","8550",1,0,0,0
"58","8638",0,0,0,0
"59","8690",1,0,0,0
"60","8721",1,0,0,0
"61","8724",1,0,0,0
"62","8742",1,0,0,0
"63","8753",2,0,0,0
"64","8801",0,0,0,0
"65","8816",0,0,0,0
"66","8817",1,0,0,0
"67","8822",0,0,0,0
"68","8837",0,0,0,0
"69","8840",0,0,0,0
"70","8844",1,1,0,0
"71","8848",0,0,0,0
"72","8855",0,0,0,0
"73","8861",0,0,0,0
"74","8865",0,0,0,0
"75","8886",0,0,0,0
