"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","89002",2,0,0,0
"2","89003",1,0,0,0
"3","89005",2,0,0,0
"4","89011",0,0,0,0
"5","89012",4,0,0,0
"6","89014",2,0,0,0
"7","89015",1,0,0,0
"8","89030",3,0,0,0
"9","89031",5,0,0,0
"10","89032",5,1,0,0
"11","89041",0,0,0,0
"12","89044",0,0,0,0
"13","89048",0,0,0,0
"14","89052",0,0,0,0
"15","89053",0,0,0,0
"16","89061",0,0,0,0
"17","89074",5,1,0,0
"18","89081",0,0,0,0
"19","89085",0,0,0,0
"20","89086",1,0,0,0
"21","89101",0,0,0,0
"22","89102",2,0,0,0
"23","89103",0,0,0,0
"24","89104",0,0,0,0
"25","89106",0,0,0,0
"26","89107",2,0,0,0
"27","89108",2,0,0,0
"28","89110",4,0,0,0
"29","89112",1,0,0,0
"30","89113",1,0,0,0
"31","89115",0,0,0,0
"32","89116",1,0,0,0
"33","89117",10,2,0,0
"34","89119",3,0,0,0
"35","89120",2,1,0,0
"36","89121",3,1,0,0
"37","89122",2,0,0,0
"38","89123",5,0,0,0
"39","89128",1,0,0,0
"40","89129",8,1,0,0
"41","89130",2,0,0,0
"42","89131",3,0,0,0
"43","89134",1,0,0,0
"44","89135",1,0,0,0
"45","89137",1,0,0,0
"46","89138",2,0,0,0
"47","89139",1,0,0,0
"48","89141",1,0,0,0
"49","89142",0,0,0,0
"50","89143",1,0,0,0
"51","89144",2,1,0,0
"52","89145",1,0,0,0
"53","89146",0,0,0,0
"54","89147",6,1,0,0
"55","89148",2,0,0,0
"56","89149",5,3,0,0
"57","89156",0,0,0,0
"58","89157",1,0,0,0
"59","89166",0,0,0,0
"60","89169",1,0,0,0
"61","89178",0,0,0,0
"62","89179",1,0,0,0
"63","89180",0,0,0,0
"64","89191",0,0,0,0
"65","89301",0,0,0,0
"66","89315",0,0,0,0
"67","89403",1,0,0,0
"68","89406",2,1,0,0
"69","89407",0,0,0,0
"70","89408",1,0,0,0
"71","89409",0,0,0,0
"72","89410",0,0,0,0
"73","89419",0,0,0,0
"74","89423",1,1,0,0
"75","89431",2,0,0,0
"76","89432",1,0,0,0
"77","89433",0,0,0,0
"78","89434",2,0,0,0
"79","89435",0,0,0,0
"80","89436",4,1,0,0
"81","89440",0,0,0,0
"82","89441",3,0,0,0
"83","89445",1,0,0,0
"84","89446",0,0,0,0
"85","89447",0,0,0,0
"86","89448",0,0,0,0
"87","89460",3,1,1,1
"88","89502",3,2,1,0
"89","89503",5,0,0,0
"90","89506",6,1,0,0
"91","89508",2,0,0,0
"92","89509",7,3,1,1
"93","89510",0,0,0,0
"94","89511",15,6,3,0
"95","89512",0,0,0,0
"96","89513",0,0,0,0
"97","89515",0,0,0,0
"98","89519",6,1,0,0
"99","89521",4,1,1,1
"100","89523",1,0,0,0
"101","89533",0,0,0,0
"102","89701",6,2,0,0
"103","89703",1,0,0,0
"104","89704",1,0,0,0
"105","89705",0,0,0,0
"106","89706",2,0,0,0
"107","89801",3,1,1,0
"108","89815",1,0,0,0
"109","89820",2,1,1,0
"110","89832",0,0,0,0
"111","89835",1,0,0,0
"112","89883",1,1,0,0
