"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","37015",0,0,0,0
"2","37027",0,0,0,0
"3","37042",0,0,0,0
"4","37064",0,0,0,0
"5","37069",0,0,0,0
"6","37087",0,0,0,0
"7","37129",0,0,0,0
"8","37148",0,0,0,0
"9","37172",0,0,0,0
"10","37179",0,0,0,0
"11","37180",0,0,0,0
"12","37205",0,0,0,0
"13","37207",0,0,0,0
"14","37209",0,0,0,0
"15","37219",0,0,0,0
"16","37323",0,0,0,0
"17","37363",0,0,0,0
"18","37380",0,0,0,0
"19","37402",0,0,0,0
"20","37601",0,0,0,0
"21","37643",1,0,0,0
"22","37659",0,0,0,0
"23","37722",0,0,0,0
"24","37737",0,0,0,0
"25","37743",1,0,0,0
"26","37748",0,0,0,0
"27","37814",0,0,0,0
"28","37865",0,0,0,0
"29","37918",0,0,0,0
"30","37920",0,0,0,0
"31","37921",0,0,0,0
"32","37934",0,0,0,0
"33","38016",0,0,0,0
"34","38018",0,0,0,0
"35","38019",0,0,0,0
"36","38108",0,0,0,0
"37","38109",0,0,0,0
"38","38111",0,0,0,0
"39","38114",0,0,0,0
"40","38117",0,0,0,0
"41","38119",0,0,0,0
"42","38125",0,0,0,0
"43","38127",0,0,0,0
"44","38128",0,0,0,0
"45","38134",0,0,0,0
"46","38301",0,0,0,0
"47","38370",0,0,0,0
"48","38482",0,0,0,0
