"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","",1668,136,25,8
"2","0",1,1,0,0
"3","002 50",1,1,0,0
"4","1",1,1,0,0
"5","10009",1,0,0,0
"6","100097",1,1,0,0
"7","10013",1,1,1,1
"8","1002",1,0,0,0
"9","10021",1,0,0,0
"10","10023",2,0,0,0
"11","10025",2,1,0,0
"12","10029",1,0,0,0
"13","10031",1,0,0,0
"14","10034",1,0,0,0
"15","10035",1,0,0,0
"16","10037",2,0,0,0
"17","10040",1,0,0,0
"18","10120",1,1,1,0
"19","10260",1,0,0,0
"20","10301",1,1,1,0
"21","10303",1,0,0,0
"22","10305",1,1,0,0
"23","10312",1,0,0,0
"24","10314",1,0,0,0
"25","10400",1,1,0,0
"26","1041",1,1,0,0
"27","10453",2,0,0,0
"28","10459",1,0,0,0
"29","10462",1,0,0,0
"30","10463",1,1,1,1
"31","10465",1,0,0,0
"32","10466",1,0,0,0
"33","10469",1,0,0,0
"34","10512",1,0,0,0
"35","10520",1,0,0,0
"36","10549",1,1,0,0
"37","10550",1,0,0,0
"38","10552",2,0,0,0
"39","10562",1,0,0,0
"40","10580",1,1,0,0
"41","106",1,1,0,0
"42","10605",1,0,0,0
"43","10701",2,0,0,0
"44","10705",1,0,0,0
"45","108",1,0,0,0
"46","1085",2,0,0,0
"47","10940",1,0,0,0
"48","10977",1,0,0,0
"49","10989",1,0,0,0
"50","110 016",1,1,0,0
"51","110021",1,1,1,1
"52","1101",1,1,1,1
"53","1105",1,0,0,0
"54","11101",1,0,0,0
"55","11105",1,0,0,0
"56","11120",1,1,1,0
"57","11195",1,1,0,0
"58","11207",1,0,0,0
"59","11208",1,0,0,0
"60","11210",1,0,0,0
"61","11218",1,0,0,0
"62","11219",2,1,0,0
"63","11223",1,0,0,0
"64","11224",1,0,0,0
"65","11225",1,0,0,0
"66","11228",1,0,0,0
"67","11230",1,0,0,0
"68","11231",2,1,0,0
"69","11341",1,1,0,0
"70","11342",2,2,0,0
"71","11361",1,0,0,0
"72","11364",1,0,0,0
"73","11367",1,1,0,0
"74","11368",1,0,0,0
"75","11375",2,0,0,0
"76","11378",1,0,0,0
"77","11385",2,0,0,0
"78","114 22",2,2,0,0
"79","11413",1,0,0,0
"80","11422",3,3,0,0
"81","11429",1,0,0,0
"82","11433",1,0,0,0
"83","115 26",1,1,0,0
"84","115 84",1,1,0,0
"85","11518",1,0,0,0
"86","11520",1,0,0,0
"87","11530",2,0,0,0
"88","11534",5,5,0,0
"89","11570",2,0,0,0
"90","11691",1,0,0,0
"91","11725",1,0,0,0
"92","11727",1,0,0,0
"93","11729",2,0,0,0
"94","11733",3,0,0,0
"95","11746",1,0,0,0
"96","11756",1,0,0,0
"97","11767",1,0,0,0
"98","11772",1,0,0,0
"99","11792",2,0,0,0
"100","11967",1,0,0,0
"101","11978",1,1,0,0
"102","12025",1,0,0,0
"103","12065",1,1,0,0
"104","12077",1,0,0,0
"105","12084",1,0,0,0
"106","12087",1,0,0,0
"107","12092",1,0,0,0
"108","12118",1,0,0,0
"109","12130",1,1,1,0
"110","12140",2,0,0,0
"111","12192",1,1,0,0
"112","12209",1,0,0,0
"113","12303",1,1,0,0
"114","12308",1,0,0,0
"115","12309",1,0,0,0
"116","1243",1,0,0,0
"117","12498",1,0,0,0
"118","12508",1,0,0,0
"119","12522",1,0,0,0
"120","12534",2,1,0,0
"121","12561",1,0,0,0
"122","12566",1,1,0,0
"123","1257",2,2,2,0
"124","12571",2,0,0,0
"125","12590",1,1,0,0
"126","12601",1,0,0,0
"127","12603",1,0,0,0
"128","1267",1,0,0,0
"129","128",1,1,1,0
"130","12839",1,0,0,0
"131","12866",1,1,0,0
"132","12946",1,1,0,0
"133","12983",1,1,0,0
"134","13066",1,0,0,0
"135","13101",2,2,2,0
"136","13104",1,0,0,0
"137","13108",1,0,0,0
"138","13118",1,0,0,0
"139","13126",1,0,0,0
"140","13135",1,0,0,0
"141","13202",1,0,0,0
"142","13212",1,0,0,0
"143","13219",1,0,0,0
"144","13334",1,0,0,0
"145","133765",1,1,0,0
"146","134112",1,0,0,0
"147","13413",1,0,0,0
"148","13421",1,0,0,0
"149","13480",1,0,0,0
"150","13492",2,0,0,0
"151","13501",1,0,0,0
"152","13502",1,0,0,0
"153","1364",1,1,0,0
"154","13760",1,0,0,0
"155","1379",1,0,0,0
"156","13835",1,0,0,0
"157","13850",1,1,1,0
"158","14032",1,0,0,0
"159","14085",1,0,0,0
"160","14086",1,0,0,0
"161","14094",1,0,0,0
"162","14098",1,1,0,0
"163","14221",1,0,0,0
"164","1440",1,0,0,0
"165","14424",1,0,0,0
"166","14425",1,0,0,0
"167","14450",2,0,0,0
"168","14456",1,0,0,0
"169","14464",1,0,0,0
"170","14505",1,0,0,0
"171","14513",1,0,0,0
"172","14559",1,0,0,0
"173","14580",1,0,0,0
"174","1460",2,0,0,0
"175","14609",3,1,0,0
"176","14611",1,0,0,0
"177","14612",2,0,0,0
"178","14617",1,1,0,0
"179","1462",1,0,0,0
"180","14621",1,0,0,0
"181","14624",1,0,0,0
"182","14625",1,1,1,1
"183","14760",1,0,0,0
"184","14870",1,1,1,0
"185","14895",1,0,0,0
"186","150",1,1,0,0
"187","15108",1,0,0,0
"188","15122",1,0,0,0
"189","15129",1,0,0,0
"190","15132",1,0,0,0
"191","152",1,1,0,0
"192","15223",1,0,0,0
"193","15228",1,0,0,0
"194","15237",1,0,0,0
"195","15238",1,1,0,0
"196","15301",1,0,0,0
"197","15317",1,0,0,0
"198","1540",1,0,0,0
"199","1541",1,0,0,0
"200","15438",1,0,0,0
"201","15469",1,0,0,0
"202","155 96",1,1,1,0
"203","15650",1,0,0,0
"204","15666",1,0,0,0
"205","15683",1,1,0,0
"206","1569",1,0,0,0
"207","15834",1,0,0,0
"208","158755",1,0,0,0
"209","158761",1,1,1,0
"210","1590",1,0,0,0
"211","1604",2,2,0,0
"212","16052",1,0,0,0
"213","16055",1,0,0,0
"214","16137",1,1,0,0
"215","16145",1,1,0,0
"216","16148",1,0,0,0
"217","16214",1,0,0,0
"218","1633",1,1,0,0
"219","16662",1,0,0,0
"220","16701",2,0,0,0
"221","16743",1,0,0,0
"222","17007",1,1,0,0
"223","17013",2,1,0,0
"224","17022",1,0,0,0
"225","17044",1,0,0,0
"226","17055",1,0,0,0
"227","17074",1,0,0,0
"228","17236",1,0,0,0
"229","1730",1,0,0,0
"230","17331",1,0,0,0
"231","17340",1,0,0,0
"232","17402",1,0,0,0
"233","17408",1,0,0,0
"234","1742",1,0,0,0
"235","17501",1,0,0,0
"236","17509",1,0,0,0
"237","17543",1,0,0,0
"238","17545",1,0,0,0
"239","1757",1,0,0,0
"240","1760",3,1,0,0
"241","17601",1,1,1,0
"242","17602",1,0,0,0
"243","17701",1,0,0,0
"244","1776",1,1,0,0
"245","17844",1,0,0,0
"246","17889",1,0,0,0
"247","17901",1,0,0,0
"248","17976",1,0,0,0
"249","1801",2,0,0,0
"250","18036",1,0,0,0
"251","18062",2,1,0,0
"252","18069",1,0,0,0
"253","18078",1,0,0,0
"254","18102",1,0,0,0
"255","18103",1,0,0,0
"256","18337",1,0,0,0
"257","18360",1,0,0,0
"258","184",1,0,0,0
"259","18407",1,0,0,0
"260","18410",1,0,0,0
"261","18446",1,0,0,0
"262","1851",1,0,0,0
"263","1864",1,1,0,0
"264","18660",1,0,0,0
"265","18705",1,0,0,0
"266","18706",2,0,0,0
"267","1880",1,0,0,0
"268","1890",1,0,0,0
"269","18901",1,0,0,0
"270","18966",1,0,0,0
"271","18974",1,0,0,0
"272","19001",1,1,0,0
"273","19002",1,0,0,0
"274","19006",1,0,0,0
"275","19008",1,0,0,0
"276","19010",1,1,1,0
"277","19020",1,0,0,0
"278","19023",1,1,0,0
"279","19033",1,0,0,0
"280","19038",1,0,0,0
"281","19040",1,0,0,0
"282","1905",1,0,0,0
"283","19055",1,0,0,0
"284","19056",1,0,0,0
"285","19063",1,0,0,0
"286","1907",1,0,0,0
"287","19073",1,0,0,0
"288","19085",1,0,0,0
"289","19116",1,0,0,0
"290","19118",1,0,0,0
"291","19119",1,0,0,0
"292","19120",1,0,0,0
"293","19124",1,0,0,0
"294","19126",2,0,0,0
"295","19133",1,0,0,0
"296","19136",1,0,0,0
"297","19140",1,0,0,0
"298","19142",1,0,0,0
"299","19143",1,0,0,0
"300","19144",1,0,0,0
"301","19145",1,0,0,0
"302","19148",1,0,0,0
"303","19150",1,0,0,0
"304","19152",2,0,0,0
"305","19335",1,0,0,0
"306","19352",1,0,0,0
"307","19355",1,0,0,0
"308","19363",1,0,0,0
"309","19382",3,1,1,1
