"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","84003",1,0,0,0
"2","84004",1,0,0,0
"3","84005",1,0,0,0
"4","84010",2,1,0,0
"5","84015",2,1,1,1
"6","84017",0,0,0,0
"7","84020",15,4,0,0
"8","84027",0,0,0,0
"9","84032",1,0,0,0
"10","84036",2,1,0,0
"11","84037",3,2,1,0
"12","84040",2,1,1,0
"13","84041",4,0,0,0
"14","84043",2,0,0,0
"15","84044",1,0,0,0
"16","84047",5,1,0,0
"17","84050",2,0,0,0
"18","84055",1,1,0,0
"19","84058",1,0,0,0
"20","84060",4,1,0,0
"21","84062",1,0,0,0
"22","84065",3,0,0,0
"23","84067",2,0,0,0
"24","84068",1,0,0,0
"25","84070",2,0,0,0
"26","84074",4,0,0,0
"27","84075",1,0,0,0
"28","84081",1,1,0,0
"29","84084",5,0,0,0
"30","84088",4,0,0,0
"31","84092",14,5,2,0
"32","84093",10,4,2,2
"33","84094",2,0,0,0
"34","84095",1,0,0,0
"35","84096",2,0,0,0
"36","84098",14,3,1,0
"37","84101",2,0,0,0
"38","84102",2,0,0,0
"39","84103",7,2,0,0
"40","84104",1,1,0,0
"41","84105",4,1,0,0
"42","84106",3,0,0,0
"43","84107",1,1,0,0
"44","84108",9,0,0,0
"45","84109",5,1,0,0
"46","84116",1,0,0,0
"47","84117",5,3,2,0
"48","84118",3,0,0,0
"49","84119",4,1,1,0
"50","84120",3,0,0,0
"51","84121",4,3,0,0
"52","84123",1,1,0,0
"53","84124",10,3,0,0
"54","84128",2,0,0,0
"55","84152",1,0,0,0
"56","84306",0,0,0,0
"57","84309",1,0,0,0
"58","84310",0,0,0,0
"59","84315",0,0,0,0
"60","84317",1,0,0,0
"61","84321",4,0,0,0
"62","84325",1,0,0,0
"63","84337",1,1,0,0
"64","84341",3,2,1,0
"65","84401",5,1,0,0
"66","84402",0,0,0,0
"67","84403",7,3,1,1
"68","84404",3,1,0,0
"69","84405",4,1,1,0
"70","84414",4,0,0,0
"71","84501",1,1,0,0
"72","84601",1,0,0,0
"73","84604",2,0,0,0
"74","84606",0,0,0,0
"75","84624",0,0,0,0
"76","84645",1,0,0,0
"77","84651",1,0,0,0
"78","84655",1,0,0,0
"79","84660",1,1,0,0
"80","84662",0,0,0,0
"81","84664",1,0,0,0
"82","84701",0,0,0,0
"83","84720",2,0,0,0
"84","84721",1,0,0,0
"85","84725",0,0,0,0
"86","84737",1,1,0,0
"87","84745",0,0,0,0
"88","84765",0,0,0,0
"89","84770",2,0,0,0
"90","84790",2,0,0,0
