"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","20124",0,0,0,0
"2","20143",1,1,0,0
"3","20148",0,0,0,0
"4","20151",0,0,0,0
"5","20155",0,0,0,0
"6","20165",1,1,0,0
"7","20168",0,0,0,0
"8","20171",0,0,0,0
"9","20176",0,0,0,0
"10","20186",0,0,0,0
"11","20189",1,1,1,1
"12","20194",0,0,0,0
"13","22003",0,0,0,0
"14","22025",0,0,0,0
"15","22032",1,1,1,0
"16","22039",2,2,2,1
"17","22041",0,0,0,0
"18","22042",2,2,0,0
"19","22060",0,0,0,0
"20","22101",1,1,1,1
"21","22134",0,0,0,0
"22","22151",0,0,0,0
"23","22192",0,0,0,0
"24","22193",0,0,0,0
"25","22306",1,1,1,1
"26","22314",0,0,0,0
"27","22401",0,0,0,0
"28","22551",1,1,1,1
"29","22560",0,0,0,0
"30","22611",0,0,0,0
"31","22801",0,0,0,0
"32","22844",0,0,0,0
"33","22901",0,0,0,0
"34","22903",0,0,0,0
"35","22980",0,0,0,0
"36","23002",0,0,0,0
"37","23063",0,0,0,0
"38","23072",0,0,0,0
"39","23112",0,0,0,0
"40","23120",0,0,0,0
"41","23188",0,0,0,0
"42","23192",0,0,0,0
"43","23231",0,0,0,0
"44","23233",0,0,0,0
"45","23235",0,0,0,0
"46","23238",0,0,0,0
"47","23320",0,0,0,0
"48","23322",0,0,0,0
"49","23323",0,0,0,0
"50","23451",0,0,0,0
"51","23452",0,0,0,0
"52","23459",0,0,0,0
"53","23464",0,0,0,0
"54","23504",0,0,0,0
"55","23602",1,1,0,0
"56","23604",0,0,0,0
"57","23608",0,0,0,0
"58","23662",0,0,0,0
"59","23666",0,0,0,0
"60","23669",0,0,0,0
"61","23693",0,0,0,0
"62","23832",0,0,0,0
"63","23839",0,0,0,0
"64","23851",0,0,0,0
"65","23860",0,0,0,0
"66","23930",0,0,0,0
"67","23938",0,0,0,0
"68","23959",0,0,0,0
"69","24060",0,0,0,0
"70","24091",0,0,0,0
"71","24150",0,0,0,0
"72","24219",0,0,0,0
"73","24244",0,0,0,0
"74","24401",1,1,0,0
"75","24503",1,1,1,1
"76","24540",0,0,0,0
"77","24551",0,0,0,0
"78","24558",0,0,0,0
"79","24586",0,0,0,0
