"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","82001",1,0,0,0
"2","82009",5,3,1,0
"3","82070",2,0,0,0
"4","82072",1,0,0,0
"5","82073",1,0,0,0
"6","82217",1,0,0,0
"7","82225",1,0,0,0
"8","82412",1,0,0,0
"9","82414",4,0,0,0
"10","82435",2,0,0,0
"11","82501",1,0,0,0
"12","82520",3,0,0,0
"13","82601",4,1,0,0
"14","82604",5,0,0,0
"15","82605",1,0,0,0
"16","82609",2,1,0,0
"17","82701",1,1,1,1
"18","82716",1,0,0,0
"19","82718",5,1,0,0
"20","82732",1,1,0,0
"21","82801",6,0,0,0
"22","82833",1,0,0,0
"23","82834",2,1,0,0
"24","82839",1,0,0,0
"25","82901",2,0,0,0
"26","82930",4,0,0,0
"27","82935",1,0,0,0
"28","82939",3,3,0,0
"29","83001",4,1,1,1
"30","83002",4,1,1,1
"31","83012",1,0,0,0
"32","83101",2,1,0,0
"33","83110",1,0,0,0
"34","83113",1,0,0,0
"35","83114",1,0,0,0
"36","83414",1,0,0,0
