"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","85003",1,1,1,0
"2","85004",1,1,0,0
"3","85006",2,2,0,0
"4","85007",0,0,0,0
"5","85008",2,2,0,0
"6","85009",1,1,0,0
"7","85012",0,0,0,0
"8","85013",2,2,0,0
"9","85014",2,2,1,0
"10","85015",1,1,0,0
"11","85016",4,4,1,1
"12","85017",1,1,0,0
"13","85018",7,7,3,0
"14","85020",0,0,0,0
"15","85021",3,3,1,0
"16","85022",5,5,1,0
"17","85023",1,1,0,0
"18","85024",0,0,0,0
"19","85027",2,2,1,0
"20","85028",0,0,0,0
"21","85029",1,1,0,0
"22","85031",2,2,1,0
"23","85032",3,3,1,0
"24","85033",2,2,1,1
"25","85035",1,1,0,0
"26","85037",2,2,0,0
"27","85040",1,1,0,0
"28","85041",0,0,0,0
"29","85042",0,0,0,0
"30","85043",0,0,0,0
"31","85044",1,1,0,0
"32","85045",3,3,3,0
"33","85048",4,4,1,0
"34","85050",1,1,0,0
"35","85051",1,1,0,0
"36","85053",0,0,0,0
"37","85054",0,0,0,0
"38","85063",0,0,0,0
"39","85068",1,1,0,0
"40","85080",0,0,0,0
"41","85083",2,2,2,0
"42","85086",0,0,0,0
"43","85087",0,0,0,0
"44","85118",0,0,0,0
"45","85120",0,0,0,0
"46","85122",1,1,0,0
"47","85128",0,0,0,0
"48","85130",1,1,0,0
"49","85131",0,0,0,0
"50","85138",0,0,0,0
"51","85139",0,0,0,0
"52","85142",0,0,0,0
"53","85143",0,0,0,0
"54","85192",0,0,0,0
"55","85201",0,0,0,0
"56","85202",1,1,1,1
"57","85203",0,0,0,0
"58","85204",0,0,0,0
"59","85205",1,1,1,0
"60","85206",0,0,0,0
"61","85207",1,1,0,0
"62","85208",0,0,0,0
"63","85209",2,2,1,0
"64","85210",0,0,0,0
"65","85212",0,0,0,0
"66","85213",1,1,1,0
"67","85215",1,1,0,0
"68","85216",1,1,1,0
"69","85219",0,0,0,0
"70","85222",0,0,0,0
"71","85223",0,0,0,0
"72","85224",4,4,1,1
"73","85225",0,0,0,0
"74","85226",1,1,0,0
"75","85227",0,0,0,0
"76","85228",0,0,0,0
"77","85231",0,0,0,0
"78","85232",0,0,0,0
"79","85233",0,0,0,0
"80","85234",1,1,1,0
"81","85236",0,0,0,0
"82","85238",0,0,0,0
"83","85240",0,0,0,0
"84","85242",0,0,0,0
"85","85243",0,0,0,0
"86","85247",0,0,0,0
"87","85248",0,0,0,0
"88","85249",1,1,0,0
"89","85250",0,0,0,0
"90","85251",3,3,1,0
"91","85253",6,5,2,1
"92","85254",5,5,1,0
"93","85255",3,3,0,0
"94","85257",0,0,0,0
"95","85258",4,4,3,0
"96","85259",5,5,3,0
"97","85260",3,3,0,0
"98","85262",1,1,1,0
"99","85264",0,0,0,0
"100","85266",2,2,1,0
"101","85268",0,0,0,0
"102","85277",0,0,0,0
"103","85281",1,1,0,0
"104","85282",2,2,0,0
"105","85283",2,2,0,0
"106","85284",0,0,0,0
"107","85286",1,1,0,0
"108","85292",0,0,0,0
"109","85293",0,0,0,0
"110","85295",2,2,0,0
"111","85296",0,0,0,0
"112","85297",1,1,0,0
"113","85298",1,1,0,0
"114","85299",0,0,0,0
"115","85301",2,2,2,0
"116","85302",2,2,2,0
"117","85303",0,0,0,0
"118","85304",1,1,1,0
"119","85305",1,1,0,0
"120","85306",0,0,0,0
"121","85307",0,0,0,0
"122","85308",2,2,2,0
"123","85310",2,2,1,0
"124","85318",0,0,0,0
"125","85323",4,4,0,0
"126","85326",3,3,0,0
"127","85327",0,0,0,0
"128","85328",0,0,0,0
"129","85331",0,0,0,0
"130","85335",0,0,0,0
"131","85338",4,4,1,0
"132","85339",1,1,0,0
"133","85340",5,5,1,0
"134","85344",0,0,0,0
"135","85345",1,1,0,0
"136","85349",1,1,0,0
"137","85350",0,0,0,0
"138","85353",0,0,0,0
"139","85354",1,1,0,0
"140","85355",1,1,0,0
"141","85364",3,3,1,0
"142","85365",1,1,0,0
"143","85366",0,0,0,0
"144","85367",0,0,0,0
"145","85372",0,0,0,0
"146","85373",0,0,0,0
"147","85374",2,2,1,1
"148","85377",0,0,0,0
"149","85379",0,0,0,0
"150","85381",0,0,0,0
"151","85382",1,1,1,0
"152","85383",3,3,2,0
"153","85388",1,1,0,0
"154","85390",1,1,0,0
"155","85392",0,0,0,0
"156","85395",2,2,1,0
"157","85396",1,1,0,0
"158","85501",1,1,1,1
"159","85534",0,0,0,0
"160","85540",0,0,0,0
"161","85541",0,0,0,0
"162","85542",0,0,0,0
"163","85543",0,0,0,0
"164","85546",0,0,0,0
"165","85550",0,0,0,0
"166","85602",0,0,0,0
"167","85603",0,0,0,0
"168","85607",0,0,0,0
"169","85608",0,0,0,0
"170","85614",2,2,0,0
"171","85615",1,1,1,0
"172","85618",0,0,0,0
"173","85621",1,1,0,0
"174","85624",1,1,0,0
"175","85626",0,0,0,0
"176","85629",0,0,0,0
"177","85631",0,0,0,0
"178","85634",0,0,0,0
"179","85635",0,0,0,0
"180","85637",0,0,0,0
"181","85641",0,0,0,0
"182","85645",0,0,0,0
"183","85648",2,2,0,0
"184","85650",1,1,0,0
"185","85653",0,0,0,0
"186","85658",1,1,0,0
"187","85701",0,0,0,0
"188","85702",0,0,0,0
"189","85704",0,0,0,0
"190","85705",0,0,0,0
"191","85706",2,2,0,0
"192","85708",0,0,0,0
"193","85710",5,5,2,0
"194","85711",1,1,0,0
"195","85712",2,2,0,0
"196","85713",0,0,0,0
"197","85715",3,3,0,0
"198","85716",0,0,0,0
"199","85718",6,6,2,0
"200","85719",0,0,0,0
"201","85721",0,0,0,0
"202","85730",0,0,0,0
"203","85735",0,0,0,0
"204","85737",4,4,2,1
"205","85739",0,0,0,0
"206","85740",0,0,0,0
"207","85741",1,1,1,0
"208","85742",4,4,3,1
"209","85743",1,1,0,0
"210","85745",3,3,1,0
"211","85746",1,1,0,0
"212","85747",0,0,0,0
"213","85748",1,1,0,0
"214","85749",1,1,0,0
"215","85750",5,5,0,0
"216","85752",0,0,0,0
"217","85754",1,1,0,0
"218","85755",1,1,0,0
"219","85756",0,0,0,0
"220","85757",1,1,0,0
"221","85901",0,0,0,0
"222","85902",0,0,0,0
"223","85929",0,0,0,0
"224","85935",0,0,0,0
"225","85937",1,1,0,0
"226","85938",1,1,0,0
"227","85941",0,0,0,0
"228","86001",1,1,0,0
"229","86003",0,0,0,0
"230","86004",3,3,0,0
"231","86025",0,0,0,0
"232","86033",0,0,0,0
"233","86040",0,0,0,0
"234","86042",0,0,0,0
"235","86045",0,0,0,0
"236","86046",0,0,0,0
"237","86047",0,0,0,0
"238","86301",1,1,0,0
"239","86302",1,1,1,1
"240","86303",0,0,0,0
"241","86305",0,0,0,0
"242","86314",0,0,0,0
