"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","96701",37,21,3,1
"2","96703",0,0,0,0
"3","96704",3,0,0,0
"4","96705",1,0,0,0
"5","96706",55,19,8,2
"6","96707",19,8,0,0
"7","96708",5,1,0,0
"8","96709",1,1,1,0
"9","96710",0,0,0,0
"10","96712",3,1,0,0
"11","96713",0,0,0,0
"12","96714",3,2,2,0
"13","96715",1,0,0,0
"14","96716",2,2,0,0
"15","96717",1,0,0,0
"16","96720",40,18,7,3
"17","96721",4,0,0,0
"18","96722",1,1,0,0
"19","96725",1,0,0,0
"20","96726",0,0,0,0
"21","96727",7,0,0,0
"22","96728",0,0,0,0
"23","96729",1,0,0,0
"24","96730",0,0,0,0
"25","96731",1,0,0,0
"26","96732",17,2,0,0
"27","96733",3,0,0,0
"28","96734",43,17,3,1
"29","96737",0,0,0,0
"30","96738",7,2,0,0
"31","96739",0,0,0,0
"32","96740",15,4,0,0
"33","96741",3,1,0,0
"34","96743",12,5,1,0
"35","96744",43,15,4,2
"36","96745",4,0,0,0
"37","96746",9,2,0,0
"38","96747",1,0,0,0
"39","96748",3,0,0,0
"40","96749",6,0,0,0
"41","96750",2,1,0,0
"42","96752",2,0,0,0
"43","96753",17,5,1,0
"44","96754",0,0,0,0
"45","96755",2,1,0,0
"46","96756",1,0,0,0
"47","96760",0,0,0,0
"48","96761",10,4,1,1
"49","96762",2,0,0,0
"50","96763",1,0,0,0
"51","96764",1,0,0,0
"52","96765",0,0,0,0
"53","96766",12,2,1,0
"54","96767",0,0,0,0
"55","96768",17,7,2,1
"56","96769",0,0,0,0
"57","96771",2,1,0,0
"58","96772",1,0,0,0
"59","96777",1,1,0,0
"60","96778",5,1,0,0
"61","96779",0,0,0,0
"62","96781",0,0,0,0
"63","96782",28,7,3,1
"64","96783",0,0,0,0
"65","96784",0,0,0,0
"66","96785",1,1,0,0
"67","96786",11,4,0,0
"68","96788",1,0,0,0
"69","96789",56,22,8,2
"70","96790",7,3,0,0
"71","96791",4,1,0,0
"72","96792",22,7,1,0
"73","96793",22,5,2,0
"74","96795",7,4,2,1
"75","96796",3,2,0,0
"76","96797",56,25,3,1
"77","96801",0,0,0,0
"78","96802",1,0,0,0
"79","96810",1,1,0,0
"80","96813",16,2,0,0
"81","96814",6,3,0,0
"82","96815",6,2,0,0
"83","96816",50,26,7,5
"84","96817",28,10,2,1
"85","96818",26,10,3,1
"86","96819",36,16,4,2
"87","96821",26,11,3,1
"88","96822",40,23,7,2
"89","96823",0,0,0,0
"90","96824",1,1,0,0
"91","96825",46,22,6,1
"92","96826",20,3,1,1
"93","96828",1,1,1,0
"94","96839",0,0,0,0
