"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","83201",2,1,1,0
"2","83202",0,0,0,0
"3","83203",0,0,0,0
"4","83204",2,1,1,0
"5","83209",1,1,0,0
"6","83211",0,0,0,0
"7","83221",0,0,0,0
"8","83246",0,0,0,0
"9","83252",1,0,0,0
"10","83263",1,0,0,0
"11","83274",1,0,0,0
"12","83276",0,0,0,0
"13","83278",1,1,0,0
"14","83287",0,0,0,0
"15","83301",2,1,1,0
"16","83303",0,0,0,0
"17","83313",0,0,0,0
"18","83316",1,0,0,0
"19","83318",0,0,0,0
"20","83320",0,0,0,0
"21","83321",0,0,0,0
"22","83327",0,0,0,0
"23","83328",0,0,0,0
"24","83333",0,0,0,0
"25","83334",0,0,0,0
"26","83335",1,1,0,0
"27","83338",1,0,0,0
"28","83340",1,1,1,0
"29","83341",0,0,0,0
"30","83347",0,0,0,0
"31","83350",0,0,0,0
"32","83352",0,0,0,0
"33","83353",1,1,0,0
"34","83355",0,0,0,0
"35","83401",1,0,0,0
"36","83402",0,0,0,0
"37","83404",2,2,2,0
"38","83406",1,1,1,0
"39","83422",0,0,0,0
"40","83429",0,0,0,0
"41","83431",0,0,0,0
"42","83440",0,0,0,0
"43","83442",0,0,0,0
"44","83443",0,0,0,0
"45","83445",0,0,0,0
"46","83455",1,1,0,0
"47","83467",0,0,0,0
"48","83468",0,0,0,0
"49","83501",1,1,0,0
"50","83522",0,0,0,0
"51","83530",1,0,0,0
"52","83536",0,0,0,0
"53","83540",1,0,0,0
"54","83541",0,0,0,0
"55","83549",0,0,0,0
"56","83604",0,0,0,0
"57","83605",0,0,0,0
"58","83606",0,0,0,0
"59","83607",4,4,0,0
"60","83612",0,0,0,0
"61","83616",6,4,3,0
"62","83617",0,0,0,0
"63","83619",0,0,0,0
"64","83622",0,0,0,0
"65","83624",0,0,0,0
"66","83626",0,0,0,0
"67","83627",0,0,0,0
"68","83628",0,0,0,0
"69","83629",0,0,0,0
"70","83634",1,1,0,0
"71","83638",0,0,0,0
"72","83641",0,0,0,0
"73","83642",1,0,0,0
"74","83644",1,0,0,0
"75","83646",5,2,1,0
"76","83647",2,2,1,0
"77","83651",0,0,0,0
"78","83655",0,0,0,0
"79","83660",0,0,0,0
"80","83661",1,1,1,0
"81","83669",0,0,0,0
"82","83672",1,0,0,0
"83","83676",1,1,1,1
"84","83686",4,3,1,1
"85","83687",0,0,0,0
"86","83702",8,7,2,0
"87","83703",2,2,0,0
"88","83704",3,3,3,1
"89","83705",3,3,2,0
"90","83706",7,6,1,1
"91","83707",0,0,0,0
"92","83709",9,4,1,1
"93","83712",4,4,3,0
"94","83713",6,4,4,1
"95","83714",2,0,0,0
"96","83716",1,1,0,0
"97","83717",0,0,0,0
"98","83801",0,0,0,0
"99","83804",0,0,0,0
"100","83805",0,0,0,0
"101","83809",2,2,0,0
"102","83810",1,1,0,0
"103","83814",1,1,1,0
"104","83815",3,1,1,1
"105","83816",1,1,0,0
"106","83823",0,0,0,0
"107","83832",0,0,0,0
"108","83833",0,0,0,0
"109","83835",0,0,0,0
"110","83839",0,0,0,0
"111","83841",0,0,0,0
"112","83843",1,1,0,0
"113","83847",1,1,0,0
"114","83854",3,3,0,0
"115","83855",0,0,0,0
"116","83856",0,0,0,0
"117","83858",1,1,0,0
"118","83860",0,0,0,0
"119","83861",0,0,0,0
"120","83864",1,0,0,0
"121","83865",0,0,0,0
"122","83867",0,0,0,0
"123","83869",1,0,0,0
"124","83876",0,0,0,0
