"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","70001",2,0,0,0
"2","70003",2,0,0,0
"3","70056",1,1,0,0
"4","70058",1,0,0,0
"5","70068",1,0,0,0
"6","70070",1,0,0,0
"7","70090",1,0,0,0
"8","70115",1,0,0,0
"9","70124",1,1,0,0
"10","70125",1,0,0,0
"11","70131",1,1,0,0
"12","70360",1,0,0,0
"13","70363",1,0,0,0
"14","70427",3,0,0,0
"15","70433",1,1,0,0
"16","70448",1,0,0,0
"17","70458",2,1,0,0
"18","70460",1,0,0,0
"19","70461",1,1,0,0
"20","70501",1,0,0,0
"21","70506",1,1,0,0
"22","70507",1,0,0,0
"23","70508",1,0,0,0
"24","70517",2,0,0,0
"25","70526",1,0,0,0
"26","70538",1,0,0,0
"27","70552",1,0,0,0
"28","70560",2,0,0,0
"29","70563",1,0,0,0
"30","70605",2,1,0,0
"31","70647",1,0,0,0
"32","70710",1,0,0,0
"33","70726",2,0,0,0
"34","70754",1,0,0,0
"35","70764",2,1,0,0
"36","70770",1,0,0,0
"37","70788",4,1,0,0
"38","70791",1,0,0,0
"39","70805",2,0,0,0
"40","70807",1,0,0,0
"41","70809",1,0,0,0
"42","70811",1,0,0,0
"43","70817",2,0,0,0
"44","71047",1,0,0,0
"45","71073",1,0,0,0
"46","71105",1,0,0,0
"47","71106",3,1,0,0
"48","71202",1,0,0,0
"49","71203",2,0,0,0
"50","71220",1,0,0,0
"51","71232",1,0,0,0
"52","71263",1,0,0,0
"53","71270",1,0,0,0
"54","71291",1,0,0,0
"55","71292",1,0,0,0
"56","71295",1,1,0,0
"57","71301",1,0,0,0
"58","71483",1,0,0,0
