"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","20607",1,0,0,0
"2","20619",1,0,0,0
"3","20639",1,0,0,0
"4","20646",1,1,0,0
"5","20650",1,0,0,0
"6","20653",1,0,0,0
"7","20695",1,0,0,0
"8","20705",1,0,0,0
"9","20706",1,0,0,0
"10","20709",1,0,0,0
"11","20710",1,0,0,0
"12","20711",1,0,0,0
"13","20715",2,1,0,0
"14","20720",1,0,0,0
"15","20721",2,0,0,0
"16","20732",2,0,0,0
"17","20737",1,0,0,0
"18","20744",1,0,0,0
"19","20751",1,0,0,0
"20","20769",2,1,0,0
"21","20772",1,0,0,0
"22","20774",2,0,0,0
"23","20814",1,0,0,0
"24","20815",1,0,0,0
"25","20816",1,1,0,0
"26","20817",3,2,1,0
"27","20832",2,0,0,0
"28","20841",1,0,0,0
"29","20850",1,0,0,0
"30","20852",2,0,0,0
"31","20853",1,0,0,0
"32","20854",2,1,0,0
"33","20861",1,0,0,0
"34","20866",1,0,0,0
"35","20876",2,0,0,0
"36","20877",1,0,0,0
"37","20878",3,1,0,0
"38","20886",1,0,0,0
"39","20901",2,0,0,0
"40","20903",1,1,0,0
"41","20904",2,1,0,0
"42","20905",1,0,0,0
"43","20906",1,0,0,0
"44","21009",2,1,1,0
"45","21014",2,2,0,0
"46","21030",1,0,0,0
"47","21037",1,0,0,0
"48","21040",1,0,0,0
"49","21042",2,0,0,0
"50","21043",1,0,0,0
"51","21045",3,0,0,0
"52","21050",1,0,0,0
"53","21061",1,0,0,0
"54","21074",1,0,0,0
"55","21084",1,0,0,0
"56","21093",1,1,0,0
"57","21104",1,0,0,0
"58","21108",1,0,0,0
"59","21113",1,0,0,0
"60","21114",1,0,0,0
"61","21117",1,0,0,0
"62","21122",1,0,0,0
"63","21133",1,0,0,0
"64","21146",1,0,0,0
"65","21153",1,0,0,0
"66","21157",3,0,0,0
"67","21163",1,0,0,0
"68","21206",1,0,0,0
"69","21207",1,0,0,0
"70","21223",2,0,0,0
"71","21239",1,0,0,0
"72","21244",1,0,0,0
"73","21286",1,0,0,0
"74","21401",2,1,0,0
"75","21403",1,0,0,0
"76","21550",1,0,0,0
"77","21613",1,0,0,0
"78","21620",1,0,0,0
"79","21701",1,0,0,0
"80","21702",2,0,0,0
"81","21703",1,0,0,0
"82","21740",1,0,0,0
"83","21742",1,0,0,0
"84","21758",1,0,0,0
"85","21771",1,0,0,0
"86","21784",1,0,0,0
"87","21795",1,0,0,0
"88","21822",1,0,0,0
"89","21917",1,0,0,0
"90","21921",3,1,0,0
