"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","43001",0,0,0,0
"2","43004",2,1,0,0
"3","43015",1,0,0,0
"4","43016",1,0,0,0
"5","43029",1,1,0,0
"6","43031",0,0,0,0
"7","43054",3,1,0,0
"8","43056",2,0,0,0
"9","43061",0,0,0,0
"10","43062",0,0,0,0
"11","43068",1,0,0,0
"12","43071",1,0,0,0
"13","43074",1,0,0,0
"14","43078",1,0,0,0
"15","43081",3,0,0,0
"16","43082",1,0,0,0
"17","43103",0,0,0,0
"18","43105",0,0,0,0
"19","43106",1,0,0,0
"20","43110",1,0,0,0
"21","43113",0,0,0,0
"22","43123",2,0,0,0
"23","43130",0,0,0,0
"24","43138",1,0,0,0
"25","43140",2,1,0,0
"26","43146",1,0,0,0
"27","43147",1,0,0,0
"28","43204",0,0,0,0
"29","43206",3,0,0,0
"30","43207",1,0,0,0
"31","43209",1,0,0,0
"32","43213",0,0,0,0
"33","43220",1,0,0,0
"34","43222",0,0,0,0
"35","43224",1,0,0,0
"36","43229",0,0,0,0
"37","43230",1,0,0,0
"38","43232",1,0,0,0
"39","43235",1,0,0,0
"40","43311",1,0,0,0
"41","43331",1,0,0,0
"42","43342",1,0,0,0
"43","43402",2,0,0,0
"44","43416",1,0,0,0
"45","43447",1,0,0,0
"46","43452",1,0,0,0
"47","43457",1,0,0,0
"48","43465",1,0,0,0
"49","43469",0,0,0,0
"50","43512",1,0,0,0
"51","43525",1,0,0,0
"52","43528",2,0,0,0
"53","43545",0,0,0,0
"54","43551",1,0,0,0
"55","43560",1,0,0,0
"56","43567",1,0,0,0
"57","43614",1,1,0,0
"58","43615",0,0,0,0
"59","43617",2,0,0,0
"60","43623",0,0,0,0
"61","43701",3,0,0,0
"62","43713",2,2,1,0
"63","43762",0,0,0,0
"64","43764",1,1,0,0
"65","43778",0,0,0,0
"66","43832",1,0,0,0
"67","43845",1,0,0,0
"68","43906",1,0,0,0
"69","43912",1,0,0,0
"70","43917",0,0,0,0
"71","43920",0,0,0,0
"72","43935",1,0,0,0
"73","43953",0,0,0,0
"74","43974",0,0,0,0
"75","43977",0,0,0,0
"76","43981",1,0,0,0
"77","44001",0,0,0,0
"78","44004",1,0,0,0
"79","44011",1,0,0,0
"80","44012",2,1,0,0
"81","44017",1,1,0,0
"82","44022",1,0,0,0
"83","44024",1,0,0,0
"84","44028",1,0,0,0
"85","44039",2,0,0,0
"86","44041",1,0,0,0
"87","44052",0,0,0,0
"88","44055",1,0,0,0
"89","44057",0,0,0,0
"90","44065",1,0,0,0
"91","44067",1,0,0,0
"92","44070",0,0,0,0
"93","44074",1,0,0,0
"94","44077",2,0,0,0
"95","44081",1,0,0,0
"96","44087",0,0,0,0
"97","44089",1,0,0,0
"98","44090",1,0,0,0
"99","44092",1,0,0,0
"100","44095",1,0,0,0
"101","44103",0,0,0,0
"102","44105",1,1,1,0
"103","44107",2,0,0,0
"104","44108",1,0,0,0
"105","44109",3,0,0,0
"106","44112",1,0,0,0
"107","44116",1,0,0,0
"108","44118",2,0,0,0
"109","44119",1,0,0,0
"110","44120",0,0,0,0
"111","44121",1,0,0,0
"112","44124",1,0,0,0
"113","44125",1,0,0,0
"114","44126",0,0,0,0
"115","44130",0,0,0,0
"116","44134",1,0,0,0
"117","44135",1,0,0,0
"118","44136",0,0,0,0
"119","44138",1,0,0,0
"120","44139",0,0,0,0
"121","44140",1,0,0,0
"122","44143",1,0,0,0
"123","44145",1,1,0,0
"124","44146",0,0,0,0
"125","44147",0,0,0,0
"126","44149",0,0,0,0
"127","44202",1,1,0,0
"128","44203",1,0,0,0
"129","44212",1,1,0,0
"130","44216",1,0,0,0
"131","44221",0,0,0,0
"132","44223",0,0,0,0
"133","44224",1,0,0,0
"134","44240",1,0,0,0
"135","44241",0,0,0,0
"136","44253",1,0,0,0
"137","44256",3,0,0,0
"138","44260",1,0,0,0
"139","44262",1,0,0,0
"140","44266",3,0,0,0
"141","44272",1,0,0,0
"142","44278",1,0,0,0
"143","44301",1,0,0,0
"144","44306",1,0,0,0
"145","44310",0,0,0,0
"146","44311",0,0,0,0
"147","44313",0,0,0,0
"148","44314",2,0,0,0
"149","44333",1,0,0,0
"150","44406",0,0,0,0
"151","44408",1,1,0,0
"152","44430",1,0,0,0
"153","44436",1,0,0,0
"154","44444",0,0,0,0
"155","44446",0,0,0,0
"156","44471",0,0,0,0
"157","44502",1,0,0,0
"158","44514",1,0,0,0
"159","44601",1,0,0,0
"160","44641",1,0,0,0
"161","44646",2,1,0,0
"162","44657",0,0,0,0
"163","44667",0,0,0,0
"164","44677",0,0,0,0
"165","44685",0,0,0,0
"166","44704",1,1,0,0
"167","44708",1,0,0,0
"168","44710",1,0,0,0
"169","44718",1,1,0,0
"170","44720",2,0,0,0
"171","44805",1,0,0,0
"172","44836",0,0,0,0
"173","44839",0,0,0,0
"174","44870",2,0,0,0
"175","44882",1,0,0,0
"176","44883",0,0,0,0
"177","44903",0,0,0,0
"178","44904",0,0,0,0
"179","45002",1,0,0,0
"180","45005",1,0,0,0
"181","45011",1,0,0,0
"182","45013",1,0,0,0
"183","45030",2,0,0,0
"184","45039",1,0,0,0
"185","45040",0,0,0,0
"186","45042",1,0,0,0
"187","45050",0,0,0,0
"188","45056",0,0,0,0
"189","45068",1,0,0,0
"190","45069",1,0,0,0
"191","45103",1,0,0,0
"192","45133",1,1,0,0
"193","45150",1,0,0,0
"194","45152",1,0,0,0
"195","45154",1,0,0,0
"196","45159",1,0,0,0
