"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","15010",1,0,0,0
"2","15012",1,0,0,0
"3","15017",1,0,0,0
"4","15024",1,0,0,0
"5","15061",1,0,0,0
"6","15062",1,0,0,0
"7","15068",1,0,0,0
"8","15085",1,0,0,0
"9","15101",2,0,0,0
"10","15102",1,0,0,0
"11","15116",1,0,0,0
"12","15122",1,0,0,0
"13","15129",1,0,0,0
"14","15136",3,0,0,0
"15","15209",1,0,0,0
"16","15217",1,0,0,0
"17","15228",1,0,0,0
"18","15229",1,0,0,0
"19","15234",1,0,0,0
"20","15235",1,1,0,0
"21","15243",1,0,0,0
"22","15312",1,0,0,0
"23","15332",1,0,0,0
"24","15423",1,0,0,0
"25","15425",1,0,0,0
"26","15445",1,0,0,0
"27","15535",1,0,0,0
"28","15601",1,0,0,0
"29","15632",1,0,0,0
"30","15650",1,0,0,0
"31","15666",1,0,0,0
"32","15722",1,0,0,0
"33","15725",1,0,0,0
"34","15748",1,0,0,0
"35","15931",1,0,0,0
"36","15956",1,0,0,0
"37","15963",1,1,1,1
"38","16001",2,1,1,0
"39","16051",1,0,0,0
"40","16137",1,0,0,0
"41","16148",1,0,0,0
"42","16248",1,0,0,0
"43","16260",1,0,0,0
"44","16601",1,0,0,0
"45","16625",1,0,0,0
"46","16686",1,1,0,0
"47","16802",2,0,0,0
"48","16827",2,1,1,0
"49","16851",1,0,0,0
"50","16870",1,0,0,0
"51","16933",1,0,0,0
"52","16947",1,0,0,0
"53","17007",1,0,0,0
"54","17013",1,0,0,0
"55","17019",1,0,0,0
"56","17055",1,0,0,0
"57","17078",1,0,0,0
"58","17086",1,0,0,0
"59","17225",1,0,0,0
"60","17320",1,0,0,0
"61","17325",1,0,0,0
"62","17339",1,0,0,0
"63","17361",1,0,0,0
"64","17362",1,0,0,0
"65","17403",2,0,0,0
"66","17408",1,0,0,0
"67","17545",2,0,0,0
"68","17551",1,0,0,0
"69","17581",1,0,0,0
"70","17603",3,2,0,0
"71","17701",1,1,0,0
"72","17837",1,1,1,0
"73","17844",1,0,0,0
"74","17847",1,0,0,0
"75","18017",1,0,0,0
"76","18018",2,0,0,0
"77","18051",1,0,0,0
"78","18104",1,0,0,0
"79","18106",1,0,0,0
"80","18235",1,0,0,0
"81","18302",1,0,0,0
"82","18322",1,0,0,0
"83","18360",2,0,0,0
"84","18407",2,0,0,0
"85","18428",1,0,0,0
"86","18436",1,0,0,0
"87","18466",1,0,0,0
"88","18510",1,0,0,0
"89","18618",1,0,0,0
"90","18634",1,0,0,0
"91","18643",1,0,0,0
"92","18702",1,0,0,0
"93","18704",2,0,0,0
"94","18708",1,0,0,0
"95","18822",1,0,0,0
"96","18901",2,0,0,0
"97","18944",1,0,0,0
"98","18951",1,0,0,0
"99","18966",1,0,0,0
"100","19003",1,1,0,0
"101","19020",1,0,0,0
"102","19044",1,0,0,0
"103","19050",1,0,0,0
"104","19067",2,0,0,0
"105","19074",1,0,0,0
"106","19083",1,0,0,0
"107","19087",3,1,0,0
"108","19115",1,0,0,0
"109","19116",1,0,0,0
"110","19120",1,0,0,0
"111","19121",2,0,0,0
"112","19122",1,0,0,0
"113","19127",1,0,0,0
"114","19132",1,0,0,0
"115","19138",1,0,0,0
"116","19143",1,0,0,0
"117","19144",1,0,0,0
"118","19146",1,0,0,0
"119","19148",1,0,0,0
"120","19149",1,0,0,0
"121","19312",2,0,0,0
"122","19320",1,0,0,0
"123","19341",1,1,1,0
"124","19343",1,0,0,0
"125","19373",1,0,0,0
"126","19380",2,0,0,0
"127","19382",2,0,0,0
"128","19390",1,0,0,0
"129","19403",1,0,0,0
"130","19425",1,0,0,0
"131","19426",1,0,0,0
"132","19440",1,0,0,0
"133","19460",1,1,0,0
"134","19465",1,0,0,0
"135","19510",1,0,0,0
"136","19602",1,0,0,0
"137","19611",1,0,0,0
