"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","29003",0,0,0,0
"2","29036",0,0,0,0
"3","29042",0,0,0,0
"4","29058",0,0,0,0
"5","29148",0,0,0,0
"6","29150",0,0,0,0
"7","29161",0,0,0,0
"8","29205",0,0,0,0
"9","29206",0,0,0,0
"10","29209",0,0,0,0
"11","29210",0,0,0,0
"12","29212",0,0,0,0
"13","29223",0,0,0,0
"14","29229",0,0,0,0
"15","29301",0,0,0,0
"16","29307",2,2,1,0
"17","29340",0,0,0,0
"18","29349",0,0,0,0
"19","29420",0,0,0,0
"20","29445",0,0,0,0
"21","29461",0,0,0,0
"22","29466",0,0,0,0
"23","29483",0,0,0,0
"24","29492",0,0,0,0
"25","29550",0,0,0,0
"26","29572",0,0,0,0
"27","29574",0,0,0,0
"28","29577",0,0,0,0
"29","29581",0,0,0,0
"30","29624",0,0,0,0
"31","29625",0,0,0,0
"32","29649",0,0,0,0
"33","29657",0,0,0,0
"34","29679",0,0,0,0
"35","29681",0,0,0,0
"36","29693",0,0,0,0
"37","29720",0,0,0,0
"38","29732",0,0,0,0
"39","29907",0,0,0,0
