LAT,LON
0.538824609794151E+02,-0.166544474086277E+03
0.538829857255507E+02,-0.166542186044574E+03
0.538846658506150E+02,-0.166534860223664E+03
0.538863898816527E+02,-0.166527342960279E+03
0.538954480000000E+02,-0.166487847000000E+03
0.538954605359167E+02,-0.166487808241288E+03
0.538966300670519E+02,-0.166484192269542E+03
0.538966300670519E+02,-0.166484192269542E+03
0.538926230000000E+02,-0.166490142000000E+03
0.538889010000000E+02,-0.166498530000000E+03
0.538865020000000E+02,-0.166502453000000E+03
0.538815290000000E+02,-0.166508137000000E+03
0.538764240000000E+02,-0.166518483000000E+03
0.538756540000000E+02,-0.166526621000000E+03
0.538739450000000E+02,-0.166527575000000E+03
0.538720660000000E+02,-0.166521681000000E+03
0.538705700000000E+02,-0.166515587000000E+03
0.538715360000000E+02,-0.166515050000000E+03
0.538711800000000E+02,-0.166512035000000E+03
0.538706020000000E+02,-0.166511131000000E+03
0.538686450000000E+02,-0.166510476000000E+03
0.538658170000000E+02,-0.166507845000000E+03
0.538618890000000E+02,-0.166507398000000E+03
0.538573880000000E+02,-0.166496942000000E+03
0.538516720000000E+02,-0.166498277000000E+03
0.538505710000000E+02,-0.166500242000000E+03
0.538500610000000E+02,-0.166502058000000E+03
0.538533060000000E+02,-0.166501990000000E+03
0.538562370000000E+02,-0.166503181000000E+03
0.538577050000000E+02,-0.166504450000000E+03
0.538603930000000E+02,-0.166509518000000E+03
0.538616120000000E+02,-0.166508998000000E+03
0.538647460000000E+02,-0.166517763000000E+03
0.538638690000000E+02,-0.166521272000000E+03
0.538638380000000E+02,-0.166524445000000E+03
0.538647380000000E+02,-0.166526293000000E+03
0.538664690000000E+02,-0.166525636000000E+03
0.538704140000000E+02,-0.166527446000000E+03
0.538719020000000E+02,-0.166531686000000E+03
0.538714700000000E+02,-0.166531993000000E+03
0.538704980000000E+02,-0.166535584000000E+03
0.538706940000000E+02,-0.166538066000000E+03
0.538717560000000E+02,-0.166541209000000E+03
0.538824609794151E+02,-0.166544474086277E+03
END,END
