LAT,LON
0.341987110000000E+02,-0.868127590000000E+02
0.341972810000000E+02,-0.868125280000000E+02
0.341944870000000E+02,-0.868108460000000E+02
0.341883010000000E+02,-0.868050300000000E+02
0.341872240000000E+02,-0.868024940000000E+02
0.341899950000000E+02,-0.868004260000000E+02
0.341894230000000E+02,-0.868021350000000E+02
0.341899280000000E+02,-0.868034030000000E+02
0.341918470000000E+02,-0.868037410000000E+02
0.341952640000000E+02,-0.868029620000000E+02
0.341965010000000E+02,-0.868021070000000E+02
0.341975540000000E+02,-0.867975580000000E+02
0.341976690000000E+02,-0.868001770000000E+02
0.341970050000000E+02,-0.868029060000000E+02
0.341961800000000E+02,-0.868036190000000E+02
0.341961800000000E+02,-0.868036190000000E+02
0.341978480000000E+02,-0.868032260000000E+02
0.341975620000000E+02,-0.867949600000000E+02
0.341972750000000E+02,-0.867919530000000E+02
0.341946420000000E+02,-0.867817620000000E+02
0.341845710000000E+02,-0.867818560000000E+02
0.341832790000000E+02,-0.867805530000000E+02
0.341712340000000E+02,-0.866882120000000E+02
0.341713710000000E+02,-0.866859520000000E+02
0.341732040000000E+02,-0.866811560000000E+02
0.341760220000000E+02,-0.866812660000000E+02
0.341782430000000E+02,-0.866752580000000E+02
0.341787680000000E+02,-0.866686980000000E+02
0.341784240000000E+02,-0.866672100000000E+02
0.341748740000000E+02,-0.866653080000000E+02
0.341746320000000E+02,-0.866496480000000E+02
0.341788990000000E+02,-0.866441670000000E+02
0.341818540000000E+02,-0.866417950000000E+02
0.341818540000000E+02,-0.866417950000000E+02
0.341817970000000E+02,-0.866372460000000E+02
0.341794690000000E+02,-0.866368890000000E+02
0.341749310000000E+02,-0.866312700000000E+02
0.341744490000000E+02,-0.866288720000000E+02
0.341743130000000E+02,-0.866187430000000E+02
0.341743140000000E+02,-0.866167590000000E+02
0.341748400000000E+02,-0.866176410000000E+02
0.341748180000000E+02,-0.866165660000000E+02
0.341715200000000E+02,-0.866160680000000E+02
0.341514980000000E+02,-0.866163300000000E+02
0.341453580000000E+02,-0.866178140000000E+02
0.341421510000000E+02,-0.866197410000000E+02
0.341386670000000E+02,-0.866233750000000E+02
0.341352990000000E+02,-0.866253510000000E+02
0.341293430000000E+02,-0.866261220000000E+02
0.341277850000000E+02,-0.866254360000000E+02
0.341272130000000E+02,-0.866234220000000E+02
0.341233290000000E+02,-0.866210210000000E+02
0.341222060000000E+02,-0.866209930000000E+02
0.341222060000000E+02,-0.866209930000000E+02
0.341225950000000E+02,-0.866225370000000E+02
0.341222280000000E+02,-0.866242170000000E+02
0.341205560000000E+02,-0.866273390000000E+02
0.341175340000000E+02,-0.866313900000000E+02
0.341154970000000E+02,-0.866364590000000E+02
0.341137120000000E+02,-0.866393520000000E+02
0.341120630000000E+02,-0.866402620000000E+02
0.341091530000000E+02,-0.866385560000000E+02
0.341068620000000E+02,-0.866391630000000E+02
0.341062670000000E+02,-0.866400720000000E+02
0.341084900000000E+02,-0.866442290000000E+02
0.341085600000000E+02,-0.866475610000000E+02
0.341085600000000E+02,-0.866475610000000E+02
0.341098200000000E+02,-0.866477530000000E+02
0.341161680000000E+02,-0.866544720000000E+02
0.341187790000000E+02,-0.866546910000000E+02
0.341234520000000E+02,-0.866536700000000E+02
0.341279110000000E+02,-0.866563410000000E+02
0.341290550000000E+02,-0.866577150000000E+02
0.341258050000000E+02,-0.866623740000000E+02
0.341229510000000E+02,-0.866634480000000E+02
0.341209340000000E+02,-0.866614100000000E+02
0.341165130000000E+02,-0.866606680000000E+02
0.341164450000000E+02,-0.866651020000000E+02
0.341223110000000E+02,-0.866707750000000E+02
0.341192640000000E+02,-0.866752930000000E+02
0.341186000000000E+02,-0.866783510000000E+02
0.341205250000000E+02,-0.866787360000000E+02
0.341220360000000E+02,-0.866776340000000E+02
0.341263570000000E+02,-0.866802510000000E+02
0.341272960000000E+02,-0.866822620000000E+02
0.341275260000000E+02,-0.866908280000000E+02
0.341188300000000E+02,-0.866916530000000E+02
0.341166990000000E+02,-0.866973540000000E+02
0.341171570000000E+02,-0.866993100000000E+02
0.341178210000000E+02,-0.866996680000000E+02
0.341277770000000E+02,-0.866996990000000E+02
0.341290600000000E+02,-0.867014070000000E+02
0.341311440000000E+02,-0.867064210000000E+02
0.341336840000000E+02,-0.867171920000000E+02
0.341354930000000E+02,-0.867216280000000E+02
0.341280700000000E+02,-0.867229470000000E+02
0.341220970000000E+02,-0.867334110000000E+02
0.341206540000000E+02,-0.867340720000000E+02
0.341188440000000E+02,-0.867377340000000E+02
0.341185910000000E+02,-0.867393860000000E+02
0.341188880000000E+02,-0.867421130000000E+02
0.341200560000000E+02,-0.867414800000000E+02
0.341218430000000E+02,-0.867421150000000E+02
0.341247190000000E+02,-0.867488930000000E+02
0.341239240000000E+02,-0.867503720000000E+02
0.341185640000000E+02,-0.867516560000000E+02
0.341192520000000E+02,-0.867528400000000E+02
0.341240180000000E+02,-0.867552340000000E+02
0.341246290000000E+02,-0.867560040000000E+02
0.341260970000000E+02,-0.867669390000000E+02
0.341256870000000E+02,-0.867727240000000E+02
0.341245300000000E+02,-0.867761120000000E+02
0.341273840000000E+02,-0.867789760000000E+02
0.341290560000000E+02,-0.867785070000000E+02
0.341317840000000E+02,-0.867829680000000E+02
0.341325860000000E+02,-0.867851450000000E+02
0.341330700000000E+02,-0.868228580000000E+02
0.341298390000000E+02,-0.868238770000000E+02
0.341318780000000E+02,-0.868300750000000E+02
0.341288750000000E+02,-0.868310510000000E+02
0.340998630000000E+02,-0.868315830000000E+02
0.340914230000000E+02,-0.868372230000000E+02
0.340906170000000E+02,-0.868390010000000E+02
0.340902340000000E+02,-0.868491670000000E+02
0.340946120000000E+02,-0.868509110000000E+02
0.340981640000000E+02,-0.868489850000000E+02
0.341018970000000E+02,-0.868499230000000E+02
0.341024010000000E+02,-0.868502810000000E+02
0.341054000000000E+02,-0.868578840000000E+02
0.340987540000000E+02,-0.868639660000000E+02
0.340944690000000E+02,-0.868660560000000E+02
0.340944690000000E+02,-0.868660560000000E+02
0.341121770000000E+02,-0.868659840000000E+02
0.341216840000000E+02,-0.868664580000000E+02
0.341472840000000E+02,-0.868695060000000E+02
0.341579580000000E+02,-0.868726550000000E+02
0.341888370000000E+02,-0.868786500000000E+02
0.341914260000000E+02,-0.868788140000000E+02
0.342010700000000E+02,-0.868778970000000E+02
0.342056280000000E+02,-0.868781700000000E+02
0.342073240000000E+02,-0.868788030000000E+02
0.342073240000000E+02,-0.868788030000000E+02
0.342064030000000E+02,-0.868655250000000E+02
