LAT,LON
0.359159770000000E+02,-0.901319160000000E+02
0.359171620000000E+02,-0.901320110000000E+02
0.359197720000000E+02,-0.901333870000000E+02
0.359245560000000E+02,-0.901383080000000E+02
0.359251050000000E+02,-0.901362810000000E+02
0.359234760000000E+02,-0.901272800000000E+02
0.359221020000000E+02,-0.901264370000000E+02
0.359168620000000E+02,-0.901266660000000E+02
0.359097040000000E+02,-0.901240780000000E+02
0.359102540000000E+02,-0.901228690000000E+02
0.359133900000000E+02,-0.901210430000000E+02
0.359157930000000E+02,-0.901189060000000E+02
0.359195940000000E+02,-0.901129740000000E+02
0.359195490000000E+02,-0.901121020000000E+02
0.359177870000000E+02,-0.901109190000000E+02
0.359086790000000E+02,-0.901134170000000E+02
0.359000980000000E+02,-0.901146210000000E+02
0.358976040000000E+02,-0.901154910000000E+02
0.358911030000000E+02,-0.901215330000000E+02
0.358849920000000E+02,-0.901246910000000E+02
0.358842140000000E+02,-0.901246210000000E+02
0.358811480000000E+02,-0.901226500000000E+02
0.358766210000000E+02,-0.901162650000000E+02
0.358772390000000E+02,-0.901157030000000E+02
0.358809460000000E+02,-0.901150030000000E+02
0.358830060000000E+02,-0.901137950000000E+02
0.358830980000000E+02,-0.901131200000000E+02
0.358804890000000E+02,-0.901128640000000E+02
0.358760950000000E+02,-0.901151120000000E+02
0.358750730000000E+02,-0.901178210000000E+02
0.358684110000000E+02,-0.901217630000000E+02
0.358680310000000E+02,-0.901224800000000E+02
0.358680310000000E+02,-0.901224800000000E+02
0.358706760000000E+02,-0.901217080000000E+02
0.358725530000000E+02,-0.901206970000000E+02
0.358758410000000E+02,-0.901208190000000E+02
0.358817880000000E+02,-0.901244780000000E+02
0.358835470000000E+02,-0.901272270000000E+02
0.358862010000000E+02,-0.901267190000000E+02
0.358881490000000E+02,-0.901248050000000E+02
0.358895220000000E+02,-0.901247630000000E+02
0.358909850000000E+02,-0.901296110000000E+02
0.358908520000000E+02,-0.901306580000000E+02
0.358919750000000E+02,-0.901319510000000E+02
0.358942820000000E+02,-0.901341080000000E+02
0.358983530000000E+02,-0.901326430000000E+02
0.359052870000000E+02,-0.901325820000000E+02
0.359052870000000E+02,-0.901325820000000E+02
0.359072280000000E+02,-0.901286420000000E+02
0.359087810000000E+02,-0.901272690000000E+02
0.359138570000000E+02,-0.901282920000000E+02
0.359151100000000E+02,-0.901289950000000E+02
0.359160600000000E+02,-0.901303290000000E+02
0.359159770000000E+02,-0.901319160000000E+02
END,END
0.358664250000000E+02,-0.901233670000000E+02
0.358660990000000E+02,-0.901228010000000E+02
0.358672348645508E+02,-0.901214627371094E+02
0.358692810000000E+02,-0.901200490000000E+02
0.358731040000000E+02,-0.901159180000000E+02
0.358730580000000E+02,-0.901154970000000E+02
0.358725090000000E+02,-0.901154680000000E+02
0.358688920000000E+02,-0.901190930000000E+02
0.358660770000000E+02,-0.901211710000000E+02
0.358607900000000E+02,-0.901229670000000E+02
0.358595950000000E+02,-0.901254750000000E+02
0.358601670000000E+02,-0.901256370000000E+02
0.358609130000000E+02,-0.901250930000000E+02
0.358609130000000E+02,-0.901250930000000E+02
0.358664250000000E+02,-0.901233670000000E+02
END,END
0.358590010000000E+02,-0.901276340000000E+02
0.358589460000000E+02,-0.901278770000000E+02
0.358589460000000E+02,-0.901278770000000E+02
0.358603530000000E+02,-0.901303600000000E+02
0.358596460000000E+02,-0.901351950000000E+02
0.358589370000000E+02,-0.901358980000000E+02
0.358567180000000E+02,-0.901361810000000E+02
0.358565580000000E+02,-0.901365460000000E+02
0.358582510000000E+02,-0.901373880000000E+02
0.358610660000000E+02,-0.901373020000000E+02
0.358625970000000E+02,-0.901337030000000E+02
0.358621600000000E+02,-0.901281940000000E+02
0.358590010000000E+02,-0.901276340000000E+02
END,END
0.358515230000000E+02,-0.901282100000000E+02
0.358525960000000E+02,-0.901287640000000E+02
0.358535060000000E+02,-0.901322660000000E+02
