LAT,LON
0.350197150000000E+02,-0.937048850000000E+02
0.350068260000000E+02,-0.937051390000000E+02
0.350068260000000E+02,-0.937051390000000E+02
0.349629990000000E+02,-0.937061090000000E+02
0.349611520000000E+02,-0.937097570000000E+02
0.349569610000000E+02,-0.937160440000000E+02
0.349566170000000E+02,-0.937179080000000E+02
0.349568160000000E+02,-0.937223660000000E+02
0.349536120000000E+02,-0.937316760000000E+02
0.349509080000000E+02,-0.937353470000000E+02
0.349484540000000E+02,-0.937432740000000E+02
0.349459320000000E+02,-0.937470550000000E+02
0.349419470000000E+02,-0.937508970000000E+02
0.349356310000000E+02,-0.937623320000000E+02
0.349316490000000E+02,-0.937722080000000E+02
0.349260210000000E+02,-0.937949300000000E+02
0.349263650000000E+02,-0.937971260000000E+02
0.349255180000000E+02,-0.938035780000000E+02
0.349249000000000E+02,-0.938044400000000E+02
0.349229300000000E+02,-0.938055810000000E+02
0.349201360000000E+02,-0.938097240000000E+02
0.349174560000000E+02,-0.938164530000000E+02
0.349152800000000E+02,-0.938240160000000E+02
0.349154860000000E+02,-0.938251280000000E+02
0.349170200000000E+02,-0.938269350000000E+02
0.349174320000000E+02,-0.938289650000000E+02
0.349150720000000E+02,-0.938324680000000E+02
0.349137670000000E+02,-0.938332180000000E+02
0.349128730000000E+02,-0.938350810000000E+02
0.349114530000000E+02,-0.938391960000000E+02
0.349114530000000E+02,-0.938406140000000E+02
0.349121630000000E+02,-0.938416160000000E+02
0.349109020000000E+02,-0.938452850000000E+02
0.349085420000000E+02,-0.938488150000000E+02
0.349062270000000E+02,-0.938539290000000E+02
0.349062390000000E+02,-0.938570490000000E+02
0.349025950000000E+02,-0.938594760000000E+02
0.348999350000000E+02,-0.938589260000000E+02
0.348895270000000E+02,-0.938506780000000E+02
0.348887550000000E+02,-0.938432750000000E+02
0.348894890000000E+02,-0.938347700000000E+02
0.348894890000000E+02,-0.938347700000000E+02
0.348893980000000E+02,-0.938318500000000E+02
0.348872000000000E+02,-0.938258460000000E+02
0.348862840000000E+02,-0.938248730000000E+02
