LAT,LON
0.330724910000000E+02,-0.109491604000000E+03
0.330664720000000E+02,-0.109487404000000E+03
0.330664720000000E+02,-0.109487404000000E+03
0.330063870000000E+02,-0.109446078000000E+03
0.330019800000000E+02,-0.109443105000000E+03
0.328895210000000E+02,-0.109365286000000E+03
0.328895210000000E+02,-0.109365286000000E+03
0.328499170000000E+02,-0.109338006000000E+03
0.328499170000000E+02,-0.109338006000000E+03
0.328432660000000E+02,-0.109333425000000E+03
0.328427790000000E+02,-0.109318149000000E+03
0.327502400000000E+02,-0.109252367000000E+03
0.327502220000000E+02,-0.109248172000000E+03
0.327420560000000E+02,-0.109245154000000E+03
0.326806630000000E+02,-0.109213831000000E+03
0.326536290000000E+02,-0.109212959000000E+03
0.326358030000000E+02,-0.109206249000000E+03
0.326016900000000E+02,-0.109219485000000E+03
0.325842930000000E+02,-0.109211265000000E+03
0.325430310000000E+02,-0.109225953000000E+03
0.325290960000000E+02,-0.109226070000000E+03
0.324842250000000E+02,-0.109176149000000E+03
0.324818520000000E+02,-0.109175213000000E+03
0.324726410000000E+02,-0.109165091000000E+03
0.324731130000000E+02,-0.109164751000000E+03
0.324518820000000E+02,-0.109142214000000E+03
0.324261770000000E+02,-0.109113987000000E+03
0.324261770000000E+02,-0.109113987000000E+03
0.324264750000000E+02,-0.109227215000000E+03
0.324244750000000E+02,-0.109227815000000E+03
0.324262260000000E+02,-0.109347539000000E+03
0.324262260000000E+02,-0.109347539000000E+03
0.324263030000000E+02,-0.109353720000000E+03
0.324263740000000E+02,-0.109359422000000E+03
0.324275730000000E+02,-0.109432020000000E+03
0.324270730000000E+02,-0.109446220000000E+03
0.324268590000000E+02,-0.109601281000000E+03
0.324267970000000E+02,-0.109633155000000E+03
0.324269020000000E+02,-0.109663309000000E+03
0.324269020000000E+02,-0.109663309000000E+03
0.324269690000000E+02,-0.109682810000000E+03
0.324269690000000E+02,-0.109682810000000E+03
0.324278030000000E+02,-0.109683478000000E+03
0.324281470000000E+02,-0.109685882000000E+03
0.324276200000000E+02,-0.109687665000000E+03
0.324286510000000E+02,-0.109691258000000E+03
0.324311010000000E+02,-0.109696147000000E+03
0.324333460000000E+02,-0.109697580000000E+03
0.324355910000000E+02,-0.109700282000000E+03
0.324362330000000E+02,-0.109701875000000E+03
0.324359120000000E+02,-0.109703658000000E+03
0.324407680000000E+02,-0.109711142000000E+03
0.324504590000000E+02,-0.109709713000000E+03
0.324596210000000E+02,-0.109713957000000E+03
0.324646150000000E+02,-0.109717444000000E+03
0.324649590000000E+02,-0.109718255000000E+03
0.324647980000000E+02,-0.109721254000000E+03
0.324631010000000E+02,-0.109724929000000E+03
0.324640840000000E+02,-0.109733064000000E+03
0.324675430000000E+02,-0.109733228000000E+03
0.324675670000000E+02,-0.109731958000000E+03
0.324663760000000E+02,-0.109729120000000E+03
0.324675910000000E+02,-0.109728174000000E+03
0.324744640000000E+02,-0.109728501000000E+03
0.324789770000000E+02,-0.109729314000000E+03
0.324792730000000E+02,-0.109731179000000E+03
0.324823640000000E+02,-0.109737208000000E+03
0.324833030000000E+02,-0.109738046000000E+03
0.324861440000000E+02,-0.109738561000000E+03
0.324866250000000E+02,-0.109738426000000E+03
0.324888720000000E+02,-0.109734940000000E+03
0.324893770000000E+02,-0.109730805000000E+03
0.324893770000000E+02,-0.109729372000000E+03
0.324863330000000E+02,-0.109716938000000E+03
0.324870900000000E+02,-0.109713316000000E+03
0.324921770000000E+02,-0.109705019000000E+03
0.324912620000000E+02,-0.109699829000000E+03
0.324950650000000E+02,-0.109690719000000E+03
0.324954090000000E+02,-0.109688962000000E+03
0.324942400000000E+02,-0.109682366000000E+03
0.324945370000000E+02,-0.109676013000000E+03
0.324952020000000E+02,-0.109674094000000E+03
0.325240480000000E+02,-0.109674066000000E+03
0.325558470000000E+02,-0.109678362000000E+03
0.325781380000000E+02,-0.109682094000000E+03
0.325796730000000E+02,-0.109678441000000E+03
0.325809090000000E+02,-0.109673652000000E+03
0.325863830000000E+02,-0.109663964000000E+03
0.325954540000000E+02,-0.109655816000000E+03
0.325979730000000E+02,-0.109655084000000E+03
0.326025330000000E+02,-0.109658277000000E+03
0.326095440000000E+02,-0.109661495000000E+03
0.326144470000000E+02,-0.109662874000000E+03
0.326212460000000E+02,-0.109646927000000E+03
0.326210820000000E+02,-0.109636885000000E+03
0.326190420000000E+02,-0.109633394000000E+03
0.326187440000000E+02,-0.109631363000000E+03
0.326195690000000E+02,-0.109623948000000E+03
0.326227370000000E+02,-0.109605218000000E+03
0.326216390000000E+02,-0.109599046000000E+03
0.326206560000000E+02,-0.109586919000000E+03
0.326206810000000E+02,-0.109574385000000E+03
0.326182300000000E+02,-0.109566806000000E+03
0.326136930000000E+02,-0.109558118000000E+03
0.326114250000000E+02,-0.109556332000000E+03
0.326070950000000E+02,-0.109554031000000E+03
0.326057430000000E+02,-0.109552001000000E+03
0.326049410000000E+02,-0.109545912000000E+03
0.326057190000000E+02,-0.109541041000000E+03
0.326078030000000E+02,-0.109538740000000E+03
0.326099720000000E+02,-0.109538631000000E+03
0.325952020000000E+02,-0.109535929000000E+03
0.325895210000000E+02,-0.109536391000000E+03
0.325871620000000E+02,-0.109537123000000E+03
0.325786180000000E+02,-0.109536367000000E+03
0.325740590000000E+02,-0.109535475000000E+03
0.325754770000000E+02,-0.109529280000000E+03
0.325757490000000E+02,-0.109519783000000E+03
0.325763440000000E+02,-0.109517673000000E+03
0.325791370000000E+02,-0.109512504000000E+03
0.325801900000000E+02,-0.109512178000000E+03
0.325843230000000E+02,-0.109513075000000E+03
0.325932260000000E+02,-0.109513145000000E+03
0.325971630000000E+02,-0.109508785000000E+03
0.325987890000000E+02,-0.109507837000000E+03
0.326009430000000E+02,-0.109508918000000E+03
0.326023190000000E+02,-0.109511894000000E+03
0.326052970000000E+02,-0.109512245000000E+03
0.326134300000000E+02,-0.109513485000000E+03
0.326157890000000E+02,-0.109512943000000E+03
0.326199820000000E+02,-0.109514050000000E+03
0.326224570000000E+02,-0.109514942000000E+03
0.326259450000000E+02,-0.109518142000000E+03
0.326361480000000E+02,-0.109523535000000E+03
0.326521390000000E+02,-0.109527277000000E+03
