LAT,LON
0.360010550000000E+02,-0.114229836000000E+03
0.360021310000000E+02,-0.114228739000000E+03
0.360032510000000E+02,-0.114230626000000E+03
0.360055400000000E+02,-0.114231078000000E+03
0.360086750000000E+02,-0.114228742000000E+03
0.360093400000000E+02,-0.114226377000000E+03
0.360133230000000E+02,-0.114222238000000E+03
0.360127510000000E+02,-0.114218802000000E+03
0.360117680000000E+02,-0.114216436000000E+03
0.360095260000000E+02,-0.114214435000000E+03
0.360092290000000E+02,-0.114213365000000E+03
0.360121120000000E+02,-0.114213310000000E+03
0.360128440000000E+02,-0.114214183000000E+03
0.360134620000000E+02,-0.114213902000000E+03
0.360155690000000E+02,-0.114205791000000E+03
0.360159580000000E+02,-0.114199790000000E+03
0.360151800000000E+02,-0.114198354000000E+03
0.360172170000000E+02,-0.114196580000000E+03
0.360192080000000E+02,-0.114193172000000E+03
0.360254090000000E+02,-0.114175764000000E+03
0.360262770000000E+02,-0.114171229000000E+03
0.360254990000000E+02,-0.114166411000000E+03
0.360246970000000E+02,-0.114165200000000E+03
0.360211050000000E+02,-0.114165370000000E+03
0.360197550000000E+02,-0.114166385000000E+03
0.360179020000000E+02,-0.114166582000000E+03
0.360211040000000E+02,-0.114163202000000E+03
0.360220880000000E+02,-0.114162891000000E+03
0.360225000000000E+02,-0.114163257000000E+03
0.360238270000000E+02,-0.114162187000000E+03
0.360241700000000E+02,-0.114160525000000E+03
0.360226590000000E+02,-0.114156779000000E+03
0.360214910000000E+02,-0.114152104000000E+03
0.360208720000000E+02,-0.114151344000000E+03
0.360156320000000E+02,-0.114150501000000E+03
0.360116050000000E+02,-0.114150475000000E+03
0.360107580000000E+02,-0.114149912000000E+03
0.360155170000000E+02,-0.114147460000000E+03
0.360154930000000E+02,-0.114146333000000E+03
0.360195440000000E+02,-0.114146528000000E+03
0.360203220000000E+02,-0.114148302000000E+03
0.360222910000000E+02,-0.114149343000000E+03
0.360238690000000E+02,-0.114149596000000E+03
0.360252420000000E+02,-0.114148440000000E+03
0.360252650000000E+02,-0.114147933000000E+03
0.360232050000000E+02,-0.114148216000000E+03
0.360207570000000E+02,-0.114147203000000E+03
0.360220600000000E+02,-0.114145118000000E+03
0.360246680000000E+02,-0.114143765000000E+03
0.360259010000000E+02,-0.114136327000000E+03
0.360223520000000E+02,-0.114132189000000E+03
0.360189180000000E+02,-0.114129262000000E+03
0.360153940000000E+02,-0.114127462000000E+03
0.360115490000000E+02,-0.114126451000000E+03
0.360125840000000E+02,-0.114122860000000E+03
0.360144610000000E+02,-0.114122073000000E+03
0.360170910000000E+02,-0.114123821000000E+03
