LAT,LON
0.339183150000000E+02,-0.118176703000000E+03
0.339089590000000E+02,-0.118178130000000E+03
0.339003150000000E+02,-0.118184803000000E+03
0.338993110000000E+02,-0.118185144000000E+03
0.338854150000000E+02,-0.118187603000000E+03
0.338854150000000E+02,-0.118187603000000E+03
0.338766150000000E+02,-0.118189503000000E+03
0.338743160000000E+02,-0.118190603000000E+03
0.338814150000000E+02,-0.118189203000000E+03
0.338814150000000E+02,-0.118189203000000E+03
0.338961150000000E+02,-0.118186903000000E+03
0.339002710000000E+02,-0.118185735000000E+03
0.339035150000000E+02,-0.118183203000000E+03
0.339035150000000E+02,-0.118183203000000E+03
0.339098340000000E+02,-0.118178699000000E+03
0.339184780000000E+02,-0.118177720000000E+03
0.339184780000000E+02,-0.118177720000000E+03
0.339183150000000E+02,-0.118176703000000E+03
END,END
0.338877140000000E+02,-0.118108900000000E+03
0.338877140000000E+02,-0.118108000000000E+03
0.338877140000000E+02,-0.118108000000000E+03
0.338870500000000E+02,-0.118107874000000E+03
0.338870500000000E+02,-0.118107874000000E+03
0.338762150000000E+02,-0.118107100000000E+03
0.338730150000000E+02,-0.118106400000000E+03
0.338460150000000E+02,-0.118098799000000E+03
0.338460150000000E+02,-0.118098799000000E+03
0.338369110000000E+02,-0.118093954000000E+03
0.338317150000000E+02,-0.118093198000000E+03
0.338317150000000E+02,-0.118093198000000E+03
0.338318150000000E+02,-0.118093598000000E+03
0.338318150000000E+02,-0.118093598000000E+03
0.338370150000000E+02,-0.118094798000000E+03
0.338460150000000E+02,-0.118099499000000E+03
0.338583150000000E+02,-0.118103099000000E+03
0.338583150000000E+02,-0.118103099000000E+03
0.338729150000000E+02,-0.118107100000000E+03
0.338729150000000E+02,-0.118107100000000E+03
0.338802150000000E+02,-0.118108900000000E+03
0.338877140000000E+02,-0.118108900000000E+03
END,END
0.337685180000000E+02,-0.118278404000000E+03
0.337663180000000E+02,-0.118276404000000E+03
0.337669180000000E+02,-0.118270804000000E+03
0.337572180000000E+02,-0.118274404000000E+03
0.337547180000000E+02,-0.118272804000000E+03
0.337536180000000E+02,-0.118269404000000E+03
