LAT,LON
0.377003546200356E+02,-0.123013915661213E+03
0.377044781079737E+02,-0.123013897208114E+03
0.377067490723693E+02,-0.123012193982460E+03
0.377062624378153E+02,-0.123004488914922E+03
0.377029370922656E+02,-0.123000190295549E+03
0.376979085210616E+02,-0.122997189374607E+03
0.376902034527376E+02,-0.123000676933246E+03
0.376893923927899E+02,-0.123005543291361E+03
0.376919066776061E+02,-0.123011464029057E+03
0.376962052954073E+02,-0.123014302738481E+03
0.377003546200356E+02,-0.123013915661213E+03
END,END
