LAT,LON
0.407235560000000E+02,-0.124222902000000E+03
0.407277280000000E+02,-0.124219678000000E+03
0.407277280000000E+02,-0.124219678000000E+03
0.407270470000000E+02,-0.124217959000000E+03
0.407325720000000E+02,-0.124214592000000E+03
0.407367570000000E+02,-0.124210937000000E+03
0.407360700000000E+02,-0.124210449000000E+03
0.407330300000000E+02,-0.124213214000000E+03
0.407309470000000E+02,-0.124214356000000E+03
0.407246780000000E+02,-0.124214955000000E+03
0.407230530000000E+02,-0.124217180000000E+03
0.407215390000000E+02,-0.124221255000000E+03
0.407235560000000E+02,-0.124222902000000E+03
END,END
