LAT,LON
0.401623210000000E+02,-0.105826611000000E+03
0.401599030000000E+02,-0.105829647000000E+03
0.401587820000000E+02,-0.105829677000000E+03
0.401573630000000E+02,-0.105830482000000E+03
0.401560360000000E+02,-0.105832062000000E+03
0.401542500000000E+02,-0.105835938000000E+03
0.401536780000000E+02,-0.105838116000000E+03
0.401539980000000E+02,-0.105838921000000E+03
0.401532880000000E+02,-0.105840740000000E+03
0.401521440000000E+02,-0.105840531000000E+03
0.401491470000000E+02,-0.105838322000000E+03
0.401479800000000E+02,-0.105834803000000E+03
0.401480960000000E+02,-0.105830897000000E+03
0.401475700000000E+02,-0.105826126000000E+03
0.401447560000000E+02,-0.105814346000000E+03
0.401398120000000E+02,-0.105796487000000E+03
0.401383470000000E+02,-0.105793476000000E+03
0.401363330000000E+02,-0.105791091000000E+03
0.401359440000000E+02,-0.105789809000000E+03
0.401357360000000E+02,-0.105782117000000E+03
0.401332390000000E+02,-0.105772787000000E+03
0.401287050000000E+02,-0.105765187000000E+03
0.401260500000000E+02,-0.105763579000000E+03
0.401210060000000E+02,-0.105762899000000E+03
0.401266470000000E+02,-0.105769332000000E+03
0.401261450000000E+02,-0.105774252000000E+03
0.401252660000000E+02,-0.105777681000000E+03
0.401254500000000E+02,-0.105784775000000E+03
0.401264930000000E+02,-0.105789663000000E+03
0.401292630000000E+02,-0.105796490000000E+03
0.401314140000000E+02,-0.105799321000000E+03
0.401320780000000E+02,-0.105801647000000E+03
0.401327880000000E+02,-0.105805105000000E+03
0.401326730000000E+02,-0.105810769000000E+03
0.401350300000000E+02,-0.105819982000000E+03
0.401326500000000E+02,-0.105828329000000E+03
0.401315730000000E+02,-0.105834440000000E+03
0.401311590000000E+02,-0.105844368000000E+03
0.401344740000000E+02,-0.105854267000000E+03
0.401371040000000E+02,-0.105857071000000E+03
0.401420920000000E+02,-0.105860324000000E+03
0.401445400000000E+02,-0.105861042000000E+03
0.401472390000000E+02,-0.105864175000000E+03
0.401477870000000E+02,-0.105865965000000E+03
