LAT,LON
0.391598430000000E+02,-0.107608767000000E+03
0.391615860000000E+02,-0.107607449000000E+03
0.391642520000000E+02,-0.107600094000000E+03
0.391649400000000E+02,-0.107593296000000E+03
0.391716010000000E+02,-0.107585012000000E+03
0.391737510000000E+02,-0.107583613000000E+03
0.391744990000000E+02,-0.107581276000000E+03
0.391748970000000E+02,-0.107577013000000E+03
0.391763340000000E+02,-0.107573033000000E+03
0.391776630000000E+02,-0.107570968000000E+03
0.391801740000000E+02,-0.107569819000000E+03
0.391813560000000E+02,-0.107568395000000E+03
0.391805820000000E+02,-0.107564800000000E+03
0.391784130000000E+02,-0.107560796000000E+03
0.391782740000000E+02,-0.107557970000000E+03
0.391821890000000E+02,-0.107542850000000E+03
0.391845790000000E+02,-0.107541719000000E+03
0.391885860000000E+02,-0.107543203000000E+03
0.391939260000000E+02,-0.107543594000000E+03
0.391950250000000E+02,-0.107543007000000E+03
0.391962220000000E+02,-0.107541582000000E+03
0.392026790000000E+02,-0.107528991000000E+03
0.392064480000000E+02,-0.107520419000000E+03
0.392141970000000E+02,-0.107513494000000E+03
0.392156780000000E+02,-0.107511800000000E+03
0.392166020000000E+02,-0.107509679000000E+03
0.392178930000000E+02,-0.107501023000000E+03
0.392178930000000E+02,-0.107501023000000E+03
0.391249840000000E+02,-0.107500981000000E+03
0.391245810000000E+02,-0.107500610000000E+03
0.391245810000000E+02,-0.107500610000000E+03
0.391226270000000E+02,-0.107501152000000E+03
0.391155370000000E+02,-0.107504798000000E+03
0.391107600000000E+02,-0.107515313000000E+03
0.391104410000000E+02,-0.107517927000000E+03
0.391105560000000E+02,-0.107519101000000E+03
0.391153610000000E+02,-0.107525353000000E+03
0.391148830000000E+02,-0.107532871000000E+03
0.391176510000000E+02,-0.107535806000000E+03
0.391215180000000E+02,-0.107541707000000E+03
0.391241710000000E+02,-0.107548197000000E+03
0.391255310000000E+02,-0.107560880000000E+03
0.391255310000000E+02,-0.107560880000000E+03
0.391263780000000E+02,-0.107559467000000E+03
0.391272930000000E+02,-0.107559115000000E+03
