LAT,LON
0.397378600000000E+02,-0.106711149000000E+03
0.397371280000000E+02,-0.106709845000000E+03
0.397355040000000E+02,-0.106708511000000E+03
0.397284800000000E+02,-0.106704626000000E+03
0.397251400000000E+02,-0.106705544000000E+03
0.397223480000000E+02,-0.106708062000000E+03
0.397158030000000E+02,-0.106711318000000E+03
0.397141100000000E+02,-0.106711080000000E+03
0.397110940000000E+02,-0.106709168000000E+03
0.397111360000000E+02,-0.106707880000000E+03
0.397118230000000E+02,-0.106706903000000E+03
0.397125110000000E+02,-0.106697570000000E+03
0.397112760000000E+02,-0.106694489000000E+03
0.397096510000000E+02,-0.106692178000000E+03
0.397017580000000E+02,-0.106686550000000E+03
0.397012310000000E+02,-0.106684091000000E+03
0.397012770000000E+02,-0.106677042000000E+03
0.397004980000000E+02,-0.106670704000000E+03
0.396836330000000E+02,-0.106659336000000E+03
0.396831070000000E+02,-0.106658063000000E+03
0.396826930000000E+02,-0.106653503000000E+03
0.396813420000000E+02,-0.106650010000000E+03
0.396796940000000E+02,-0.106648263000000E+03
0.396748660000000E+02,-0.106646785000000E+03
0.396748660000000E+02,-0.106646785000000E+03
0.396715490000000E+02,-0.106648298000000E+03
0.396696960000000E+02,-0.106648476000000E+03
0.396660590000000E+02,-0.106646580000000E+03
0.396640230000000E+02,-0.106656532000000E+03
0.396627200000000E+02,-0.106658058000000E+03
0.396576400000000E+02,-0.106658146000000E+03
0.396573960000000E+02,-0.106667124000000E+03
0.396500670000000E+02,-0.106674307000000E+03
0.396500670000000E+02,-0.106679301000000E+03
0.396506440000000E+02,-0.106681423000000E+03
0.396477620000000E+02,-0.106689539000000E+03
0.396465140000000E+02,-0.106690538000000E+03
0.396450730000000E+02,-0.106687292000000E+03
0.396429600000000E+02,-0.106686418000000E+03
0.396421920000000E+02,-0.106686792000000E+03
0.396391930000000E+02,-0.106689521000000E+03
0.396394750000000E+02,-0.106692824000000E+03
0.396353790000000E+02,-0.106696996000000E+03
0.396365400000000E+02,-0.106698801000000E+03
0.396414390000000E+02,-0.106699936000000E+03
0.396421290000000E+02,-0.106700519000000E+03
0.396420830000000E+02,-0.106702798000000E+03
0.396437290000000E+02,-0.106708747000000E+03
0.396449410000000E+02,-0.106710612000000E+03
0.396462450000000E+02,-0.106711234000000E+03
0.396481670000000E+02,-0.106713099000000E+03
0.396510720000000E+02,-0.106719819000000E+03
