LAT,LON
0.416968820000000E+02,-0.728909960000000E+02
0.416980980000000E+02,-0.728777450000000E+02
0.416953980000000E+02,-0.728637440000000E+02
0.416878990000000E+02,-0.728159430000000E+02
0.416878990000000E+02,-0.728159430000000E+02
0.416829990000000E+02,-0.728202430000000E+02
0.416688990000000E+02,-0.728238430000000E+02
0.416688990000000E+02,-0.728238430000000E+02
0.416562980000000E+02,-0.728221430000000E+02
0.416562980000000E+02,-0.728221430000000E+02
0.416517980000000E+02,-0.728604440000000E+02
0.416496070000000E+02,-0.728834040000000E+02
0.416496070000000E+02,-0.728834040000000E+02
0.416929990000000E+02,-0.728919460000000E+02
0.416958980000000E+02,-0.728906450000000E+02
0.416968820000000E+02,-0.728909960000000E+02
END,END
