LAT,LON
0.389285110000000E+02,-0.770276980000000E+02
0.389246110000000E+02,-0.770270980000000E+02
0.389110110000000E+02,-0.770270980000000E+02
0.389110110000000E+02,-0.770270980000000E+02
0.389109110000000E+02,-0.770363990000000E+02
0.389109110000000E+02,-0.770363990000000E+02
0.389107110000000E+02,-0.770464990000000E+02
0.389107110000000E+02,-0.770464990000000E+02
0.389142110000000E+02,-0.770459990000000E+02
0.389255110000000E+02,-0.770495990000000E+02
0.389275110000000E+02,-0.770495990000000E+02
0.389259110000000E+02,-0.770465990000000E+02
0.389273110000000E+02,-0.770445990000000E+02
0.389302110000000E+02,-0.770461990000000E+02
0.389318110000000E+02,-0.770487990000000E+02
0.389318110000000E+02,-0.770487990000000E+02
0.389308110000000E+02,-0.770455990000000E+02
0.389290110000000E+02,-0.770439990000000E+02
0.389284110000000E+02,-0.770421990000000E+02
0.389285110000000E+02,-0.770276980000000E+02
END,END
